基金代码,拼音缩写,基金简称,基金类型,拼音全称,status,last_updated
000001,HXCZHH,华夏成长混合,混合型-灵活,HUAXIACHENGZHANGHUNHE,valid,2025-12-15 10:58:43
000002,HXCZHH,华夏成长混合(后端),混合型-灵活,HUAXIACHENGZHANGHUNHE,unknown,
000003,ZHKZZZQA,中海可转债债券A,债券型-混合二级,ZHONGHAIKEZHUANZHAIZHAIQUANA,unknown,
000004,ZHKZZZQC,中海可转债债券C,债券型-混合二级,ZHONGHAIKEZHUANZHAIZHAIQUANC,unknown,
000005,JSZQXYDQZQ,嘉实增强信用定期债券,债券型-混合一级,JIASHIZENGQIANGXINYONGDINGQIZHAIQUAN,unknown,
000006,XBLDLHCZHHA,西部利得量化成长混合A,混合型-偏股,XIBULIDELIANGHUACHENGZHANGHUNHEA,unknown,
000008,JSZZ500ETFLJA,嘉实中证500ETF联接A,指数型-股票,JIASHIZHONGZHENG500ETFLIANJIEA,unknown,
000009,YFDTTLCHBA,易方达天天理财货币A,货币型-普通货币,YIFANGDATIANTIANLICAIHUOBIA,unknown,
000010,YFDTTLCHBB,易方达天天理财货币B,货币型-普通货币,YIFANGDATIANTIANLICAIHUOBIB,unknown,
000011,HXDPJXHHA,华夏大盘精选混合A,混合型-灵活,HUAXIADAPANJINGXUANHUNHEA,unknown,
000012,HXDPJXHHA,华夏大盘精选混合A(后端),混合型-灵活,HUAXIADAPANJINGXUANHUNHEA,unknown,
000013,YFDTTLCHBR,易方达天天理财货币R,货币型-普通货币,YIFANGDATIANTIANLICAIHUOBIR,invalid,2025-12-16 17:09:39
000014,HXJLZQA,华夏聚利债券A,债券型-混合一级,HUAXIAJULIZHAIQUANA,unknown,
000015,HXCZZQA,华夏纯债债券A,债券型-长债,HUAXIACHUNZHAIZHAIQUANA,unknown,
000016,HXCZZQC,华夏纯债债券C,债券型-长债,HUAXIACHUNZHAIZHAIQUANC,unknown,
000017,CTKCXHH,财通可持续混合,混合型-偏股,CAITONGKECHIXUHUNHE,unknown,
000020,JSCCPZTZHHA,景顺长城品质投资混合A,混合型-偏股,JINGSHUNCHANGCHENGPINZHITOUZIHUNHEA,unknown,
000021,HXYSZZHH,华夏优势增长混合,混合型-偏股,HUAXIAYOUSHIZENGZHANGHUNHE,unknown,
000024,DMSLZQZQA,大摩双利增强债券A,债券型-混合一级,DAMOSHUANGLIZENGQIANGZHAIQUANA,unknown,
000025,DMSLZQZQC,大摩双利增强债券C,债券型-混合一级,DAMOSHUANGLIZENGQIANGZHAIQUANC,unknown,
000028,HFAXZQA,华富安鑫债券A,债券型-混合二级,HUAFUANXINZHAIQUANA,unknown,
000029,FGHGCLLHPZHHA,富国宏观策略灵活配置混合A,混合型-灵活,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHEA,unknown,
000030,CCHXYXHHA,长城核心优选混合A,混合型-灵活,CHANGCHENGHEXINYOUXUANHUNHEA,unknown,
000031,HXFXHHA,华夏复兴混合A,混合型-偏股,HUAXIAFUXINGHUNHEA,unknown,
000032,YFDXYZZQA,易方达信用债债券A,债券型-长债,YIFANGDAXINYONGZHAIZHAIQUANA,unknown,
000033,YFDXYZZQC,易方达信用债债券C,债券型-长债,YIFANGDAXINYONGZHAIZHAIQUANC,unknown,
000037,GFJNZQA,广发景宁债券A,债券型-长债,GUANGFAJINGNINGZHAIQUANA,unknown,
000039,NYGZZHH,农银高增长混合,混合型-偏股,NONGYINGAOZENGZHANGHUNHE,unknown,
000041,HXQQGPQDIIRMB,华夏全球股票(QDII)(人民币),QDII-普通股票,HUAXIAQUANQIUGUPIAOQDIIRENMINBI,unknown,
000042,CTZZESG100ZSZQA,财通中证ESG100指数增强A,指数型-股票,CAITONGZHONGZHENGESG100ZHISHUZENGQIANGA,unknown,
000043,JSMGCZGPRMB,嘉实美国成长股票人民币,QDII-普通股票,JIASHIMEIGUOCHENGZHANGGUPIAORENMINBI,unknown,
000044,JSMGCZGPMYXH,嘉实美国成长股票美元现汇,QDII-普通股票,JIASHIMEIGUOCHENGZHANGGUPIAOMEIYUANXIANHUI,unknown,
000045,GYCYZZQA,工银产业债债券A,债券型-混合二级,GONGYINCHANYEZHAIZHAIQUANA,unknown,
000046,GYCYZZQB,工银产业债债券B,债券型-混合二级,GONGYINCHANYEZHAIZHAIQUANB,unknown,
000047,HXSZZQA,华夏双债债券A,债券型-混合一级,HUAXIASHUANGZHAIZHAIQUANA,unknown,
000048,HXSZZQC,华夏双债债券C,债券型-混合一级,HUAXIASHUANGZHAIZHAIQUANC,unknown,
000051,HXHS300ETFLJA,华夏沪深300ETF联接A,指数型-股票,HUAXIAHUSHEN300ETFLIANJIEA,unknown,
000053,PHYCYNDKZQ,鹏华永诚一年定开债券,债券型-长债,PENGHUAYONGCHENGYINIANDINGKAIZHAIQUAN,unknown,
000054,PHSZZLZQA,鹏华双债增利债券A,债券型-混合二级,PENGHUASHUANGZHAIZENGLIZHAIQUANA,unknown,
000055,GFNSDK100ETFLJMYQDIIA,广发纳斯达克100ETF联接美元(QDII)A,指数型-海外股票,GUANGFANASIDAKE100ETFLIANJIEMEIYUANQDIIA,unknown,
000056,JXXFSJHH,建信消费升级混合,混合型-灵活,JIANXINXIAOFEISHENGJIHUNHE,unknown,
000057,ZYXFZTHHA,中银消费主题混合A,混合型-偏股,ZHONGYINXIAOFEIZHUTIHUNHEA,unknown,
000058,GLAATLHPZHHA,国联安安泰灵活配置混合A,混合型-灵活,GUOLIANANANTAILINGHUOPEIZHIHUNHEA,unknown,
000059,GLAZZYY100A,国联安中证医药100A,指数型-股票,GUOLIANANZHONGZHENGYIYAO100A,unknown,
000061,HXSSHH,华夏盛世混合,混合型-偏股,HUAXIASHENGSHIHUNHE,unknown,
000063,CSDZXXZTLHPZHH,长盛电子信息主题灵活配置混合,混合型-灵活,CHANGSHENGDIANZIXINXIZHUTILINGHUOPEIZHIHUNHE,unknown,
000064,DM18GYDKZC,大摩18个月定开债C,债券型-长债,DAMO18GEYUEDINGKAIZHAIC,unknown,
000065,GFJDQDHHA,国富焦点驱动混合A,混合型-灵活,GUOFUJIAODIANQUDONGHUNHEA,unknown,
000066,NAHXHHA,诺安鸿鑫混合A,混合型-偏股,NUOANHONGXINHUNHEA,unknown,
000067,MSJYZZYXA,民生加银转债优选A,债券型-混合二级,MINSHENGJIAYINZHUANZHAIYOUXUANA,unknown,
000068,MSJYZZYXC,民生加银转债优选C,债券型-混合二级,MINSHENGJIAYINZHUANZHAIYOUXUANC,unknown,
000069,GTRYZGDJZQA,国投瑞银中高等级债券A,债券型-混合一级,GUOTOURUIYINZHONGGAODENGJIZHAIQUANA,unknown,
000070,GTRYZGDJZQC,国投瑞银中高等级债券C,债券型-混合一级,GUOTOURUIYINZHONGGAODENGJIZHAIQUANC,unknown,
000071,HXHSETFLJA,华夏恒生ETF联接A,指数型-海外股票,HUAXIAHENGSHENGETFLIANJIEA,unknown,
000072,HAWJHBHHA,华安稳健回报混合A,混合型-灵活,HUAANWENJIANHUIBAOHUNHEA,unknown,
000073,MGCZDLHHA,摩根成长动力混合A,混合型-灵活,MOGENCHENGZHANGDONGLIHUNHEA,unknown,
000074,GYXYCZYNDKZA,工银信用纯债一年定开债A,债券型-长债,GONGYINXINYONGCHUNZHAIYINIANDINGKAIZHAIA,unknown,
000075,HXHSETFLJXH,华夏恒生ETF联接现汇,指数型-海外股票,HUAXIAHENGSHENGETFLIANJIEXIANHUI,unknown,
000076,HXHSETFLJXC,华夏恒生ETF联接现钞,指数型-海外股票,HUAXIAHENGSHENGETFLIANJIEXIANCHAO,unknown,
000077,GYXYCZYNDKZC,工银信用纯债一年定开债C,债券型-长债,GONGYINXINYONGCHUNZHAIYINIANDINGKAIZHAIC,unknown,
000078,GYXYCZSGYDKZA,工银信用纯债三个月定开债A,债券型-长债,GONGYINXINYONGCHUNZHAISANGEYUEDINGKAIZHAIA,unknown,
000079,GYXYCZSGYDKZC,工银信用纯债三个月定开债C,债券型-长债,GONGYINXINYONGCHUNZHAISANGEYUEDINGKAIZHAIC,unknown,
000080,TZKZZZQZQA,天治可转债增强债券A,债券型-混合二级,TIANZHIKEZHUANZHAIZENGQIANGZHAIQUANA,unknown,
000081,TZKZZZQZQC,天治可转债增强债券C,债券型-混合二级,TIANZHIKEZHUANZHAIZENGQIANGZHAIQUANC,unknown,
000082,JSYJAEFGPA,嘉实研究阿尔法股票A,股票型,JIASHIYANJIUAERFAGUPIAOA,unknown,
000083,HTFXFHYHH,汇添富消费行业混合,混合型-偏股,HUITIANFUXIAOFEIHANGYEHUNHE,unknown,
000084,BSAYZQA,博时安盈债券A,债券型-中短债,BOSHIANYINGZHAIQUANA,unknown,
000085,BSAYZQC,博时安盈债券C,债券型-中短债,BOSHIANYINGZHAIQUANC,unknown,
000086,NFWL1NCYQZQA,南方稳利1年持有期债券A,债券型-长债,NANFANGWENLI1NIANCHIYOUQIZHAIQUANA,unknown,
000089,MSJYGDJXYZC,民生加银高等级信用债C,债券型-中短债,MINSHENGJIAYINGAODENGJIXINYONGZHAIC,unknown,
000090,MSJYGDJXYZA,民生加银高等级信用债A,债券型-中短债,MINSHENGJIAYINGAODENGJIXINYONGZHAIA,unknown,
000103,GTJWGSYZQDII,国泰境外高收益债(QDII),QDII-纯债,GUOTAIJINGWAIGAOSHOUYIZHAIQDII,unknown,
000104,HCWLWJTLZQA,华宸未来稳健添利债券A,债券型-混合一级,HUACHENWEILAIWENJIANTIANLIZHAIQUANA,unknown,
000105,JXAXHBZQA,建信安心回报债券A,债券型-长债,JIANXINANXINHUIBAOZHAIQUANA,unknown,
000106,JXAXHBZQC,建信安心回报债券C,债券型-长债,JIANXINANXINHUIBAOZHAIQUANC,unknown,
000107,FGWJZQZQAB,富国稳健增强债券A/B,债券型-混合二级,FUGUOWENJIANZENGQIANGZHAIQUANAB,unknown,
000108,FGWJZQZQAB,富国稳健增强债券A/B(后端),债券型-混合二级,FUGUOWENJIANZENGQIANGZHAIQUANAB,unknown,
000109,FGWJZQZQC,富国稳健增强债券C,债券型-混合二级,FUGUOWENJIANZENGQIANGZHAIQUANC,unknown,
000110,JYYAHHA,金鹰元安混合A,混合型-偏债,JINYINGYUANANHUNHEA,unknown,
000111,YFDCZ1NDKZA,易方达纯债1年定开债A,债券型-长债,YIFANGDACHUNZHAI1NIANDINGKAIZHAIA,unknown,
000112,YFDCZ1NDKZC,易方达纯债1年定开债C,债券型-长债,YIFANGDACHUNZHAI1NIANDINGKAIZHAIC,unknown,
000116,JSFYCZDQZQA,嘉实丰益纯债定期债券A,债券型-长债,JIASHIFENGYICHUNZHAIDINGQIZHAIQUANA,unknown,
000117,GFLDPZHH,广发轮动配置混合,混合型-偏股,GUANGFALUNDONGPEIZHIHUNHE,unknown,
000118,GFJXZQA,广发聚鑫债券A,债券型-混合二级,GUANGFAJUXINZHAIQUANA,unknown,
000119,GFJXZQC,广发聚鑫债券C,债券型-混合二级,GUANGFAJUXINZHAIQUANC,unknown,
000120,ZYMLZGHH,中银美丽中国混合,混合型-偏股,ZHONGYINMEILIZHONGGUOHUNHE,unknown,
000121,HXYFHHA,华夏永福混合A,混合型-偏债,HUAXIAYONGFUHUNHEA,unknown,
000122,HTFSYZZQA,汇添富实业债债券A,债券型-混合一级,HUITIANFUSHIYEZHAIZHAIQUANA,unknown,
000123,HTFSYZZQC,汇添富实业债债券C,债券型-混合一级,HUITIANFUSHIYEZHAIZHAIQUANC,unknown,
000124,HBFWYXHH,华宝服务优选混合,混合型-偏股,HUABAOFUWUYOUXUANHUNHE,unknown,
000126,ZSARLHPZHHA,招商安润灵活配置混合A,混合型-灵活,ZHAOSHANGANRUNLINGHUOPEIZHIHUNHEA,unknown,
000127,NYHYLXHH,农银行业领先混合,混合型-偏股,NONGYINHANGYELINGXIANHUNHE,unknown,
000128,DCJADRZQA,大成景安短融债券A,债券型-中短债,DACHENGJINGANDUANRONGZHAIQUANA,unknown,
000129,DCJADRZQB,大成景安短融债券B,债券型-中短债,DACHENGJINGANDUANRONGZHAIQUANB,unknown,
000130,DCJXXYZZQA,大成景兴信用债债券A,债券型-混合一级,DACHENGJINGXINGXINYONGZHAIZHAIQUANA,unknown,
000131,DCJXXYZZQC,大成景兴信用债债券C,债券型-混合一级,DACHENGJINGXINGXINYONGZHAIZHAIQUANC,unknown,
000134,ZXBCJHZQA,中信保诚嘉鸿债券A,债券型-长债,ZHONGXINBAOCHENGJIAHONGZHAIQUANA,unknown,
000135,ZXBCJHZQC,中信保诚嘉鸿债券C,债券型-长债,ZHONGXINBAOCHENGJIAHONGZHAIQUANC,unknown,
000136,MSJYCLJXHHA,民生加银策略精选混合A,混合型-灵活,MINSHENGJIAYINCELUEJINGXUANHUNHEA,unknown,
000137,MSJYSSZLZQA,民生加银岁岁增利债券A,债券型-长债,MINSHENGJIAYINSUISUIZENGLIZHAIQUANA,unknown,
000138,MSJYSSZLZQC,民生加银岁岁增利债券C,债券型-长债,MINSHENGJIAYINSUISUIZENGLIZHAIQUANC,unknown,
000139,FGGYQYZZQAB,富国国有企业债债券A/B,债券型-长债,FUGUOGUOYOUQIYEZHAIZHAIQUANAB,unknown,
000140,FGGYQYZZQAB,富国国有企业债债券A/B(后端),债券型-长债,FUGUOGUOYOUQIYEZHAIZHAIQUANAB,unknown,
000141,FGGYQYZZQC,富国国有企业债债券C,债券型-长债,FUGUOGUOYOUQIYEZHAIZHAIQUANC,unknown,
000142,RTZQSYZQA,融通增强收益债券A,债券型-混合二级,RONGTONGZENGQIANGSHOUYIZHAIQUANA,unknown,
000143,PHSZJLZQA,鹏华双债加利债券A,债券型-混合二级,PENGHUASHUANGZHAIJIALIZHAIQUANA,unknown,
000147,YFDGDJXYZZQA,易方达高等级信用债债券A,债券型-长债,YIFANGDAGAODENGJIXINYONGZHAIZHAIQUANA,unknown,
000148,YFDGDJXYZZQC,易方达高等级信用债债券C,债券型-长债,YIFANGDAGAODENGJIXINYONGZHAIZHAIQUANC,unknown,
000149,HASZTLZQA,华安双债添利债券A,债券型-混合一级,HUAANSHUANGZHAITIANLIZHAIQUANA,unknown,
000150,HASZTLZQC,华安双债添利债券C,债券型-混合一级,HUAANSHUANGZHAITIANLIZHAIQUANC,unknown,
000152,DCJXCZZQA,大成景旭纯债债券A,债券型-长债,DACHENGJINGXUCHUNZHAIZHAIQUANA,unknown,
000153,DCJXCZZQC,大成景旭纯债债券C,债券型-长债,DACHENGJINGXUCHUNZHAIZHAIQUANC,unknown,
000154,FGHS300ZSZQA,富国沪深300指数增强A(后端),指数型-股票,FUGUOHUSHEN300ZHISHUZENGQIANGA,unknown,
000155,FGTZTSZTLDHHA,富国通胀通缩主题轮动混合A(后端),混合型-偏股,FUGUOTONGZHANGTONGSUOZHUTILUNDONGHUNHEA,unknown,
000157,FGQQKJHLWGPQDIIA,富国全球科技互联网股票(QDII)A(后端),QDII-普通股票,FUGUOQUANQIUKEJIHULIANWANGGUPIAOQDIIA,unknown,
000158,FGDTHBHH,富国低碳环保混合(后端),混合型-偏股,FUGUODITANHUANBAOHUNHE,unknown,
000159,FGGXJSCYHH,富国高新技术产业混合(后端),混合型-偏股,FUGUOGAOXINJISHUCHANYEHUNHE,unknown,
000160,FGQHBDKZAB,富国强回报定开债A/B(后端),债券型-长债,FUGUOQIANGHUIBAODINGKAIZHAIAB,unknown,
000161,FGHGCLLHPZHHA,富国宏观策略灵活配置混合A(后端),混合型-灵活,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHEA,unknown,
000162,FGZGZXPHHQDIIRMBA,富国中国中小盘混合(QDII)人民币A(后端),QDII-混合偏股,FUGUOZHONGGUOZHONGXIAOPANHUNHEQDIIRENMINBIA,unknown,
000163,FGQQZQQDIIRMBA,富国全球债券(QDII)人民币A(后端),QDII-混合债,FUGUOQUANQIUZHAIQUANQDIIRENMINBIA,unknown,
000164,FGSZZSETFLJA,富国上证指数ETF联接A(后端),指数型-股票,FUGUOSHANGZHENGZHISHUETFLIANJIEA,unknown,
000165,GTRYCLJXHH,国投瑞银策略精选混合,混合型-灵活,GUOTOURUIYINCELUEJINGXUANHUNHE,unknown,
000166,ZHXXCYHHA,中海信息产业混合A,混合型-偏股,ZHONGHAIXINXICHANYEHUNHEA,unknown,
000167,GFJYLHPZHHA,广发聚优灵活配置混合A,混合型-灵活,GUANGFAJUYOULINGHUOPEIZHIHUNHEA,unknown,
000171,YFDYFHBZQA,易方达裕丰回报债券A,债券型-混合二级,YIFANGDAYUFENGHUIBAOZHAIQUANA,unknown,
000172,HTBRLHZQHHA,华泰柏瑞量化增强混合A,混合型-偏股,HUATAIBAIRUILIANGHUAZENGQIANGHUNHEA,unknown,
000173,HTFML30HHA,汇添富美丽30混合A,混合型-偏股,HUITIANFUMEILI30HUNHEA,unknown,
000174,HTFGXZZQA,汇添富高息债债券A,债券型-混合一级,HUITIANFUGAOXIZHAIZHAIQUANA,unknown,
000175,HTFGXZZQC,汇添富高息债债券C,债券型-混合一级,HUITIANFUGAOXIZHAIZHAIQUANC,unknown,
000176,JSHS300ZSYJZQA,嘉实沪深300指数研究增强A,指数型-股票,JIASHIHUSHEN300ZHISHUYANJIUZENGQIANGA,unknown,
000179,GFMGFDCZSRMBQDIIA,广发美国房地产指数人民币(QDII)A,指数型-海外股票,GUANGFAMEIGUOFANGDICHANZHISHURENMINBIQDIIA,unknown,
000180,GFMGFDCZSMYXHQDIIA,广发美国房地产指数美元现汇(QDII)A,指数型-海外股票,GUANGFAMEIGUOFANGDICHANZHISHUMEIYUANXIANHUIQDIIA,unknown,
000181,JSCCSJJLZQA,景顺长城四季金利债券A,债券型-混合二级,JINGSHUNCHANGCHENGSIJIJINLIZHAIQUANA,unknown,
000182,JSCCSJJLZQC,景顺长城四季金利债券C,债券型-混合二级,JINGSHUNCHANGCHENGSIJIJINLIZHAIQUANC,unknown,
000183,JSFYCLDQZQ,嘉实丰益策略定期债券,债券型-混合一级,JIASHIFENGYICELUEDINGQIZHAIQUAN,unknown,
000184,GYTFZQA,工银添福债券A,债券型-混合二级,GONGYINTIANFUZHAIQUANA,unknown,
000185,GYTFZQB,工银添福债券B,债券型-混合二级,GONGYINTIANFUZHAIQUANB,unknown,
000186,HTBRJJHZQA,华泰柏瑞季季红债券A,债券型-混合一级,HUATAIBAIRUIJIJIHONGZHAIQUANA,unknown,
000187,HTBRFSCZZQA,华泰柏瑞丰盛纯债债券A,债券型-长债,HUATAIBAIRUIFENGSHENGCHUNZHAIZHAIQUANA,unknown,
000188,HTBRFSCZZQC,华泰柏瑞丰盛纯债债券C,债券型-长债,HUATAIBAIRUIFENGSHENGCHUNZHAIZHAIQUANC,unknown,
000189,YFDFHZQA,易方达丰华债券A,债券型-混合二级,YIFANGDAFENGHUAZHAIQUANA,unknown,
000190,ZYXHBLHPZHHA,中银新回报灵活配置混合A,混合型-灵活,ZHONGYINXINHUIBAOLINGHUOPEIZHIHUNHEA,unknown,
000191,FGXYZZQAB,富国信用债债券A/B,债券型-长债,FUGUOXINYONGZHAIZHAIQUANAB,unknown,
000192,FGXYZZQC,富国信用债债券C,债券型-长债,FUGUOXINYONGZHAIZHAIQUANC,unknown,
000194,YHXYSJHZQA,银华信用四季红债券A,债券型-长债,YINHUAXINYONGSIJIHONGZHAIQUANA,unknown,
000195,GYCZSYHHA,工银成长收益混合A,混合型-灵活,GONGYINCHENGZHANGSHOUYIHUNHEA,unknown,
000196,GYCZSYHHB,工银成长收益混合B,混合型-灵活,GONGYINCHENGZHANGSHOUYIHUNHEB,unknown,
000197,FGMBSYYNQCZZQ,富国目标收益一年期纯债债券,债券型-长债,FUGUOMUBIAOSHOUYIYINIANQICHUNZHAIZHAIQUAN,unknown,
000198,THYEBHB,天弘余额宝货币,货币型-普通货币,TIANHONGYUEBAOHUOBI,unknown,
000199,GTLHCLSYHHA,国泰量化策略收益混合A,混合型-偏股,GUOTAILIANGHUACELUESHOUYIHUNHEA,unknown,
000200,BSSSZLYNCYQZQA,博时岁岁增利一年持有期债券A,债券型-中短债,BOSHISUISUIZENGLIYINIANCHIYOUQIZHAIQUANA,unknown,
000201,NATXYNDQKFZQA,诺安泰鑫一年定期开放债券A,债券型-长债,NUOANTAIXINYINIANDINGQIKAIFANGZHAIQUANA,unknown,
000203,GFRRSYHBA,国富日日收益货币A,货币型-普通货币,GUOFURIRISHOUYIHUOBIA,unknown,
000204,GFRRSYHBB,国富日日收益货币B,货币型-普通货币,GUOFURIRISHOUYIHUOBIB,unknown,
000205,YFDTZJXYZZQA,易方达投资级信用债债券A,债券型-长债,YIFANGDATOUZIJIXINYONGZHAIZHAIQUANA,unknown,
000206,YFDTZJXYZZQC,易方达投资级信用债债券C,债券型-长债,YIFANGDATOUZIJIXINYONGZHAIZHAIQUANC,unknown,
000207,JXSZZQZQA,建信双债增强债券A,债券型-混合一级,JIANXINSHUANGZHAIZENGQIANGZHAIQUANA,unknown,
000208,JXSZZQZQC,建信双债增强债券C,债券型-混合一级,JIANXINSHUANGZHAIZENGQIANGZHAIQUANC,unknown,
000209,ZXBCXXCYHHA,中信保诚新兴产业混合A,混合型-偏股,ZHONGXINBAOCHENGXINXINGCHANYEHUNHEA,unknown,
000210,GDXJBHBA,光大现金宝货币A,货币型-普通货币,GUANGDAXIANJINBAOHUOBIA,unknown,
000211,GDXJBHBB,光大现金宝货币B,货币型-普通货币,GUANGDAXIANJINBAOHUOBIB,unknown,
000212,TXXYDQKFA,泰信鑫益定期开放A,债券型-长债,TAIXINXINYIDINGQIKAIFANGA,unknown,
000213,TXXYDQKFC,泰信鑫益定期开放C,债券型-长债,TAIXINXINYIDINGQIKAIFANGC,unknown,
000214,GFCZYXHH,广发成长优选混合,混合型-灵活,GUANGFACHENGZHANGYOUXUANHUNHE,unknown,
000215,GFQSYXLHPZHHA,广发趋势优选灵活配置混合A,混合型-灵活,GUANGFAQUSHIYOUXUANLINGHUOPEIZHIHUNHEA,unknown,
000216,HAHJETFLJA,华安黄金ETF联接A,指数型-其他,HUAANHUANGJINETFLIANJIEA,unknown,
000217,HAHJETFLJC,华安黄金ETF联接C,指数型-其他,HUAANHUANGJINETFLIANJIEC,unknown,
000218,GTHJETFLJA,国泰黄金ETF联接A,指数型-其他,GUOTAIHUANGJINETFLIANJIEA,unknown,
000219,BSYYHHA,博时裕益混合A,混合型-灵活,BOSHIYUYIHUNHEA,unknown,
000220,FGYLBJHYHHA,富国医疗保健行业混合A,混合型-偏股,FUGUOYILIAOBAOJIANHANGYEHUNHEA,unknown,
000221,HTFNNLDQKFZQA,汇添富年年利定期开放债券A,债券型-混合一级,HUITIANFUNIANNIANLIDINGQIKAIFANGZHAIQUANA,unknown,
000222,HTFNNLDQKFZQC,汇添富年年利定期开放债券C,债券型-混合一级,HUITIANFUNIANNIANLIDINGQIKAIFANGZHAIQUANC,unknown,
000227,HANNHZQA,华安年年红债券A,债券型-混合一级,HUAANNIANNIANHONGZHAIQUANA,unknown,
000235,NAWGSYYNDQKFZQA,诺安稳固收益一年定期开放债券A,债券型-长债,NUOANWENGUSHOUYIYINIANDINGQIKAIFANGZHAIQUANA,unknown,
000236,GYYYXDQZFZQA,工银月月薪定期支付债券A,债券型-混合二级,GONGYINYUEYUEXINDINGQIZHIFUZHAIQUANA,unknown,
000239,HANNYDKZA,华安年年盈定开债A,债券型-混合一级,HUAANNIANNIANYINGDINGKAIZHAIA,unknown,
000240,HANNYDKZC,华安年年盈定开债C,债券型-混合一级,HUAANNIANNIANYINGDINGKAIZHAIC,unknown,
000241,BYHXYSHHC,宝盈核心优势混合C,混合型-灵活,BAOYINGHEXINYOUSHIHUNHEC,unknown,
000242,JSCCCLJXLHPZHHA,景顺长城策略精选灵活配置混合A,混合型-灵活,JINGSHUNCHANGCHENGCELUEJINGXUANLINGHUOPEIZHIHUNHEA,unknown,
000244,THWLDQKFA,天弘稳利定期开放A,债券型-混合一级,TIANHONGWENLIDINGQIKAIFANGA,unknown,
000245,THWLDQKFB,天弘稳利定期开放B,债券型-混合一级,TIANHONGWENLIDINGQIKAIFANGB,unknown,
000248,HTFZZZYXFETFLJA,汇添富中证主要消费ETF联接A,指数型-股票,HUITIANFUZHONGZHENGZHUYAOXIAOFEIETFLIANJIEA,invalid,2025-12-16 15:31:14
000251,GYJRDCHHA,工银金融地产混合A,混合型-偏股,GONGYINJINRONGDICHANHUNHEA,unknown,
000252,JSCCJXXYCZZQA,景顺长城景兴信用纯债债券A,债券型-长债,JINGSHUNCHANGCHENGJINGXINGXINYONGCHUNZHAIZHAIQUANA,unknown,
000253,JSCCJXXYCZZQC,景顺长城景兴信用纯债债券C,债券型-长债,JINGSHUNCHANGCHENGJINGXINGXINYONGCHUNZHAIZHAIQUANC,unknown,
000254,CCZQSYDKZQA,长城增强收益定开债券A,债券型-混合一级,CHANGCHENGZENGQIANGSHOUYIDINGKAIZHAIQUANA,unknown,
000255,CCZQSYDKZQC,长城增强收益定开债券C,债券型-混合一级,CHANGCHENGZENGQIANGSHOUYIDINGKAIZHAIQUANC,unknown,
000259,NYQJSYHH,农银区间收益混合,混合型-灵活,NONGYINQUJIANSHOUYIHUNHE,unknown,
000263,GYXXCYHHA,工银信息产业混合A,混合型-偏股,GONGYINXINXICHANYEHUNHEA,unknown,
000264,BSNXZZHHA,博时内需增长混合A,混合型-灵活,BOSHINEIXUZENGZHANGHUNHEA,unknown,
000265,YFDHJTL1NDKZA,易方达恒久添利1年定开债A,债券型-长债,YIFANGDAHENGJIUTIANLI1NIANDINGKAIZHAIA,unknown,
000266,YFDHJTL1NDKZC,易方达恒久添利1年定开债C,债券型-长债,YIFANGDAHENGJIUTIANLI1NIANDINGKAIZHAIC,unknown,
000267,GFJLYNDKZA,广发集利一年定开债A,债券型-长债,GUANGFAJILIYINIANDINGKAIZHAIA,unknown,
000268,GFJLYNDKZC,广发集利一年定开债C,债券型-长债,GUANGFAJILIYINIANDINGKAIZHAIC,unknown,
000270,JXLHPZHHA,建信灵活配置混合A,混合型-灵活,JIANXINLINGHUOPEIZHIHUNHEA,unknown,
000271,ZYDKZQA,中邮定开债券A,债券型-长债,ZHONGYOUDINGKAIZHAIQUANA,unknown,
000272,ZYDKZQC,中邮定开债券C,债券型-长债,ZHONGYOUDINGKAIZHAIQUANC,unknown,
000273,HRYDAXLHPZHHA,华润元大安鑫灵活配置混合A,混合型-灵活,HUARUNYUANDAANXINLINGHUOPEIZHIHUNHEA,unknown,
000274,GFYTZGSYZQDIIA,广发亚太中高收益债(QDII)A,QDII-纯债,GUANGFAYATAIZHONGGAOSHOUYIZHAIQDIIA,unknown,
000275,GFYTZGSYZMYXHQDIIA,广发亚太中高收益债美元现汇(QDII)A,QDII-纯债,GUANGFAYATAIZHONGGAOSHOUYIZHAIMEIYUANXIANHUIQDIIA,unknown,
000277,BSSYXZQA,博时双月薪债券A,债券型-长债,BOSHISHUANGYUEXINZHAIQUANA,unknown,
000279,HSHLYXHH,华商红利优选混合,混合型-灵活,HUASHANGHONGLIYOUXUANHUNHE,unknown,
000286,YHXYJJHZQA,银华信用季季红债券A,债券型-混合一级,YINHUAXINYONGJIJIHONGZHAIQUANA,unknown,
000289,PHFTDKZA,鹏华丰泰定开债A,债券型-混合一级,PENGHUAFENGTAIDINGKAIZHAIA,unknown,
000290,PHQQGSYZQDII,鹏华全球高收益债(QDII),QDII-纯债,PENGHUAQUANQIUGAOSHOUYIZHAIQDII,unknown,
000294,HASTYXHHA,华安生态优先混合A,混合型-偏股,HUAANSHENGTAIYOUXIANHUNHEA,unknown,
000295,PHFSDQKFZQA,鹏华丰实定期开放债券A,债券型-混合一级,PENGHUAFENGSHIDINGQIKAIFANGZHAIQUANA,unknown,
