基金代码,拼音缩写,基金简称,基金类型,拼音全称,status,last_updated
009275,RTYLBJHYHHC,融通医疗保健行业混合C,混合型-偏股,RONGTONGYILIAOBAOJIANHANGYEHUNHEC,unknown,
009277,RTHYJQHHC,融通行业景气混合C,混合型-灵活,RONGTONGHANGYEJINGQIHUNHEC,unknown,
009278,TTHXCZA,同泰恒兴纯债A,债券型-长债,TONGTAIHENGXINGCHUNZHAIA,unknown,
009279,TTHXCZC,同泰恒兴纯债C,债券型-长债,TONGTAIHENGXINGCHUNZHAIC,unknown,
009284,SYHFLZQ,上银慧丰利债券,债券型-长债,SHANGYINHUIFENGLIZHAIQUAN,unknown,
009285,TKZTZXYNCYQHHA,泰康招泰尊享一年持有期混合A,混合型-偏债,TAIKANGZHAOTAIZUNXIANGYINIANCHIYOUQIHUNHEA,unknown,
009286,TKZTZXYNCYQHHC,泰康招泰尊享一年持有期混合C,混合型-偏债,TAIKANGZHAOTAIZUNXIANGYINIANCHIYOUQIHUNHEC,unknown,
009287,HSHYCZZQA,惠升和裕纯债债券A,债券型-长债,HUISHENGHEYUCHUNZHAIZHAIQUANA,unknown,
009288,HSHYCZZQC,惠升和裕纯债债券C,债券型-长债,HUISHENGHEYUCHUNZHAIZHAIQUANC,unknown,
009289,FGCJJJDCZZQA,富国长江经济带纯债债券A,债券型-长债,FUGUOCHANGJIANGJINGJIDAICHUNZHAIZHAIQUANA,unknown,
009290,FGTXYNCYQZQA,富国添享一年持有期债券A,债券型-混合一级,FUGUOTIANXIANGYINIANCHIYOUQIZHAIQUANA,unknown,
009291,FGTXYNCYQZQC,富国添享一年持有期债券C,债券型-混合一级,FUGUOTIANXIANGYINIANCHIYOUQIZHAIQUANC,unknown,
009292,YFDNNHCDKZA,易方达年年恒春定开债A,债券型-长债,YIFANGDANIANNIANHENGCHUNDINGKAIZHAIA,unknown,
009293,YFDNNHCDKZC,易方达年年恒春定开债C,债券型-长债,YIFANGDANIANNIANHENGCHUNDINGKAIZHAIC,unknown,
009294,JSZYCZZQ,嘉实致益纯债债券,债券型-长债,JIASHIZHIYICHUNZHAIZHAIQUAN,unknown,
009295,MSRZYNDKZ,民生睿智一年定开债,债券型-长债,MINSHENGRUIZHIYINIANDINGKAIZHAI,unknown,
009296,NFYHYNHHA,南方誉慧一年混合A,混合型-偏债,NANFANGYUHUIYINIANHUNHEA,unknown,
009297,NFYHYNHHC,南方誉慧一年混合C,混合型-偏债,NANFANGYUHUIYINIANHUNHEC,unknown,
009298,YDAHCZA,英大安惠纯债A,债券型-长债,YINGDAANHUICHUNZHAIA,unknown,
009299,YDAHCZC,英大安惠纯债C,债券型-长债,YINGDAANHUICHUNZHAIC,unknown,
009300,XBLDZZ500ZSZQLOFC,西部利得中证500指数增强(LOF)C,指数型-股票,XIBULIDEZHONGZHENG500ZHISHUZENGQIANGLOFC,unknown,
009301,HSQHDZZQA,恒生前海短债债券A,债券型-中短债,HENGSHENGQIANHAIDUANZHAIZHAIQUANA,unknown,
009302,HSQHDZZQC,恒生前海短债债券C,债券型-中短债,HENGSHENGQIANHAIDUANZHAIZHAIQUANC,unknown,
009303,HSQHHYWNDKZA,恒生前海恒颐五年定开债A,债券型-长债,HENGSHENGQIANHAIHENGYIWUNIANDINGKAIZHAIA,unknown,
009304,HSQHHYWNDKZC,恒生前海恒颐五年定开债C,债券型-长债,HENGSHENGQIANHAIHENGYIWUNIANDINGKAIZHAIC,unknown,
009305,HAHL39GYDKCZZQ,汇安恒利39个月定开纯债债券,债券型-长债,HUIANHENGLI39GEYUEDINGKAICHUNZHAIZHAIQUAN,unknown,
009306,PAHMCZ,平安惠铭纯债,债券型-长债,PINGANHUIMINGCHUNZHAI,unknown,
009308,THAKYYHHC,天弘安康颐养混合C,混合型-偏债,TIANHONGANKANGYIYANGHUNHEC,unknown,
009309,GSABZQ6GYCYQZQA,国寿安保尊庆6个月持有期债券A,债券型-混合一级,GUOSHOUANBAOZUNQING6GEYUECHIYOUQIZHAIQUANA,unknown,
009310,GSABZQ6GYCYQZQC,国寿安保尊庆6个月持有期债券C,债券型-混合一级,GUOSHOUANBAOZUNQING6GEYUECHIYOUQIZHAIQUANC,unknown,
009311,CJHXXRXDZZQE,创金合信鑫日享短债债券E,债券型-中短债,CHUANGJINHEXINXINRIXIANGDUANZHAIZHAIQUANE,unknown,
009312,QHLHJZYXHHA,前海联合价值优选混合A,混合型-偏股,QIANHAILIANHEJIAZHIYOUXUANHUNHEA,unknown,
009313,QHLHJZYXHHC,前海联合价值优选混合C,混合型-偏股,QIANHAILIANHEJIAZHIYOUXUANHUNHEC,unknown,
009314,GFSQSJHHC,广发双擎升级混合C,混合型-偏股,GUANGFASHUANGQINGSHENGJIHUNHEC,unknown,
009315,JYZZ13NZJZZSA,交银中债1-3年政金债指数A,指数型-固收,JIAOYINZHONGZHAI13NIANZHENGJINZHAIZHISHUA,unknown,
009316,JYZZ13NZJZZSC,交银中债1-3年政金债指数C,指数型-固收,JIAOYINZHONGZHAI13NIANZHENGJINZHAIZHISHUC,unknown,
009317,JXHXJZLHHA,金信核心竞争力混合A,混合型-灵活,JINXINHEXINJINGZHENGLIHUNHEA,unknown,
009318,NFCZXFHHA,南方成长先锋混合A,混合型-偏股,NANFANGCHENGZHANGXIANFENGHUNHEA,unknown,
009319,NFCZXFHHC,南方成长先锋混合C,混合型-偏股,NANFANGCHENGZHANGXIANFENGHUNHEC,unknown,
009322,GFRYJQ3GYCYHHFOFC,广发锐意进取3个月持有混合(FOF)C,FOF-进取型,GUANGFARUIYIJINQU3GEYUECHIYOUHUNHEFOFC,unknown,
009324,CCZZ35NGKZZSA,长城中债3-5年国开债指数A,指数型-固收,CHANGCHENGZHONGZHAI35NIANGUOKAIZHAIZHISHUA,unknown,
009325,CCZZ35NGKZZSC,长城中债3-5年国开债指数C,指数型-固收,CHANGCHENGZHONGZHAI35NIANGUOKAIZHAIZHISHUC,unknown,
009326,GFWJZZHHC,广发稳健增长混合C,混合型-平衡,GUANGFAWENJIANZENGZHANGHUNHEC,unknown,
009327,DXXSHHA,东兴兴晟混合A,混合型-偏股,DONGXINGXINGSHENGHUNHEA,unknown,
009328,DXXSHHC,东兴兴晟混合C,混合型-偏股,DONGXINGXINGSHENGHUNHEC,unknown,
009329,HBZZXFLTZSLOFC,华宝中证消费龙头指数(LOF)C,指数型-股票,HUABAOZHONGZHENGXIAOFEILONGTOUZHISHULOFC,unknown,
009330,PHCZJZHHA,鹏华成长价值混合A,混合型-偏股,PENGHUACHENGZHANGJIAZHIHUNHEA,unknown,
009331,PHCZJZHHC,鹏华成长价值混合C,混合型-偏股,PENGHUACHENGZHANGJIAZHIHUNHEC,unknown,
009332,BSHYCYQHHA,博时恒裕持有期混合A,混合型-偏债,BOSHIHENGYUCHIYOUQIHUNHEA,unknown,
009333,BSHYCYQHHC,博时恒裕持有期混合C,混合型-偏债,BOSHIHENGYUCHIYOUQIHUNHEC,unknown,
009334,FGRX18GYDKHHA,富国融享18个月定开混合A,混合型-偏股,FUGUORONGXIANG18GEYUEDINGKAIHUNHEA,unknown,
009335,GYWJYLYNCYA,工银稳健养老一年持有A,FOF-稳健型,GONGYINWENJIANYANGLAOYINIANCHIYOUA,unknown,
009336,PAZZ500ZSZQA,平安中证500指数增强A,指数型-股票,PINGANZHONGZHENG500ZHISHUZENGQIANGA,unknown,
009337,PAZZ500ZSZQC,平安中证500指数增强C,指数型-股票,PINGANZHONGZHENG500ZHISHUZENGQIANGC,unknown,
009338,WJMRXH6GYCYZA,万家民瑞祥和6个月持有债A,债券型-长债,WANJIAMINRUIXIANGHE6GEYUECHIYOUZHAIA,unknown,
009339,WJMRXH6GYCYZC,万家民瑞祥和6个月持有债C,债券型-长债,WANJIAMINRUIXIANGHE6GEYUECHIYOUZHAIC,unknown,
009340,GYYL2055WNCYHHFQFOFA,工银养老2055五年持有混合发起(FOF)A,FOF-进取型,GONGYINYANGLAO2055WUNIANCHIYOUHUNHEFAQIFOFA,unknown,
009341,YFDJHCZGP,易方达均衡成长股票,股票型,YIFANGDAJUNHENGCHENGZHANGGUPIAO,unknown,
009342,YFDYZQYSNCYQHH,易方达优质企业三年持有期混合,混合型-偏股,YIFANGDAYOUZHIQIYESANNIANCHIYOUQIHUNHE,unknown,
009343,TKCJJJDZQA,泰康长江经济带债券A,债券型-长债,TAIKANGCHANGJIANGJINGJIDAIZHAIQUANA,unknown,
009344,TKCJJJDZQC,泰康长江经济带债券C,债券型-长债,TAIKANGCHANGJIANGJINGJIDAIZHAIQUANC,unknown,
009345,ZYSXHBYNCYHHA,中银顺兴回报一年持有混合A,混合型-偏债,ZHONGYINSHUNXINGHUIBAOYINIANCHIYOUHUNHEA,unknown,
009346,ZYSXHBYNCYHHC,中银顺兴回报一年持有混合C,混合型-偏债,ZHONGYINSHUNXINGHUIBAOYINIANCHIYOUHUNHEC,unknown,
009347,GLJZCZ6GYCYHHA,国联价值成长6个月持有混合A,混合型-偏股,GUOLIANJIAZHICHENGZHANG6GEYUECHIYOUHUNHEA,unknown,
009348,GLJZCZ6GYCYHHC,国联价值成长6个月持有混合C,混合型-偏股,GUOLIANJIAZHICHENGZHANG6GEYUECHIYOUHUNHEC,unknown,
