净值日期,单位净值,日增长率
2010-12-15,1.0,0.0
2010-12-17,0.999,-0.1
2010-12-24,0.989,-1.001
2010-12-31,0.987,-0.2022
2011-01-07,0.988,0.1013
2011-01-14,0.973,-1.5182
2011-01-21,0.959,-1.4388
2011-01-28,0.963,0.4171
2011-01-31,0.967,0.4154
2011-02-01,0.968,0.1034
2011-02-11,0.978,1.0331
2011-02-18,0.987,0.9202
2011-02-25,0.991,0.4053
2011-03-03,0.993,0.2018
2011-03-04,0.997,0.4028
2011-03-07,1.003,0.6018
2011-03-08,1.006,0.2991
2011-03-09,1.01,0.3976
2011-03-10,1.002,-0.7921
2011-03-11,0.999,-0.2994
2011-03-14,1.011,1.2012
2011-03-15,1.003,-0.7913
2011-03-16,1.013,0.997
2011-03-17,1.004,-0.8885
2011-03-18,1.011,0.6972
2011-03-21,1.005,-0.5935
2011-03-22,1.003,-0.199
2011-03-23,1.012,0.8973
2011-03-24,1.011,-0.0988
2011-03-25,1.018,0.6924
2011-03-28,1.01,-0.7859
2011-03-29,0.993,-1.6832
2011-03-30,0.988,-0.5035
2011-03-31,0.978,-1.0121
2011-04-01,0.987,0.9202
2011-04-06,0.984,-0.304
2011-04-07,0.983,-0.1016
2011-04-08,0.995,1.2208
2011-04-11,0.99,-0.5025
2011-04-12,0.988,-0.202
2011-04-13,0.994,0.6073
2011-04-14,0.989,-0.503
2011-04-15,0.989,0.0
2011-04-18,0.986,-0.3033
2011-04-19,0.978,-0.8114
2011-04-20,0.987,0.9202
2011-04-21,0.99,0.304
2011-04-22,0.988,-0.202
2011-04-25,0.979,-0.9109
2011-04-26,0.974,-0.5107
2011-04-27,0.967,-0.7187
2011-04-28,0.947,-2.0683
2011-04-29,0.959,1.2672
2011-05-03,0.969,1.0428
2011-05-04,0.956,-1.3416
2011-05-05,0.959,0.3138
2011-05-06,0.968,0.9385
2011-05-09,0.971,0.3099
2011-05-10,0.972,0.103
2011-05-11,0.976,0.4115
2011-05-12,0.969,-0.7172
2011-05-13,0.975,0.6192
2011-05-16,0.973,-0.2051
2011-05-17,0.965,-0.8222
2011-05-18,0.972,0.7254
2011-05-19,0.971,-0.1029
2011-05-20,0.972,0.103
2011-05-23,0.951,-2.1605
2011-05-24,0.949,-0.2103
2011-05-25,0.942,-0.7376
2011-05-26,0.936,-0.6369
2011-05-27,0.926,-1.0684
2011-05-30,0.924,-0.216
2011-05-31,0.937,1.4069
2011-06-01,0.942,0.5336
2011-06-02,0.937,-0.5308
2011-06-03,0.945,0.8538
2011-06-07,0.951,0.6349
2011-06-08,0.956,0.5258
2011-06-09,0.939,-1.7782
2011-06-10,0.936,-0.3195
2011-06-13,0.939,0.3205
2011-06-14,0.949,1.065
2011-06-15,0.939,-1.0537
2011-06-16,0.924,-1.5974
2011-06-17,0.91,-1.5152
2011-06-20,0.902,-0.8791
2011-06-21,0.91,0.8869
