净值日期,单位净值,日增长率
2022-06-17,1.0,0.0
2022-06-20,0.9998,-0.02
2022-06-21,0.9998,0.0
2022-06-22,0.9997,-0.01
2022-06-23,0.9997,0.0
2022-06-24,0.9997,0.0
2022-06-27,0.9995,-0.02
2022-06-28,0.9995,0.0
2022-06-29,0.9995,0.0
2022-06-30,0.9995,0.0
2022-07-01,0.9995,0.0
2022-07-04,0.9995,0.0
2022-07-05,0.9994,-0.01
2022-07-06,0.9994,0.0
2022-07-07,0.9994,0.0
2022-07-08,0.9994,0.0
2022-07-11,0.9993,-0.01
2022-07-12,0.9993,0.0
2022-07-13,0.9993,0.0
2022-07-14,0.9993,0.0
2022-07-15,0.9992,-0.01
2022-07-18,0.9992,0.0
2022-07-19,0.9991,-0.01
2022-07-20,0.999,-0.01
2022-07-21,0.9978,-0.12
2022-07-22,0.998,0.02
2022-07-25,0.9971,-0.09
2022-07-26,0.9978,0.07
2022-07-27,0.9976,-0.02
2022-07-28,0.9958,-0.18
2022-07-29,0.9943,-0.15
2022-08-01,0.9991,0.48
2022-08-02,0.9966,-0.25
2022-08-03,0.9924,-0.42
2022-08-04,0.9931,0.07
2022-08-05,0.9955,0.24
2022-08-08,0.9952,-0.03
2022-08-09,0.9971,0.19
2022-08-10,0.9922,-0.49
2022-08-11,0.9966,0.44
2022-08-12,0.9928,-0.38
2022-08-15,0.9987,0.59
2022-08-16,0.9988,0.01
2022-08-17,0.9979,-0.09
2022-08-18,0.9931,-0.48
2022-08-19,0.9802,-1.3
2022-08-22,0.9989,1.91
2022-08-23,1.0003,0.14
2022-08-24,0.9785,-2.18
2022-08-25,0.9652,-1.36
2022-08-26,0.9619,-0.34
2022-08-29,0.9578,-0.43
2022-08-30,0.9534,-0.46
2022-08-31,0.9313,-2.32
2022-09-01,0.9224,-0.96
2022-09-02,0.9167,-0.62
2022-09-05,0.9131,-0.39
2022-09-06,0.9213,0.9
2022-09-07,0.9323,1.19
2022-09-08,0.9168,-1.66
2022-09-09,0.9269,1.1
2022-09-13,0.931,0.44
2022-09-14,0.9158,-1.63
2022-09-15,0.8896,-2.86
2022-09-16,0.8778,-1.33
2022-09-19,0.8845,0.76
2022-09-20,0.9027,2.06
2022-09-21,0.8994,-0.37
2022-09-22,0.898,-0.16
2022-09-23,0.8902,-0.87
2022-09-26,0.9011,1.22
2022-09-27,0.9001,-0.11
2022-09-28,0.8649,-3.91
2022-09-29,0.8733,0.97
2022-09-30,0.8479,-2.91
2022-10-10,0.8271,-2.45
2022-10-11,0.8476,2.48
2022-10-12,0.8703,2.68
2022-10-13,0.8605,-1.13
2022-10-14,0.8671,0.77
2022-10-17,0.8602,-0.8
2022-10-18,0.8623,0.24
2022-10-19,0.8647,0.28
2022-10-20,0.8472,-2.02
2022-10-21,0.8404,-0.8
2022-10-24,0.8341,-0.75
2022-10-25,0.8411,0.84
2022-10-26,0.8426,0.18
2022-10-27,0.8272,-1.83
2022-10-28,0.7836,-5.27
2022-10-31,0.7937,1.29
2022-11-01,0.8299,4.56
2022-11-02,0.8498,2.4
2022-11-03,0.8511,0.15
2022-11-04,0.8974,5.44
2022-11-07,0.9086,1.25
2022-11-08,0.9061,-0.28
2022-11-09,0.8948,-1.25
2022-11-10,0.8656,-3.26
2022-11-11,0.8778,1.41
2022-11-14,0.8501,-3.16
2022-11-15,0.871,2.46
2022-11-16,0.8513,-2.26
2022-11-17,0.8315,-2.33
2022-11-18,0.8211,-1.25
2022-11-21,0.8368,1.91
2022-11-22,0.8184,-2.2
2022-11-23,0.8228,0.54
2022-11-24,0.8265,0.45
2022-11-25,0.8064,-2.43
2022-11-28,0.7997,-0.83
2022-11-29,0.7986,-0.14
2022-11-30,0.8126,1.75
2022-12-01,0.8257,1.61
2022-12-02,0.8237,-0.24
2022-12-05,0.8167,-0.85
2022-12-06,0.8248,0.99
2022-12-07,0.8397,1.81
2022-12-08,0.8386,-0.13
2022-12-09,0.8362,-0.29
2022-12-12,0.8236,-1.51
2022-12-13,0.807,-2.02
2022-12-14,0.8014,-0.69
2022-12-15,0.8218,2.55
2022-12-16,0.7963,-3.1
2022-12-19,0.7993,0.38
2022-12-20,0.7864,-1.61
2022-12-21,0.7818,-0.58
2022-12-22,0.7629,-2.42
2022-12-23,0.7509,-1.57
2022-12-26,0.7801,3.89
2022-12-27,0.7854,0.68
2022-12-28,0.7672,-2.32
2022-12-29,0.7675,0.04
2022-12-30,0.7577,-1.28
2022-12-31,0.7576,-0.01
2023-01-03,0.7687,1.45
2023-01-04,0.7546,-1.83
2023-01-05,0.7805,3.43
2023-01-06,0.7937,1.69
2023-01-09,0.7967,0.38
2023-01-10,0.8044,0.97
2023-01-11,0.7889,-1.93
2023-01-12,0.7985,1.22
2023-01-13,0.7977,-0.1
2023-01-16,0.7945,-0.4
2023-01-17,0.7978,0.42
2023-01-18,0.8011,0.41
2023-01-19,0.7998,-0.16
2023-01-20,0.8105,1.34
2023-01-30,0.8347,2.99
2023-01-31,0.8343,-0.05
2023-02-01,0.8529,2.23
2023-02-02,0.8451,-0.91
2023-02-03,0.8304,-1.74
2023-02-06,0.8158,-1.76
2023-02-07,0.8118,-0.49
2023-02-08,0.8146,0.34
2023-02-09,0.8175,0.36
2023-02-10,0.8008,-2.04
2023-02-13,0.8066,0.72
2023-02-14,0.8031,-0.43
2023-02-15,0.7958,-0.91
2023-02-16,0.7855,-1.29
2023-02-17,0.7664,-2.43
2023-02-20,0.7644,-0.26
2023-02-21,0.767,0.34
2023-02-22,0.76,-0.91
2023-02-23,0.7689,1.17
2023-02-24,0.7594,-1.24
2023-02-27,0.7531,-0.83
2023-02-28,0.7549,0.24
2023-03-01,0.7561,0.16
2023-03-02,0.739,-2.26
2023-03-03,0.7382,-0.11
2023-03-06,0.7414,0.43
2023-03-07,0.7279,-1.82
2023-03-08,0.7245,-0.47
2023-03-09,0.7236,-0.12
2023-03-10,0.7099,-1.89
2023-03-13,0.7019,-1.13
2023-03-14,0.6947,-1.03
2023-03-15,0.6926,-0.3
2023-03-16,0.678,-2.11
2023-03-17,0.6756,-0.35
2023-03-20,0.6801,0.67
2023-03-21,0.6973,2.53
2023-03-22,0.699,0.24
2023-03-23,0.6947,-0.62
2023-03-24,0.6954,0.1
2023-03-27,0.697,0.23
2023-03-28,0.6926,-0.63
2023-03-29,0.6998,1.04
2023-03-30,0.7011,0.19
2023-03-31,0.7055,0.63
2023-04-03,0.704,-0.21
2023-04-04,0.6868,-2.44
2023-04-06,0.6853,-0.22
2023-04-07,0.6867,0.2
2023-04-10,0.7008,2.05
2023-04-11,0.7003,-0.07
2023-04-12,0.6919,-1.2
2023-04-13,0.6871,-0.69
2023-04-14,0.7018,2.14
2023-04-17,0.7078,0.85
2023-04-18,0.7092,0.2
2023-04-19,0.706,-0.45
2023-04-20,0.6864,-2.78
2023-04-21,0.6769,-1.38
2023-04-24,0.6703,-0.98
2023-04-25,0.6458,-3.66
2023-04-26,0.6712,3.93
2023-04-27,0.6768,0.83
2023-04-28,0.6744,-0.35
2023-05-04,0.6707,-0.55
2023-05-05,0.6624,-1.24
2023-05-08,0.6666,0.63
2023-05-09,0.6543,-1.85
2023-05-10,0.6778,3.59
2023-05-11,0.6907,1.9
2023-05-12,0.681,-1.4
2023-05-15,0.7056,3.61
2023-05-16,0.7032,-0.34
2023-05-17,0.7001,-0.44
2023-05-18,0.6924,-1.1
2023-05-19,0.6886,-0.55
2023-05-22,0.6926,0.58
2023-05-23,0.685,-1.1
2023-05-24,0.6805,-0.66
2023-05-25,0.6797,-0.12
2023-05-26,0.6713,-1.24
2023-05-29,0.6607,-1.58
2023-05-30,0.6665,0.88
2023-05-31,0.6592,-1.1
