净值日期,单位净值,日增长率
2020-09-24,1.6883,0.0
2020-09-25,1.6688,-1.16
2020-09-28,1.6888,1.2
2020-09-29,1.7088,1.18
2020-09-30,1.7044,-0.26
2020-10-09,1.8014,5.69
2020-10-12,1.8536,2.9
2020-10-13,1.8699,0.88
2020-10-14,1.8695,-0.02
2020-10-15,1.8317,-2.02
2020-10-16,1.8028,-1.58
2020-10-19,1.7661,-2.04
2020-10-20,1.7726,0.37
2020-10-21,1.7486,-1.35
2020-10-22,1.7277,-1.2
2020-10-23,1.7043,-1.35
2020-10-26,1.7145,0.6
2020-10-27,1.7339,1.13
2020-10-28,1.7488,0.86
2020-10-29,1.7446,-0.24
2020-10-30,1.7194,-1.44
2020-11-02,1.7608,2.41
2020-11-03,1.7648,0.23
2020-11-04,1.764,-0.05
2020-11-05,1.8023,2.17
2020-11-06,1.7923,-0.55
2020-11-09,1.8294,2.07
2020-11-10,1.8478,1.01
2020-11-11,1.8496,0.1
2020-11-12,1.8684,1.02
2020-11-13,1.8415,-1.44
2020-11-16,1.8999,3.17
2020-11-17,1.8656,-1.81
2020-11-18,1.8618,-0.2
2020-11-19,1.8599,-0.1
2020-11-20,1.8954,1.91
2020-11-23,1.9277,1.7
2020-11-24,1.9202,-0.39
2020-11-25,1.8616,-3.05
2020-11-26,1.8533,-0.45
2020-11-27,1.854,0.04
2020-11-30,1.8471,-0.37
2020-12-01,1.8658,1.01
2020-12-02,1.8561,-0.52
2020-12-03,1.8181,-2.05
2020-12-04,1.8387,1.13
2020-12-07,1.8279,-0.59
2020-12-08,1.8322,0.24
2020-12-09,1.8154,-0.92
2020-12-10,1.8131,-0.13
2020-12-11,1.8022,-0.6
2020-12-14,1.7949,-0.41
2020-12-15,1.7958,0.05
2020-12-16,1.8026,0.38
2020-12-17,1.8275,1.38
2020-12-18,1.8544,1.47
2020-12-21,1.8959,2.24
2020-12-22,1.8356,-3.18
2020-12-23,1.8595,1.3
2020-12-24,1.8845,1.34
2020-12-25,1.9542,3.7
2020-12-28,1.9486,-0.29
2020-12-29,1.8896,-3.03
2020-12-30,1.9188,1.55
2020-12-31,1.943,1.26
2021-01-04,2.0223,4.08
2021-01-05,2.0878,3.24
2021-01-06,2.1267,1.86
2021-01-07,2.225,4.62
2021-01-08,2.2089,-0.72
2021-01-11,2.1766,-1.46
2021-01-12,2.2577,3.73
2021-01-13,2.207,-2.25
2021-01-14,2.1461,-2.76
2021-01-15,2.1624,0.76
2021-01-18,2.2246,2.88
2021-01-19,2.1833,-1.86
2021-01-20,2.2317,2.22
2021-01-21,2.2934,2.76
2021-01-22,2.3499,2.46
2021-01-25,2.3778,1.19
2021-01-26,2.3308,-1.98
2021-01-27,2.3557,1.07
2021-01-28,2.2469,-4.62
2021-01-29,2.2203,-1.18
2021-02-01,2.3023,3.69
2021-02-02,2.3954,4.04
2021-02-03,2.3844,-0.46
2021-02-04,2.3644,-0.84
2021-02-05,2.2556,-4.6
2021-02-08,2.3679,4.98
2021-02-09,2.4928,5.27
2021-02-10,2.5557,2.52
2021-02-18,2.6128,2.23
2021-02-19,2.5517,-2.34
2021-02-22,2.5602,0.33
2021-02-23,2.475,-3.33
2021-02-24,2.3415,-5.39
2021-02-25,2.3228,-0.8
2021-02-26,2.2355,-3.76
2021-03-01,2.288,2.35
2021-03-02,2.2169,-3.11
2021-03-03,2.2427,1.16
2021-03-04,2.1176,-5.58
2021-03-05,2.09,-1.3
2021-03-08,2.0318,-2.78
2021-03-09,1.9587,-3.6
2021-03-10,1.9674,0.44
2021-03-11,2.0316,3.26
2021-03-12,2.0596,1.38
2021-03-15,2.0087,-2.47
2021-03-16,2.0269,0.91
2021-03-17,2.0479,1.04
2021-03-18,2.0989,2.49
2021-03-19,2.0108,-4.2
2021-03-22,1.9847,-1.3
2021-03-23,1.9043,-4.05
2021-03-24,1.8247,-4.18
2021-03-25,1.8719,2.59
2021-03-26,1.913,2.2
2021-03-29,1.9471,1.78
2021-03-30,1.9758,1.47
2021-03-31,1.9388,-1.87
2021-04-01,1.9684,1.53
2021-04-02,1.9791,0.54
2021-04-06,1.9727,-0.32
2021-04-07,1.9771,0.22
2021-04-08,2.0084,1.58
2021-04-09,1.9612,-2.35
2021-04-12,1.8909,-3.58
2021-04-13,1.9121,1.12
2021-04-14,1.9532,2.15
2021-04-15,1.9714,0.93
2021-04-16,1.9898,0.93
2021-04-19,2.0459,2.82
2021-04-20,2.0519,0.29
2021-04-21,2.0498,-0.1
2021-04-22,2.0628,0.63
2021-04-23,2.0855,1.1
2021-04-26,2.0946,0.44
2021-04-27,2.0861,-0.41
2021-04-28,2.0942,0.39
2021-04-29,2.1084,0.68
2021-04-30,2.1036,-0.23
2021-05-06,2.1342,1.45
2021-05-07,2.1376,0.16
2021-05-10,2.1668,1.37
2021-05-11,2.1021,-2.99
2021-05-12,2.1128,0.51
2021-05-13,2.0546,-2.75
2021-05-14,2.0697,0.73
2021-05-17,2.1308,2.95
2021-05-18,2.1342,0.16
2021-05-19,2.1142,-0.94
2021-05-20,2.0657,-2.29
2021-05-21,2.0645,-0.06
2021-05-24,2.0594,-0.25
2021-05-25,2.1088,2.4
2021-05-26,2.1165,0.37
2021-05-27,2.1408,1.15
2021-05-28,2.1235,-0.81
2021-05-31,2.1482,1.16
2021-06-01,2.1735,1.18
2021-06-02,2.1633,-0.47
2021-06-03,2.1476,-0.73
2021-06-04,2.1432,-0.2
2021-06-07,2.1671,1.12
2021-06-08,2.118,-2.27
2021-06-09,2.155,1.75
2021-06-10,2.1694,0.67
2021-06-11,2.1561,-0.61
2021-06-15,2.1138,-1.96
2021-06-16,2.0222,-4.33
2021-06-17,2.0471,1.23
2021-06-18,2.0439,-0.16
2021-06-21,2.0381,-0.28
2021-06-22,2.0469,0.43
2021-06-23,2.1111,3.14
2021-06-24,2.1263,0.72
2021-06-25,2.1893,2.96
2021-06-28,2.1447,-2.04
2021-06-29,2.1161,-1.33
2021-06-30,2.1533,1.76
2021-07-01,2.1141,-1.82
2021-07-02,2.1142,0.0
2021-07-05,2.1881,3.5
