净值日期,单位净值,日增长率
2022-11-07,0.9932,0.0
2022-11-08,0.9831,-1.02
2022-11-09,0.9851,0.2
2022-11-10,0.9633,-2.21
2022-11-11,0.9567,-0.69
2022-11-14,0.936,-2.16
2022-11-15,0.9499,1.49
2022-11-16,0.9398,-1.06
2022-11-17,0.9338,-0.64
2022-11-18,0.9388,0.54
2022-11-21,0.942,0.34
2022-11-22,0.9304,-1.23
2022-11-23,0.9466,1.74
2022-11-24,0.9499,0.35
2022-11-25,0.9325,-1.83
2022-11-28,0.9355,0.32
2022-11-29,0.9237,-1.26
2022-11-30,0.9208,-0.31
2022-12-01,0.9242,0.37
2022-12-02,0.9402,1.73
2022-12-05,0.9246,-1.66
2022-12-06,0.9328,0.89
2022-12-07,0.9244,-0.9
2022-12-08,0.9211,-0.36
2022-12-09,0.9171,-0.43
2022-12-12,0.9126,-0.49
2022-12-13,0.8941,-2.03
2022-12-14,0.89,-0.46
2022-12-15,0.8954,0.61
2022-12-16,0.8763,-2.13
2022-12-19,0.8733,-0.34
2022-12-20,0.8751,0.21
2022-12-21,0.8661,-1.03
2022-12-22,0.8526,-1.56
2022-12-23,0.8368,-1.85
2022-12-26,0.8726,4.28
2022-12-27,0.8922,2.25
2022-12-28,0.89,-0.25
2022-12-29,0.8886,-0.16
2022-12-30,0.8847,-0.44
2022-12-31,0.8846,-0.01
2023-01-03,0.8998,1.71
2023-01-04,0.886,-1.53
2023-01-05,0.9006,1.65
2023-01-06,0.9269,2.92
2023-01-09,0.9209,-0.65
2023-01-10,0.9247,0.41
2023-01-11,0.9092,-1.68
2023-01-12,0.9067,-0.27
2023-01-13,0.8951,-1.28
2023-01-16,0.9,0.55
2023-01-17,0.9034,0.38
2023-01-18,0.9052,0.2
2023-01-19,0.9054,0.02
2023-01-20,0.9096,0.46
2023-01-30,0.9189,1.02
2023-01-31,0.93,1.21
2023-02-01,0.93,0.0
2023-02-02,0.9233,-0.72
2023-02-03,0.9192,-0.44
2023-02-06,0.9222,0.33
2023-02-07,0.9146,-0.82
2023-02-08,0.9085,-0.67
2023-02-09,0.9187,1.12
2023-02-10,0.8998,-2.06
2023-02-13,0.8996,-0.02
2023-02-14,0.8986,-0.11
2023-02-15,0.8896,-1.0
2023-02-16,0.8701,-2.19
2023-02-17,0.8539,-1.86
2023-02-20,0.8642,1.21
2023-02-21,0.8655,0.15
2023-02-22,0.8664,0.1
2023-02-23,0.8832,1.94
2023-02-24,0.8785,-0.53
2023-02-27,0.8837,0.59
2023-02-28,0.8895,0.66
2023-03-01,0.8843,-0.58
2023-03-02,0.8695,-1.67
2023-03-03,0.8624,-0.82
2023-03-06,0.8833,2.42
2023-03-07,0.8625,-2.35
2023-03-08,0.8662,0.43
2023-03-09,0.8685,0.27
2023-03-10,0.8583,-1.17
2023-03-13,0.8675,1.07
2023-03-14,0.8582,-1.07
2023-03-15,0.8487,-1.11
2023-03-16,0.8265,-2.62
2023-03-17,0.8324,0.71
2023-03-20,0.8329,0.06
2023-03-21,0.8318,-0.13
2023-03-22,0.8385,0.81
2023-03-23,0.8394,0.11
2023-03-24,0.8305,-1.06
2023-03-27,0.8249,-0.67
2023-03-28,0.8117,-1.6
2023-03-29,0.8144,0.33
2023-03-30,0.8099,-0.55
2023-03-31,0.817,0.88
2023-04-03,0.8374,2.5
2023-04-04,0.8329,-0.54
2023-04-06,0.8401,0.86
2023-04-07,0.8534,1.58
2023-04-10,0.8446,-1.03
2023-04-11,0.8383,-0.75
2023-04-12,0.842,0.44
2023-04-13,0.831,-1.31
2023-04-14,0.848,2.05
2023-04-17,0.8513,0.39
2023-04-18,0.8499,-0.16
2023-04-19,0.856,0.72
2023-04-20,0.8549,-0.13
2023-04-21,0.8316,-2.73
2023-04-24,0.822,-1.15
2023-04-25,0.81,-1.46
2023-04-26,0.8075,-0.31
2023-04-27,0.8082,0.09
2023-04-28,0.8089,0.09
2023-05-04,0.8008,-1.0
2023-05-05,0.7929,-0.99
2023-05-08,0.7915,-0.18
2023-05-09,0.7801,-1.44
2023-05-10,0.7846,0.58
2023-05-11,0.7854,0.1
2023-05-12,0.7771,-1.06
2023-05-15,0.792,1.92
2023-05-16,0.7928,0.1
2023-05-17,0.791,-0.23
2023-05-18,0.7853,-0.72
2023-05-19,0.7924,0.9
2023-05-22,0.7969,0.57
2023-05-23,0.7894,-0.94
2023-05-24,0.7915,0.27
2023-05-25,0.7982,0.85
2023-05-26,0.792,-0.78
2023-05-29,0.785,-0.88
2023-05-30,0.7914,0.82
2023-05-31,0.7834,-1.01
2023-06-01,0.7825,-0.11
2023-06-02,0.7898,0.93
2023-06-05,0.7911,0.16
2023-06-06,0.7812,-1.25
2023-06-07,0.7767,-0.58
2023-06-08,0.7664,-1.33
2023-06-09,0.7783,1.55
2023-06-12,0.7905,1.57
2023-06-13,0.7953,0.61
2023-06-14,0.8127,2.19
2023-06-15,0.8253,1.55
2023-06-16,0.854,3.48
2023-06-19,0.8694,1.8
2023-06-20,0.8738,0.51
2023-06-21,0.85,-2.72
2023-06-26,0.8312,-2.21
2023-06-27,0.8328,0.19
2023-06-28,0.8307,-0.25
2023-06-29,0.8427,1.44
2023-06-30,0.8493,0.78
2023-07-03,0.8506,0.15
2023-07-04,0.8544,0.45
2023-07-05,0.8414,-1.52
2023-07-06,0.8374,-0.48
2023-07-07,0.8312,-0.74
2023-07-10,0.8342,0.36
2023-07-11,0.8368,0.31
2023-07-12,0.8292,-0.91
2023-07-13,0.84,1.3
2023-07-14,0.832,-0.95
2023-07-17,0.8336,0.19
2023-07-18,0.8351,0.18
2023-07-19,0.824,-1.33
2023-07-20,0.8136,-1.26
2023-07-21,0.8114,-0.27
2023-07-24,0.8056,-0.71
2023-07-25,0.8133,0.96
2023-07-26,0.8138,0.06
2023-07-27,0.81,-0.47
2023-07-28,0.8123,0.28
2023-07-31,0.811,-0.16
2023-08-01,0.8043,-0.83
2023-08-02,0.8085,0.52
2023-08-03,0.8136,0.63
2023-08-04,0.8241,1.29
2023-08-07,0.825,0.11
2023-08-08,0.8161,-1.08
2023-08-09,0.8076,-1.04
2023-08-10,0.8033,-0.53
2023-08-11,0.7933,-1.24
2023-08-14,0.7919,-0.18
2023-08-15,0.7892,-0.34
2023-08-16,0.7758,-1.7
2023-08-17,0.7773,0.19
2023-08-18,0.772,-0.68
2023-08-21,0.7614,-1.37
2023-08-22,0.7657,0.56
2023-08-23,0.7504,-2.0
2023-08-24,0.7552,0.64
2023-08-25,0.7417,-1.79
2023-08-28,0.7367,-0.67
2023-08-29,0.7508,1.91
2023-08-30,0.7514,0.08
2023-08-31,0.7518,0.05
2023-09-01,0.7565,0.63
2023-09-04,0.7589,0.32
2023-09-05,0.7556,-0.43
2023-09-06,0.7506,-0.66
2023-09-07,0.7375,-1.75
2023-09-08,0.7347,-0.38
2023-09-11,0.7411,0.87
2023-09-12,0.7382,-0.39
2023-09-13,0.7285,-1.31
2023-09-14,0.7232,-0.73
2023-09-15,0.7166,-0.91
2023-09-18,0.7238,1.0
2023-09-19,0.7177,-0.84
2023-09-20,0.7103,-1.03
2023-09-21,0.7045,-0.82
2023-09-22,0.7194,2.11
2023-09-25,0.7152,-0.58
2023-09-26,0.7143,-0.13
2023-09-27,0.7169,0.36
2023-09-28,0.7173,0.06
2023-10-09,0.7184,0.15
2023-10-10,0.71,-1.17
2023-10-11,0.7064,-0.51
2023-10-12,0.7071,0.1
2023-10-13,0.7029,-0.59
2023-10-16,0.7012,-0.24
2023-10-17,0.6979,-0.47
2023-10-18,0.6928,-0.73
2023-10-19,0.6814,-1.65
2023-10-20,0.6729,-1.25
2023-10-23,0.6646,-1.23
2023-10-24,0.6745,1.49
2023-10-25,0.6803,0.86
2023-10-26,0.6838,0.51
2023-10-27,0.6921,1.21
2023-10-30,0.6989,0.98
2023-10-31,0.6929,-0.86
2023-11-01,0.6943,0.2
2023-11-02,0.6839,-1.5
2023-11-03,0.6967,1.87
2023-11-06,0.7126,2.28
2023-11-07,0.7124,-0.03
2023-11-08,0.709,-0.48
2023-11-09,0.7073,-0.24
2023-11-10,0.7047,-0.37
2023-11-13,0.7072,0.35
2023-11-14,0.7151,1.12
2023-11-15,0.7231,1.12
