净值日期,单位净值,日增长率
2022-11-29,1.0,0.0
2022-12-02,0.997,0.0
2022-12-09,0.9815,0.0
2022-12-16,0.9592,0.0
2022-12-23,0.9357,0.0
2022-12-30,0.9866,0.0
2022-12-31,0.9865,-0.01
2023-01-05,1.0068,0.0
2023-01-06,1.0222,1.53
2023-01-09,1.0227,0.05
2023-01-10,1.0199,-0.27
2023-01-11,1.0088,-1.09
2023-01-12,1.0127,0.39
2023-01-13,1.004,-0.86
2023-01-16,1.0069,0.29
2023-01-17,1.0069,0.0
2023-01-18,1.0089,0.2
2023-01-19,0.9992,-0.96
2023-01-20,1.0155,1.63
2023-01-30,1.0329,1.71
2023-01-31,1.0506,1.71
2023-02-01,1.0529,0.22
2023-02-02,1.0474,-0.52
2023-02-03,1.0348,-1.2
2023-02-06,1.0255,-0.9
2023-02-07,1.0298,0.42
2023-02-08,1.0293,-0.05
2023-02-09,1.0407,1.11
2023-02-10,1.0316,-0.87
2023-02-13,1.0285,-0.3
2023-02-14,1.0334,0.48
2023-02-15,1.0305,-0.28
2023-02-16,1.0115,-1.84
2023-02-17,0.991,-2.03
2023-02-20,1.002,1.11
2023-02-21,1.0135,1.15
2023-02-22,1.0146,0.11
2023-02-23,1.0291,1.43
2023-02-24,1.0168,-1.2
2023-02-27,1.0163,-0.05
2023-02-28,1.0166,0.03
2023-03-01,1.0125,-0.4
2023-03-02,0.9993,-1.3
2023-03-03,1.0007,0.14
2023-03-06,1.0205,1.98
2023-03-07,1.0025,-1.76
2023-03-08,0.9927,-0.98
2023-03-09,0.9847,-0.81
2023-03-10,0.9699,-1.5
2023-03-13,0.9637,-0.64
2023-03-14,0.951,-1.32
2023-03-15,0.9589,0.83
2023-03-16,0.9323,-2.77
2023-03-17,0.9288,-0.38
2023-03-20,0.9363,0.81
2023-03-21,0.9518,1.66
2023-03-22,0.9491,-0.28
2023-03-23,0.941,-0.85
2023-03-24,0.9429,0.2
2023-03-27,0.9666,2.51
2023-03-28,0.9535,-1.36
2023-03-29,0.952,-0.16
2023-03-30,0.9631,1.17
2023-03-31,0.9618,-0.13
2023-04-03,0.9577,-0.43
2023-04-04,0.9347,-2.4
2023-04-06,0.9374,0.29
2023-04-07,0.942,0.49
2023-04-10,0.9532,1.19
2023-04-11,0.9435,-1.02
2023-04-12,0.9319,-1.23
2023-04-13,0.9276,-0.46
2023-04-14,0.9343,0.72
2023-04-17,0.9464,1.3
2023-04-18,0.9492,0.3
2023-04-19,0.9358,-1.41
2023-04-20,0.9185,-1.85
2023-04-21,0.9043,-1.55
2023-04-24,0.8993,-0.55
2023-04-25,0.8912,-0.9
2023-04-26,0.9356,4.98
2023-04-27,0.9359,0.03
2023-04-28,0.9314,-0.48
2023-05-04,0.9378,0.69
2023-05-05,0.9222,-1.66
2023-05-08,0.9355,1.44
2023-05-09,0.9179,-1.88
2023-05-10,0.941,2.52
2023-05-11,0.9538,1.36
2023-05-12,0.9519,-0.2
2023-05-15,0.979,2.85
2023-05-16,0.9847,0.58
2023-05-17,0.9906,0.6
2023-05-18,0.9779,-1.28
2023-05-19,0.9735,-0.45
2023-05-22,0.9891,1.6
2023-05-23,0.9715,-1.78
2023-05-24,0.9734,0.2
2023-05-25,0.9855,1.24
2023-05-26,0.9785,-0.71
2023-05-29,0.9785,0.0
2023-05-30,0.9727,-0.59
2023-05-31,0.9636,-0.94
2023-06-01,0.9637,0.01
2023-06-02,0.9777,1.45
2023-06-05,0.9663,-1.17
2023-06-06,0.9424,-2.47
2023-06-07,0.9297,-1.35
2023-06-08,0.924,-0.61
2023-06-09,0.9453,2.31
2023-06-12,0.9254,-2.11
2023-06-13,0.9249,-0.05
2023-06-14,0.9157,-0.99
2023-06-15,0.9409,2.75
2023-06-16,0.9423,0.15
2023-06-19,0.9458,0.37
2023-06-20,0.9422,-0.38
2023-06-21,0.9307,-1.22
2023-06-26,0.9335,0.3
2023-06-27,0.935,0.16
2023-06-28,0.9386,0.39
2023-06-29,0.9318,-0.72
2023-06-30,0.9413,1.02
2023-07-03,0.9642,2.43
2023-07-04,0.9566,-0.79
2023-07-05,0.945,-1.21
2023-07-06,0.938,-0.74
2023-07-07,0.9262,-1.26
2023-07-10,0.9344,0.89
2023-07-11,0.9393,0.52
2023-07-12,0.934,-0.56
2023-07-13,0.9378,0.41
2023-07-14,0.9231,-1.57
2023-07-17,0.9177,-0.58
2023-07-18,0.9115,-0.68
2023-07-19,0.9028,-0.95
2023-07-20,0.8955,-0.81
2023-07-21,0.8926,-0.32
2023-07-24,0.8902,-0.27
2023-07-25,0.8896,-0.07
2023-07-26,0.8883,-0.15
2023-07-27,0.8902,0.21
2023-07-28,0.8916,0.16
2023-07-31,0.9024,1.21
2023-08-01,0.9072,0.53
2023-08-02,0.9012,-0.66
2023-08-03,0.9041,0.32
2023-08-04,0.8983,-0.64
2023-08-07,0.8982,-0.01
2023-08-08,0.8891,-1.01
2023-08-09,0.882,-0.8
2023-08-10,0.8842,0.25
2023-08-11,0.8696,-1.65
2023-08-14,0.8732,0.41
2023-08-15,0.8672,-0.69
2023-08-16,0.8585,-1.0
2023-08-17,0.8597,0.14
2023-08-18,0.8503,-1.09
2023-08-21,0.8411,-1.08
2023-08-22,0.8351,-0.71
2023-08-23,0.8137,-2.56
2023-08-24,0.8155,0.22
2023-08-25,0.8072,-1.02
2023-08-28,0.8078,0.07
2023-08-29,0.8256,2.2
2023-08-30,0.8196,-0.73
2023-08-31,0.8141,-0.67
2023-09-01,0.8166,0.31
2023-09-04,0.8218,0.64
2023-09-05,0.8233,0.18
2023-09-06,0.8207,-0.32
2023-09-07,0.8047,-1.95
2023-09-08,0.8055,0.1
2023-09-11,0.8078,0.29
2023-09-12,0.8093,0.19
2023-09-13,0.8009,-1.04
2023-09-14,0.7945,-0.8
2023-09-15,0.7875,-0.88
2023-09-18,0.7904,0.37
2023-09-19,0.7852,-0.66
2023-09-20,0.776,-1.17
2023-09-21,0.7703,-0.73
2023-09-22,0.7814,1.44
2023-09-25,0.7787,-0.35
2023-09-26,0.777,-0.22
2023-09-27,0.7995,2.9
2023-09-28,0.8063,0.85
2023-10-09,0.8017,-0.57
2023-10-10,0.7926,-1.14
2023-10-11,0.7882,-0.56
2023-10-12,0.8146,3.35
2023-10-13,0.8076,-0.86
2023-10-16,0.7938,-1.71
2023-10-17,0.8017,1.0
2023-10-18,0.784,-2.21
2023-10-19,0.7783,-0.73
2023-10-20,0.7972,2.43
2023-10-23,0.783,-1.78
2023-10-24,0.7892,0.79
2023-10-25,0.7835,-0.72
2023-10-26,0.7869,0.43
2023-10-27,0.8062,2.45
2023-10-30,0.8084,0.27
2023-10-31,0.7998,-1.06
2023-11-01,0.8052,0.68
2023-11-02,0.7965,-1.08
2023-11-03,0.8067,1.28
2023-11-06,0.8224,1.95
2023-11-07,0.8182,-0.51
2023-11-08,0.808,-1.25
2023-11-09,0.8119,0.48
2023-11-10,0.8056,-0.78
2023-11-13,0.8034,-0.27
2023-11-14,0.8011,-0.29
2023-11-15,0.8128,1.46
2023-11-16,0.7938,-2.34
2023-11-17,0.7963,0.31
2023-11-20,0.7938,-0.31
2023-11-21,0.7876,-0.78
2023-11-22,0.7744,-1.68
2023-11-23,0.7802,0.75
2023-11-24,0.7712,-1.15
2023-11-27,0.7675,-0.48
2023-11-28,0.777,1.24
2023-11-29,0.7681,-1.15
2023-11-30,0.7609,-0.94
2023-12-01,0.7588,-0.28
2023-12-04,0.7567,-0.28
2023-12-05,0.7545,-0.29
