序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,00939,建设银行,2.06,237.0,1618.49,2025年3季度股票投资明细
2,002508,老板电器,1.75,72.0,1373.76,2025年3季度股票投资明细
3,601668,中国建筑,1.7,245.0,1335.25,2025年3季度股票投资明细
4,01999,敏华控股,1.67,334.0,1314.27,2025年3季度股票投资明细
5,01398,工商银行,1.58,237.0,1242.0,2025年3季度股票投资明细
6,00883,中国海洋石油,1.53,69.5,1208.13,2025年3季度股票投资明细
7,01088,中国神华,1.52,35.2,1195.49,2025年3季度股票投资明细
8,600729,重庆百货,1.49,44.3,1176.17,2025年3季度股票投资明细
9,00914,海螺水泥,1.4,51.25,1099.57,2025年3季度股票投资明细
10,002867,周大生,1.33,77.5,1046.25,2025年3季度股票投资明细
11,601398,工商银行,0.39,42.09,307.26,2025年3季度股票投资明细
12,601939,建设银行,0.31,28.0,241.08,2025年3季度股票投资明细
13,600585,海螺水泥,0.18,6.0,139.32,2025年3季度股票投资明细
14,601088,中国神华,0.07,1.5,57.75,2025年3季度股票投资明细
