序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,688041,海光信息,7.25,78.04,11026.66,2025年1季度股票投资明细
2,603501,韦尔股份,6.47,74.14,9839.86,2025年1季度股票投资明细
3,688256,寒武纪,6.28,15.32,9546.17,2025年1季度股票投资明细
4,688012,中微公司,6.16,50.81,9366.78,2025年1季度股票投资明细
5,603986,兆易创新,5.92,76.99,8998.86,2025年1季度股票投资明细
6,00981,中芯国际,4.79,171.15,7281.14,2025年1季度股票投资明细
7,603160,汇顶科技,4.53,92.47,6888.24,2025年1季度股票投资明细
8,688981,中芯国际,4.43,75.48,6742.77,2025年1季度股票投资明细
9,300054,鼎龙股份,4.15,220.98,6313.4,2025年1季度股票投资明细
10,002371,北方华创,3.5,12.8,5322.72,2025年1季度股票投资明细
11,688099,晶晨股份,3.24,59.14,4935.36,2025年1季度股票投资明细
12,688041,海光信息,6.89,73.18,10339.64,2025年2季度股票投资明细
13,603986,兆易创新,6.5,76.99,9741.84,2025年2季度股票投资明细
14,603501,豪威集团,6.31,74.14,9463.97,2025年2季度股票投资明细
15,00981,中芯国际,5.04,185.4,7557.68,2025年2季度股票投资明细
16,688981,中芯国际,4.44,75.48,6655.21,2025年2季度股票投资明细
17,002371,北方华创,4.42,15.01,6635.36,2025年2季度股票投资明细
18,688256,寒武纪,4.42,11.02,6628.11,2025年2季度股票投资明细
19,603160,汇顶科技,4.38,92.47,6568.29,2025年2季度股票投资明细
20,300054,鼎龙股份,4.23,220.98,6337.71,2025年2季度股票投资明细
21,000988,华工科技,3.23,102.95,4839.68,2025年2季度股票投资明细
22,688008,澜起科技,2.84,51.91,4256.36,2025年2季度股票投资明细
23,688099,晶晨股份,2.8,59.14,4199.64,2025年2季度股票投资明细
24,603306,华懋科技,2.65,91.28,3970.76,2025年2季度股票投资明细
25,688012,中微公司,2.53,20.84,3798.66,2025年2季度股票投资明细
26,300661,圣邦股份,2.4,49.49,3601.68,2025年2季度股票投资明细
27,09988,阿里巴巴-W,2.28,34.2,3424.52,2025年2季度股票投资明细
28,688010,福光股份,2.24,108.35,3363.08,2025年2季度股票投资明细
29,688047,龙芯中科,2.11,23.76,3168.93,2025年2季度股票投资明细
30,600845,宝信软件,2.05,129.98,3070.24,2025年2季度股票投资明细
31,06869,长飞光纤光缆,1.97,151.85,2949.62,2025年2季度股票投资明细
32,688502,茂莱光学,1.92,9.99,2872.34,2025年2季度股票投资明细
33,688591,泰凌微,1.89,59.02,2827.27,2025年2季度股票投资明细
34,688311,盟升电子,1.86,64.7,2785.54,2025年2季度股票投资明细
35,688458,美芯晟,1.62,51.66,2436.49,2025年2季度股票投资明细
36,688279,峰岹科技,1.62,13.07,2423.8,2025年2季度股票投资明细
37,002222,福晶科技,1.25,54.71,1870.98,2025年2季度股票投资明细
38,688368,晶丰明源,0.99,16.91,1484.81,2025年2季度股票投资明细
39,688508,芯朋微,0.95,25.43,1419.28,2025年2季度股票投资明细
40,300308,中际旭创,0.92,9.41,1372.54,2025年2季度股票投资明细
41,688498,源杰科技,0.84,6.44,1255.66,2025年2季度股票投资明细
42,03690,美团-W,0.8,10.51,1200.95,2025年2季度股票投资明细
43,688035,德邦科技,0.77,28.34,1151.23,2025年2季度股票投资明细
44,02577,英诺赛科,0.55,24.07,817.66,2025年2季度股票投资明细
45,301392,汇成真空,0.53,6.62,789.17,2025年2季度股票投资明细
46,03888,金山软件,0.47,19.0,708.68,2025年2季度股票投资明细
47,01801,信达生物,0.46,9.7,693.52,2025年2季度股票投资明细
48,688629,华丰科技,0.43,11.38,650.78,2025年2季度股票投资明细
49,301307,美利信,0.4,24.67,594.55,2025年2季度股票投资明细
50,00175,吉利汽车,0.37,37.9,551.62,2025年2季度股票投资明细
51,688439,振华风光,0.27,7.0,407.89,2025年2季度股票投资明细
52,01347,华虹半导体,0.2,9.6,303.79,2025年2季度股票投资明细
