序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,000988,华工科技,10.72,119.82,4923.24,2025年1季度股票投资明细
2,002595,豪迈科技,6.14,47.65,2819.93,2025年1季度股票投资明细
3,002008,大族激光,6.11,100.33,2807.18,2025年1季度股票投资明细
4,300124,汇川技术,5.01,33.78,2303.12,2025年1季度股票投资明细
5,600549,厦门钨业,4.76,113.1,2185.04,2025年1季度股票投资明细
6,600862,中航高科,4.52,87.04,2074.06,2025年1季度股票投资明细
7,688017,绿的谐波,4.28,13.18,1965.14,2025年1季度股票投资明细
8,688188,柏楚电子,3.93,9.91,1806.52,2025年1季度股票投资明细
9,300083,创世纪,3.93,198.58,1803.09,2025年1季度股票投资明细
10,002176,江特电机,3.3,203.44,1517.7,2025年1季度股票投资明细
11,688449,联芸科技,0.01,0.14,6.22,2025年1季度股票投资明细
12,688605,先锋精科,0.01,0.07,5.38,2025年1季度股票投资明细
13,301658,首航新能,0.01,0.44,5.16,2025年1季度股票投资明细
14,688708,佳驰科技,0.01,0.08,4.27,2025年1季度股票投资明细
15,688726,拉普拉斯,0.01,0.1,4.25,2025年1季度股票投资明细
16,000988,华工科技,12.33,102.17,4802.83,2025年2季度股票投资明细
17,600862,中航高科,5.41,80.83,2107.93,2025年2季度股票投资明细
18,002008,大族激光,5.35,85.53,2084.32,2025年2季度股票投资明细
19,600549,厦门钨业,4.98,92.71,1939.44,2025年2季度股票投资明细
20,300124,汇川技术,4.94,29.78,1923.21,2025年2季度股票投资明细
21,002595,豪迈科技,4.57,30.04,1778.97,2025年2季度股票投资明细
22,688188,柏楚电子,3.96,11.73,1544.15,2025年2季度股票投资明细
23,688017,绿的谐波,3.58,11.17,1395.02,2025年2季度股票投资明细
24,300083,创世纪,3.57,169.3,1391.63,2025年2季度股票投资明细
25,002176,江特电机,3.23,173.38,1258.77,2025年2季度股票投资明细
26,300607,拓斯达,2.97,33.92,1156.39,2025年2季度股票投资明细
27,000657,中钨高新,2.82,92.62,1098.49,2025年2季度股票投资明细
28,002747,埃斯顿,2.75,52.86,1069.95,2025年2季度股票投资明细
29,002270,华明装备,2.35,54.64,914.67,2025年2季度股票投资明细
30,002979,雷赛智能,2.15,18.89,836.24,2025年2季度股票投资明细
31,000837,秦川机床,1.92,62.19,747.52,2025年2季度股票投资明细
32,002527,新时达,1.77,47.17,688.14,2025年2季度股票投资明细
33,688559,海目星,1.71,20.3,667.93,2025年2季度股票投资明细
34,002334,英威腾,1.68,82.74,656.13,2025年2季度股票投资明细
35,002122,汇洲智能,1.52,142.36,593.64,2025年2季度股票投资明细
36,603011,合锻智能,1.41,35.17,547.95,2025年2季度股票投资明细
37,002559,亚威股份,1.37,55.99,534.71,2025年2季度股票投资明细
38,002892,科力尔,1.35,37.71,525.29,2025年2季度股票投资明细
39,300809,华辰装备,1.26,13.01,488.99,2025年2季度股票投资明细
40,002046,国机精工,1.17,27.25,454.53,2025年2季度股票投资明细
41,688305,科德数控,1.16,8.11,452.34,2025年2季度股票投资明细
42,603416,信捷电气,1.15,7.99,447.8,2025年2季度股票投资明细
43,688320,禾川科技,1.12,9.27,438.23,2025年2季度股票投资明细
44,688698,伟创电气,1.05,8.66,408.75,2025年2季度股票投资明细
45,002520,日发精机,1.0,60.99,389.71,2025年2季度股票投资明细
46,002026,山东威达,0.99,31.71,385.23,2025年2季度股票投资明细
47,300161,华中数控,0.96,14.13,374.3,2025年2季度股票投资明细
48,002833,弘亚数控,0.91,21.55,352.62,2025年2季度股票投资明细
49,002843,泰嘉股份,0.88,15.48,343.5,2025年2季度股票投资明细
50,002943,宇晶股份,0.85,12.55,329.56,2025年2季度股票投资明细
51,300484,蓝海华腾,0.84,14.69,328.62,2025年2季度股票投资明细
52,601882,海天精工,0.78,15.97,304.99,2025年2季度股票投资明细
53,300179,四方达,0.78,29.64,302.58,2025年2季度股票投资明细
54,002248,华东数控,0.7,31.24,273.35,2025年2季度股票投资明细
55,300441,鲍斯股份,0.69,32.76,267.32,2025年2季度股票投资明细
56,688697,纽威数控,0.64,18.7,249.39,2025年2季度股票投资明细
57,603088,宁波精达,0.6,25.65,233.16,2025年2季度股票投资明细
58,300488,恒锋工具,0.59,7.02,228.99,2025年2季度股票投资明细
59,301377,鼎泰高科,0.58,6.28,225.83,2025年2季度股票投资明细
60,688577,浙海德曼,0.57,4.71,220.66,2025年2季度股票投资明细
61,300946,恒而达,0.56,4.67,219.96,2025年2季度股票投资明细
62,003025,思进智能,0.5,14.42,195.3,2025年2季度股票投资明细
63,002903,宇环数控,0.48,9.53,186.69,2025年2季度股票投资明细
