序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,600519,贵州茅台,8.77,0.08,124.88,2025年1季度股票投资明细
2,000333,美的集团,6.4,1.16,91.06,2025年1季度股票投资明细
3,600415,小商品城,5.86,5.48,83.46,2025年1季度股票投资明细
4,603369,今世缘,5.57,1.5,79.32,2025年1季度股票投资明细
5,01801,信达生物,5.14,1.7,73.11,2025年1季度股票投资明细
6,688271,联影医疗,4.89,0.57,69.53,2025年1季度股票投资明细
7,603345,安井食品,4.65,0.83,66.23,2025年1季度股票投资明细
8,605499,东鹏饮料,4.55,0.26,64.73,2025年1季度股票投资明细
9,02273,固生堂,4.1,1.96,58.42,2025年1季度股票投资明细
10,600887,伊利股份,3.59,1.82,51.11,2025年1季度股票投资明细
11,600276,恒瑞医药,6.53,1.43,74.22,2025年2季度股票投资明细
12,688192,迪哲医药,5.78,1.1,65.78,2025年2季度股票投资明细
13,603345,安井食品,5.66,0.8,64.34,2025年2季度股票投资明细
14,01530,三生制药,5.59,2.95,63.62,2025年2季度股票投资明细
15,02273,固生堂,5.23,1.9,59.52,2025年2季度股票投资明细
16,600415,小商品城,4.91,2.7,55.84,2025年2季度股票投资明细
17,301498,乖宝宠物,4.9,0.51,55.78,2025年2季度股票投资明细
18,605499,东鹏饮料,4.69,0.17,53.39,2025年2季度股票投资明细
19,01797,东方甄选,4.09,4.3,46.51,2025年2季度股票投资明细
20,00700,腾讯控股,4.03,0.1,45.87,2025年2季度股票投资明细
21,688321,微芯生物,3.99,1.91,45.42,2025年2季度股票投资明细
22,688271,联影医疗,3.93,0.35,44.71,2025年2季度股票投资明细
23,600887,伊利股份,3.87,1.58,44.05,2025年2季度股票投资明细
24,603193,润本股份,3.31,1.2,37.69,2025年2季度股票投资明细
25,002697,红旗连锁,3.29,7.0,37.45,2025年2季度股票投资明细
26,01810,小米集团-W,3.17,0.66,36.08,2025年2季度股票投资明细
27,300888,稳健医疗,2.89,0.8,32.88,2025年2季度股票投资明细
28,06990,科伦博泰生物-B,2.36,0.09,26.86,2025年2季度股票投资明细
29,02556,迈富时,2.34,0.6,26.59,2025年2季度股票投资明细
30,300791,仙乐健康,2.3,1.1,26.19,2025年2季度股票投资明细
31,301078,孩子王,2.07,1.8,23.53,2025年2季度股票投资明细
32,09992,泡泡玛特,1.71,0.08,19.45,2025年2季度股票投资明细
33,00325,布鲁可,1.7,0.15,19.32,2025年2季度股票投资明细
34,01951,锦欣生殖,1.47,6.0,16.74,2025年2季度股票投资明细
35,06618,京东健康,1.38,0.4,15.69,2025年2季度股票投资明细
36,002701,奥瑞金,1.05,2.0,11.9,2025年2季度股票投资明细
37,02228,晶泰控股,0.65,1.4,7.42,2025年2季度股票投资明细
38,920982,锦波生物,0.63,0.02,7.12,2025年2季度股票投资明细
39,01318,毛戈平,0.17,0.02,1.98,2025年2季度股票投资明细
40,01801,信达生物,0.13,0.02,1.43,2025年2季度股票投资明细
41,688271,联影医疗,7.64,0.58,88.58,2025年3季度股票投资明细
42,06990,科伦博泰生物-B,7.16,0.18,83.01,2025年3季度股票投资明细
43,09926,康方生物,6.67,0.6,77.35,2025年3季度股票投资明细
44,600415,小商品城,5.28,3.3,61.22,2025年3季度股票投资明细
45,605499,东鹏饮料,5.24,0.2,60.76,2025年3季度股票投资明细
46,600276,恒瑞医药,5.0,0.81,57.96,2025年3季度股票投资明细
47,01530,三生制药,4.65,1.97,53.89,2025年3季度股票投资明细
48,688192,迪哲医药,4.6,0.74,53.29,2025年3季度股票投资明细
49,01810,小米集团-W,4.45,1.05,51.54,2025年3季度股票投资明细
50,01318,毛戈平,4.38,0.54,50.72,2025年3季度股票投资明细
