序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,300661,圣邦股份,8.75,639.47,55799.96,2025年1季度股票投资明细
2,300014,亿纬锂能,8.69,1176.56,55427.74,2025年1季度股票投资明细
3,00700,腾讯控股,7.91,110.09,50492.39,2025年1季度股票投资明细
4,300274,阳光电源,7.8,717.29,49786.96,2025年1季度股票投资明细
5,601127,赛力斯,7.75,392.63,49428.19,2025年1季度股票投资明细
6,688223,晶科能源,6.9,6790.42,44001.95,2025年1季度股票投资明细
7,01810,小米集团-W,6.58,924.52,41976.2,2025年1季度股票投资明细
8,09988,阿里巴巴-W,6.03,325.86,38491.31,2025年1季度股票投资明细
9,688012,中微公司,5.05,174.91,32245.65,2025年1季度股票投资明细
10,000733,振华科技,4.73,561.73,30193.13,2025年1季度股票投资明细
11,01810,小米集团-W,10.19,1161.72,63512.86,2025年2季度股票投资明细
12,09992,泡泡玛特,9.02,231.34,56244.74,2025年2季度股票投资明细
13,00388,香港交易所,8.9,145.31,55497.47,2025年2季度股票投资明细
14,00700,腾讯控股,8.42,114.48,52513.36,2025年2季度股票投资明细
15,300274,阳光电源,7.8,717.29,48610.61,2025年2季度股票投资明细
16,300661,圣邦股份,7.07,605.61,44069.95,2025年2季度股票投资明细
17,601127,赛力斯,6.97,323.65,43472.67,2025年2季度股票投资明细
18,300014,亿纬锂能,6.34,862.3,39502.18,2025年2季度股票投资明细
19,601336,新华保险,4.69,499.59,29226.01,2025年2季度股票投资明细
20,601318,中国平安,4.43,497.67,27610.73,2025年2季度股票投资明细
21,002027,分众传媒,4.36,3724.03,27185.42,2025年2季度股票投资明细
22,000733,振华科技,3.5,436.36,21839.95,2025年2季度股票投资明细
23,01801,信达生物,3.04,265.45,18978.85,2025年2季度股票投资明细
24,600418,江淮汽车,2.07,322.23,12918.2,2025年2季度股票投资明细
25,01347,华虹半导体,2.03,400.3,12667.36,2025年2季度股票投资明细
26,06969,思摩尔国际,1.55,582.2,9684.3,2025年2季度股票投资明细
27,302132,中航成飞,0.55,38.89,3419.99,2025年2季度股票投资明细
28,603129,春风动力,0.5,14.28,3091.62,2025年2季度股票投资明细
29,002335,科华数据,0.47,68.72,2932.97,2025年2季度股票投资明细
30,002683,广东宏大,0.38,70.07,2378.18,2025年2季度股票投资明细
31,300274,阳光电源,11.09,458.66,74294.07,2025年3季度股票投资明细
32,00388,香港交易所,8.75,145.31,58637.98,2025年3季度股票投资明细
33,01810,小米集团-W,7.21,979.44,48287.29,2025年3季度股票投资明细
34,00700,腾讯控股,7.09,78.43,47474.31,2025年3季度股票投资明细
35,300014,亿纬锂能,6.03,443.85,40390.78,2025年3季度股票投资明细
36,002027,分众传媒,3.78,3141.27,25318.63,2025年3季度股票投资明细
37,002384,东山精密,3.62,339.65,24285.0,2025年3季度股票投资明细
38,300059,东方财富,3.45,851.85,23102.17,2025年3季度股票投资明细
39,688256,寒武纪,3.19,16.11,21349.2,2025年3季度股票投资明细
40,01347,华虹半导体,3.14,288.0,21035.06,2025年3季度股票投资明细
41,002657,中科金财,1.09,226.9,7272.15,2025年3季度股票投资明细
