序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,09988,阿里巴巴-W,5.84,10.73,1267.45,2025年1季度股票投资明细
2,00700,腾讯控股,5.37,2.54,1164.96,2025年1季度股票投资明细
3,300395,菲利华,3.92,19.02,850.38,2025年1季度股票投资明细
4,300750,宁德时代,3.72,3.19,806.88,2025年1季度股票投资明细
5,600176,中国巨石,3.28,55.08,710.53,2025年1季度股票投资明细
6,688012,中微公司,3.01,3.54,652.91,2025年1季度股票投资明细
7,002891,中宠股份,2.89,14.5,626.11,2025年1季度股票投资明细
8,02899,紫金矿业,2.74,36.4,593.89,2025年1季度股票投资明细
9,00788,中国铁塔,2.68,60.2,581.1,2025年1季度股票投资明细
10,002371,北方华创,2.28,1.19,495.04,2025年1季度股票投资明细
11,09633,农夫山泉,4.36,28.1,1027.59,2025年2季度股票投资明细
12,300750,宁德时代,4.24,3.96,998.79,2025年2季度股票投资明细
13,600926,杭州银行,3.65,51.07,859.0,2025年2季度股票投资明细
14,00700,腾讯控股,3.29,1.69,775.22,2025年2季度股票投资明细
15,600919,江苏银行,3.19,62.92,751.26,2025年2季度股票投资明细
16,600887,伊利股份,3.08,25.99,724.6,2025年2季度股票投资明细
17,01787,山东黄金,2.99,28.35,704.52,2025年2季度股票投资明细
18,002648,卫星化学,2.97,40.42,700.48,2025年2季度股票投资明细
19,600989,宝丰能源,2.96,43.17,696.76,2025年2季度股票投资明细
20,01378,中国宏桥,2.81,40.3,660.79,2025年2季度股票投资明细
21,600499,科达制造,2.63,63.18,619.16,2025年2季度股票投资明细
22,02318,中国平安,2.47,12.8,581.9,2025年2季度股票投资明细
23,002027,分众传媒,2.35,75.75,552.98,2025年2季度股票投资明细
24,01339,中国人民保险集团,2.27,98.0,533.55,2025年2季度股票投资明细
25,06030,中信证券,2.2,23.95,517.64,2025年2季度股票投资明细
26,603737,三棵树,2.08,13.3,490.14,2025年2季度股票投资明细
27,01818,招金矿业,2.05,25.95,482.77,2025年2季度股票投资明细
28,02601,中国太保,1.9,18.24,446.62,2025年2季度股票投资明细
29,600563,法拉电子,1.84,3.98,434.18,2025年2季度股票投资明细
30,02611,国泰海通,1.65,33.86,389.07,2025年2季度股票投资明细
31,00966,中国太平,1.58,26.66,371.98,2025年2季度股票投资明细
32,002025,航天电器,1.57,7.18,369.12,2025年2季度股票投资明细
33,00788,中国铁塔,1.51,34.65,354.54,2025年2季度股票投资明细
34,06886,华泰证券,0.94,15.24,220.98,2025年2季度股票投资明细
35,300888,稳健医疗,0.91,5.2,213.72,2025年2季度股票投资明细
36,01336,新华保险,0.86,5.17,201.56,2025年2季度股票投资明细
37,002475,立讯精密,0.76,5.13,177.96,2025年2季度股票投资明细
38,01776,广发证券,0.72,14.18,170.44,2025年2季度股票投资明细
39,600519,贵州茅台,0.72,0.12,169.14,2025年2季度股票投资明细
40,002311,海大集团,0.68,2.75,161.12,2025年2季度股票投资明细
41,02419,德康农牧,0.48,1.56,113.17,2025年2季度股票投资明细
42,01209,华润万象生活,0.44,3.0,103.83,2025年2季度股票投资明细
43,002251,步步高,0.28,13.76,67.01,2025年2季度股票投资明细
44,601211,国泰海通,0.25,3.07,58.82,2025年2季度股票投资明细
45,002379,宏创控股,0.25,4.39,58.3,2025年2季度股票投资明细
46,06881,中国银河,0.24,7.0,56.37,2025年2季度股票投资明细
47,301367,瑞迈特,0.18,0.49,41.21,2025年2季度股票投资明细
48,301678,新恒汇,0.01,0.04,1.59,2025年2季度股票投资明细
49,00700,腾讯控股,6.95,0.76,460.03,2025年3季度股票投资明细
50,09988,阿里巴巴-W,5.73,2.35,379.75,2025年3季度股票投资明细
51,300750,宁德时代,5.46,0.9,361.8,2025年3季度股票投资明细
52,300124,汇川技术,4.3,3.4,284.86,2025年3季度股票投资明细
53,300014,亿纬锂能,3.31,2.41,219.31,2025年3季度股票投资明细
54,600499,科达制造,2.95,15.99,195.56,2025年3季度股票投资明细
55,000425,徐工机械,2.91,16.76,192.74,2025年3季度股票投资明细
56,06655,华新水泥,2.61,12.09,173.19,2025年3季度股票投资明细
57,605196,华通线缆,2.61,7.11,173.06,2025年3季度股票投资明细
58,600887,伊利股份,2.49,6.05,165.04,2025年3季度股票投资明细
59,600801,华新水泥,0.27,0.96,17.76,2025年3季度股票投资明细
