序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,001328,登康口腔,9.72,165.83,6964.71,2025年1季度股票投资明细
2,300888,稳健医疗,9.68,150.59,6936.16,2025年1季度股票投资明细
3,600519,贵州茅台,9.49,4.35,6795.81,2025年1季度股票投资明细
4,603193,润本股份,9.24,193.59,6614.81,2025年1季度股票投资明细
5,000858,五粮液,8.89,48.49,6368.64,2025年1季度股票投资明细
6,000568,泸州老窖,8.73,48.23,6255.97,2025年1季度股票投资明细
7,603129,春风动力,5.14,19.67,3680.85,2025年1季度股票投资明细
8,600060,海信视像,4.73,136.61,3390.73,2025年1季度股票投资明细
9,300973,立高食品,4.7,81.98,3369.38,2025年1季度股票投资明细
10,002946,新乳业,2.9,140.87,2077.83,2025年1季度股票投资明细
11,603808,歌力思,1.6,168.6,1146.48,2025年1季度股票投资明细
12,000729,燕京啤酒,9.85,569.74,7366.74,2025年2季度股票投资明细
13,002946,新乳业,9.77,389.55,7311.85,2025年2季度股票投资明细
14,003010,若羽臣,9.72,120.05,7275.3,2025年2季度股票投资明细
15,002624,完美世界,9.68,477.3,7240.64,2025年2季度股票投资明细
16,001328,登康口腔,9.5,145.45,7103.61,2025年2季度股票投资明细
17,002847,盐津铺子,9.36,87.12,7004.29,2025年2季度股票投资明细
18,300888,稳健医疗,7.45,135.63,5574.38,2025年2季度股票投资明细
19,002244,滨江集团,5.6,429.87,4191.22,2025年2季度股票投资明细
20,603808,歌力思,4.63,417.05,3461.53,2025年2季度股票投资明细
21,688775,影石创新,4.17,18.54,3122.76,2025年2季度股票投资明细
22,002251,步步高,2.92,448.91,2186.21,2025年2季度股票投资明细
23,601127,赛力斯,2.48,13.8,1853.62,2025年2季度股票投资明细
24,600153,建发股份,2.03,146.09,1514.95,2025年2季度股票投资明细
25,603193,润本股份,1.49,35.43,1112.71,2025年2季度股票投资明细
26,600519,贵州茅台,0.03,0.01,19.03,2025年2季度股票投资明细
27,605009,豪悦护理,0.02,0.43,17.26,2025年2季度股票投资明细
28,002956,西麦食品,0.02,0.67,15.72,2025年2季度股票投资明细
29,600285,羚锐制药,0.02,0.67,15.19,2025年2季度股票投资明细
30,600993,马应龙,0.02,0.53,14.99,2025年2季度股票投资明细
31,002003,伟星股份,0.02,1.33,14.54,2025年2季度股票投资明细
32,301498,乖宝宠物,0.02,0.13,14.47,2025年2季度股票投资明细
33,601021,春秋航空,0.02,0.26,14.47,2025年2季度股票投资明细
34,600060,海信视像,0.01,0.32,7.43,2025年2季度股票投资明细
35,600566,济川药业,0.01,0.28,7.37,2025年2季度股票投资明细
36,000999,华润三九,0.01,0.23,7.24,2025年2季度股票投资明细
37,002558,巨人网络,9.72,163.02,7365.24,2025年3季度股票投资明细
38,002624,完美世界,9.67,382.43,7327.36,2025年3季度股票投资明细
39,002517,恺英网络,9.53,257.21,7222.46,2025年3季度股票投资明细
40,603444,吉比特,8.85,11.81,6708.08,2025年3季度股票投资明细
41,300413,芒果超媒,7.78,164.93,5897.9,2025年3季度股票投资明细
42,603737,三棵树,7.34,116.24,5565.57,2025年3季度股票投资明细
43,002946,新乳业,7.33,325.58,5557.62,2025年3季度股票投资明细
44,601595,上海电影,7.29,184.38,5525.99,2025年3季度股票投资明细
45,300133,华策影视,7.15,583.28,5418.67,2025年3季度股票投资明细
46,001328,登康口腔,6.9,138.71,5232.01,2025年3季度股票投资明细
