序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,002600,领益智造,7.07,397.25,3595.11,2025年1季度股票投资明细
2,300953,震裕科技,6.95,22.14,3536.42,2025年1季度股票投资明细
3,688608,恒玄科技,6.75,8.46,3436.28,2025年1季度股票投资明细
4,601100,恒立液压,6.23,39.88,3172.06,2025年1季度股票投资明细
5,603986,兆易创新,6.15,26.78,3130.05,2025年1季度股票投资明细
6,300502,新易盛,5.98,31.02,3044.15,2025年1季度股票投资明细
7,002896,中大力德,5.47,31.99,2781.21,2025年1季度股票投资明细
8,603119,浙江荣泰,5.37,69.54,2731.53,2025年1季度股票投资明细
9,300433,蓝思科技,5.17,103.94,2632.8,2025年1季度股票投资明细
10,00981,中芯国际,5.01,59.95,2550.42,2025年1季度股票投资明细
11,09992,泡泡玛特,8.76,16.44,3996.99,2025年2季度股票投资明细
12,603986,兆易创新,7.42,26.78,3388.47,2025年2季度股票投资明细
13,603119,浙江荣泰,7.04,69.54,3215.53,2025年2季度股票投资明细
14,300502,新易盛,6.09,21.88,2779.45,2025年2季度股票投资明细
15,00981,中芯国际,5.35,59.95,2443.81,2025年2季度股票投资明细
16,300476,胜宏科技,4.85,16.47,2213.24,2025年2季度股票投资明细
17,688385,复旦微电,4.49,41.65,2051.89,2025年2季度股票投资明细
18,002130,沃尔核材,4.4,84.29,2007.79,2025年2季度股票投资明细
19,002463,沪电股份,4.25,45.58,1940.8,2025年2季度股票投资明细
20,688200,华峰测控,4.18,13.24,1909.48,2025年2季度股票投资明细
21,300394,天孚通信,4.01,22.92,1829.93,2025年2季度股票投资明细
22,300652,雷迪克,3.91,30.33,1786.07,2025年2季度股票投资明细
23,06869,长飞光纤光缆,3.76,88.3,1715.19,2025年2季度股票投资明细
24,06969,思摩尔国际,3.65,100.2,1666.72,2025年2季度股票投资明细
25,688498,源杰科技,3.65,8.54,1665.89,2025年2季度股票投资明细
26,300570,太辰光,2.4,11.36,1094.88,2025年2季度股票投资明细
27,603308,应流股份,2.36,46.64,1076.45,2025年2季度股票投资明细
28,601100,恒立液压,2.34,14.82,1067.04,2025年2季度股票投资明细
29,603809,豪能股份,2.31,69.02,1055.93,2025年2季度股票投资明细
30,002850,科达利,2.2,8.89,1006.21,2025年2季度股票投资明细
31,603678,火炬电子,1.76,21.14,804.08,2025年2季度股票投资明细
32,688608,恒玄科技,1.74,2.28,795.0,2025年2季度股票投资明细
33,000733,振华科技,1.72,15.71,786.29,2025年2季度股票投资明细
34,688521,芯原股份,1.72,8.13,784.86,2025年2季度股票投资明细
35,688411,海博思创,0.01,0.06,4.68,2025年2季度股票投资明细
36,688545,兴福电子,0.01,0.1,2.68,2025年2季度股票投资明细
37,301458,钧崴电子,0.01,0.07,2.39,2025年2季度股票投资明细
38,301275,汉朔科技,0.0,0.04,2.23,2025年2季度股票投资明细
39,688583,思看科技,0.0,0.02,1.81,2025年2季度股票投资明细
40,301678,新恒汇,0.0,0.04,1.7,2025年2季度股票投资明细
41,301602,超研股份,0.0,0.07,1.63,2025年2季度股票投资明细
42,301501,恒鑫生活,0.0,0.03,1.58,2025年2季度股票投资明细
43,001388,信通电子,0.0,0.09,1.54,2025年2季度股票投资明细
44,301479,弘景光电,0.0,0.02,1.42,2025年2季度股票投资明细
45,301535,浙江华远,0.0,0.07,1.39,2025年2季度股票投资明细
46,688757,胜科纳米,0.0,0.05,1.39,2025年2季度股票投资明细
47,688758,赛分科技,0.0,0.08,1.32,2025年2季度股票投资明细
48,603072,天和磁材,0.0,0.02,1.23,2025年2季度股票投资明细
49,001356,富岭股份,0.0,0.07,1.02,2025年2季度股票投资明细
50,301590,优优绿能,0.0,0.01,1.02,2025年2季度股票投资明细
51,301658,首航新能,0.0,0.04,1.0,2025年2季度股票投资明细
52,301665,泰禾股份,0.0,0.04,0.88,2025年2季度股票投资明细
53,688755,汉邦科技,0.0,0.02,0.8,2025年2季度股票投资明细
54,301173,毓恬冠佳,0.0,0.02,0.78,2025年2季度股票投资明细
55,603014,威高血净,0.0,0.02,0.67,2025年2季度股票投资明细
56,301636,泽润新能,0.0,0.01,0.61,2025年2季度股票投资明细
57,603202,天有为,0.0,0.01,0.61,2025年2季度股票投资明细
58,301595,太力科技,0.0,0.02,0.57,2025年2季度股票投资明细
59,301560,众捷汽车,0.0,0.02,0.52,2025年2季度股票投资明细
60,603210,泰鸿万立,0.0,0.03,0.45,2025年2季度股票投资明细
61,603271,永杰新材,0.0,0.01,0.44,2025年2季度股票投资明细
62,603124,江南新材,0.0,0.01,0.41,2025年2季度股票投资明细
63,001395,亚联机械,0.0,0.01,0.38,2025年2季度股票投资明细
64,001390,古麒绒材,0.0,0.02,0.32,2025年2季度股票投资明细
65,603257,中国瑞林,0.0,0.01,0.29,2025年2季度股票投资明细
66,603400,华之杰,0.0,0.01,0.25,2025年2季度股票投资明细
67,603382,海阳科技,0.0,0.01,0.24,2025年2季度股票投资明细
68,001335,信凯科技,0.0,0.01,0.22,2025年2季度股票投资明细
69,603120,肯特催化,0.0,0.01,0.22,2025年2季度股票投资明细
70,300502,新易盛,7.47,18.56,6789.42,2025年3季度股票投资明细
71,300308,中际旭创,6.88,15.49,6253.0,2025年3季度股票投资明细
72,300394,天孚通信,6.7,36.25,6082.75,2025年3季度股票投资明细
73,300476,胜宏科技,6.41,20.4,5824.2,2025年3季度股票投资明细
74,001309,德明利,5.83,25.86,5293.28,2025年3季度股票投资明细
75,603119,浙江荣泰,5.57,44.91,5055.97,2025年3季度股票投资明细
76,01347,华虹半导体,5.44,67.7,4944.7,2025年3季度股票投资明细
77,00981,中芯国际,5.3,66.35,4818.84,2025年3季度股票投资明细
78,688498,源杰科技,5.2,11.02,4725.69,2025年3季度股票投资明细
79,002384,东山精密,5.14,65.36,4673.47,2025年3季度股票投资明细
