序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,601899,紫金矿业,8.99,279.12,5057.68,2025年1季度股票投资明细
2,601168,西部矿业,6.7,221.5,3767.72,2025年1季度股票投资明细
3,601600,中国铝业,6.55,494.01,3685.31,2025年1季度股票投资明细
4,603993,洛阳钼业,5.46,403.92,3069.79,2025年1季度股票投资明细
5,600489,中金黄金,4.98,199.15,2802.04,2025年1季度股票投资明细
6,000975,山金国际,4.84,141.67,2720.06,2025年1季度股票投资明细
7,000807,云铝股份,4.35,141.04,2445.63,2025年1季度股票投资明细
8,600312,平高电气,3.5,113.13,1970.8,2025年1季度股票投资明细
9,000426,兴业银锡,3.36,139.87,1888.25,2025年1季度股票投资明细
10,000933,神火股份,3.29,98.63,1850.3,2025年1季度股票投资明细
11,601899,紫金矿业,8.19,167.38,3263.94,2025年2季度股票投资明细
12,603993,洛阳钼业,6.86,324.47,2732.04,2025年2季度股票投资明细
13,601168,西部矿业,6.43,154.08,2562.35,2025年2季度股票投资明细
14,000426,兴业银锡,6.1,153.92,2431.94,2025年2季度股票投资明细
15,002155,湖南黄金,4.67,104.27,1861.27,2025年2季度股票投资明细
16,600489,中金黄金,4.58,124.8,1825.82,2025年2季度股票投资明细
17,000807,云铝股份,4.55,113.39,1811.97,2025年2季度股票投资明细
18,000933,神火股份,4.12,98.63,1641.2,2025年2季度股票投资明细
19,601600,中国铝业,4.1,231.97,1633.06,2025年2季度股票投资明细
20,600961,株冶集团,3.21,114.37,1278.66,2025年2季度股票投资明细
21,603979,金诚信,2.54,21.82,1013.32,2025年2季度股票投资明细
22,000408,藏格矿业,2.36,22.06,941.3,2025年2季度股票投资明细
23,600301,华锡有色,2.35,46.98,938.19,2025年2季度股票投资明细
24,000630,铜陵有色,2.35,280.38,936.47,2025年2季度股票投资明细
25,002170,芭田股份,2.23,86.81,889.8,2025年2季度股票投资明细
26,002318,久立特材,2.14,36.44,852.33,2025年2季度股票投资明细
27,002379,宏创控股,2.13,63.94,849.12,2025年2季度股票投资明细
28,600362,江西铜业,1.88,31.95,748.59,2025年2季度股票投资明细
29,600782,新钢股份,1.8,203.1,718.97,2025年2季度股票投资明细
30,600019,宝钢股份,1.76,106.4,701.18,2025年2季度股票投资明细
31,000506,招金黄金,1.46,59.11,580.46,2025年2季度股票投资明细
32,000603,盛达资源,1.34,35.87,534.1,2025年2季度股票投资明细
33,001207,联科科技,1.34,21.75,533.75,2025年2季度股票投资明细
34,688685,迈信林,1.21,8.6,480.2,2025年2季度股票投资明细
35,002395,双象股份,0.91,20.43,361.61,2025年2季度股票投资明细
36,600378,昊华科技,0.89,13.06,353.53,2025年2季度股票投资明细
37,300798,锦鸡股份,0.48,17.65,191.86,2025年2季度股票投资明细
38,000426,兴业银锡,7.03,258.57,8504.37,2025年3季度股票投资明细
39,601899,紫金矿业,6.17,253.6,7466.02,2025年3季度股票投资明细
40,000630,铜陵有色,5.09,1148.79,6157.51,2025年3季度股票投资明细
41,601600,中国铝业,4.94,726.06,5982.72,2025年3季度股票投资明细
42,000603,盛达资源,4.51,206.49,5459.6,2025年3季度股票投资明细
43,603993,洛阳钼业,4.09,314.88,4943.62,2025年3季度股票投资明细
44,600489,中金黄金,3.99,220.4,4833.35,2025年3季度股票投资明细
45,000962,东方钽业,3.93,194.67,4749.95,2025年3季度股票投资明细
46,002738,中矿资源,3.77,92.17,4562.42,2025年3季度股票投资明细
47,000807,云铝股份,3.6,211.69,4360.81,2025年3季度股票投资明细
