序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,00700,腾讯控股,7.49,25.07,11498.27,2025年1季度股票投资明细
2,09988,阿里巴巴-W,5.99,77.85,9195.82,2025年1季度股票投资明细
3,00981,中芯国际,5.23,188.75,8029.89,2025年1季度股票投资明细
4,09992,泡泡玛特,4.88,51.82,7483.99,2025年1季度股票投资明细
5,01810,小米集团-W,4.72,159.62,7247.26,2025年1季度股票投资明细
6,601899,紫金矿业,3.87,327.91,5941.73,2025年1季度股票投资明细
7,002050,三花智控,3.81,203.01,5852.78,2025年1季度股票投资明细
8,002371,北方华创,2.68,9.87,4105.92,2025年1季度股票投资明细
9,06160,百济神州,2.65,26.53,4069.02,2025年1季度股票投资明细
10,002028,思源电气,2.58,52.01,3952.76,2025年1季度股票投资明细
11,00700,腾讯控股,7.78,25.33,11619.15,2025年2季度股票投资明细
12,09992,泡泡玛特,5.9,36.28,8820.61,2025年2季度股票投资明细
13,00981,中芯国际,4.46,163.65,6671.06,2025年2季度股票投资明细
14,601899,紫金矿业,4.46,341.58,6660.81,2025年2季度股票投资明细
15,01810,小米集团-W,4.44,121.44,6639.3,2025年2季度股票投资明细
16,09988,阿里巴巴-W,3.86,57.64,5771.61,2025年2季度股票投资明细
17,002371,北方华创,3.41,11.52,5092.05,2025年2季度股票投资明细
18,002050,三花智控,2.98,168.57,4446.88,2025年2季度股票投资明细
19,300750,宁德时代,2.57,15.21,3835.51,2025年2季度股票投资明细
20,01801,信达生物,2.43,50.8,3632.04,2025年2季度股票投资明细
21,06990,科伦博泰生物-B,2.38,11.9,3550.84,2025年2季度股票投资明细
22,002891,中宠股份,2.16,52.23,3231.61,2025年2季度股票投资明细
23,600276,恒瑞医药,1.99,57.39,2978.4,2025年2季度股票投资明细
24,002028,思源电气,1.94,39.75,2898.17,2025年2季度股票投资明细
25,03690,美团-W,1.88,24.52,2802.29,2025年2季度股票投资明细
26,01357,美图公司,1.67,302.95,2494.77,2025年2季度股票投资明细
27,09899,网易云音乐,1.65,11.22,2464.83,2025年2季度股票投资明细
28,06181,老铺黄金,1.62,2.64,2426.81,2025年2季度股票投资明细
29,000333,美的集团,1.61,33.29,2403.54,2025年2季度股票投资明细
30,300014,亿纬锂能,1.56,50.73,2323.94,2025年2季度股票投资明细
31,603986,兆易创新,1.54,18.24,2307.91,2025年2季度股票投资明细
32,002602,ST华通,1.45,194.99,2160.49,2025年2季度股票投资明细
33,601689,拓普集团,1.43,45.35,2142.75,2025年2季度股票投资明细
34,002517,恺英网络,1.43,110.93,2142.06,2025年2季度股票投资明细
35,002594,比亚迪,1.41,6.36,2110.95,2025年2季度股票投资明细
36,603893,瑞芯微,1.3,12.8,1943.81,2025年2季度股票投资明细
37,600988,赤峰黄金,1.21,72.67,1808.03,2025年2季度股票投资明细
38,06160,百济神州,1.08,12.0,1617.43,2025年2季度股票投资明细
39,01530,三生制药,1.03,71.35,1538.85,2025年2季度股票投资明细
40,000729,燕京啤酒,1.0,115.22,1489.79,2025年2季度股票投资明细
41,300054,鼎龙股份,1.0,51.93,1489.35,2025年2季度股票投资明细
42,002472,双环传动,0.98,43.73,1464.57,2025年2季度股票投资明细
43,300910,瑞丰新材,0.97,25.08,1448.37,2025年2季度股票投资明细
44,002624,完美世界,0.96,94.79,1437.96,2025年2季度股票投资明细
45,301498,乖宝宠物,0.96,13.12,1434.93,2025年2季度股票投资明细
46,688279,峰岹科技,0.96,7.73,1434.36,2025年2季度股票投资明细
47,002311,海大集团,0.93,23.83,1396.2,2025年2季度股票投资明细
48,600415,小商品城,0.86,61.82,1278.44,2025年2季度股票投资明细
49,000408,藏格矿业,0.79,27.63,1178.89,2025年2季度股票投资明细
50,000568,泸州老窖,0.74,9.74,1104.29,2025年2季度股票投资明细
51,605499,东鹏饮料,0.73,3.48,1092.89,2025年2季度股票投资明细
52,02382,舜宇光学科技,0.71,16.79,1061.86,2025年2季度股票投资明细
53,09688,再鼎医药,0.68,40.41,1011.58,2025年2季度股票投资明细
54,00268,金蝶国际,0.62,65.4,920.87,2025年2季度股票投资明细
55,00325,布鲁可,0.62,7.14,919.4,2025年2季度股票投资明细
56,688037,芯源微,0.56,7.85,841.67,2025年2季度股票投资明细
57,688382,益方生物,0.54,24.64,808.85,2025年2季度股票投资明细
58,300723,一品红,0.5,14.99,751.3,2025年2季度股票投资明细
59,688256,寒武纪,0.49,1.21,730.22,2025年2季度股票投资明细
60,01818,招金矿业,0.47,37.8,703.22,2025年2季度股票投资明细
61,688266,泽璟制药,0.47,6.49,698.22,2025年2季度股票投资明细
62,003010,若羽臣,0.44,10.88,659.21,2025年2季度股票投资明细
63,920982,锦波生物,0.43,1.79,637.38,2025年2季度股票投资明细
64,600809,山西汾酒,0.4,3.41,601.49,2025年2季度股票投资明细
65,01093,石药集团,0.27,58.4,410.09,2025年2季度股票投资明细
66,002345,潮宏基,0.27,27.58,403.5,2025年2季度股票投资明细
67,688775,影石创新,0.06,0.57,93.89,2025年2季度股票投资明细
68,01318,毛戈平,0.05,0.77,76.05,2025年2季度股票投资明细
69,301602,超研股份,0.01,0.66,16.55,2025年2季度股票投资明细
70,688758,赛分科技,0.01,0.78,13.3,2025年2季度股票投资明细
71,301590,优优绿能,0.01,0.07,11.5,2025年2季度股票投资明细
72,688615,合合信息,0.0,0.04,6.4,2025年2季度股票投资明细
73,001391,国货航,0.0,0.47,3.15,2025年2季度股票投资明细
74,603049,中策橡胶,0.0,0.07,3.09,2025年2季度股票投资明细
75,301458,钧崴电子,0.0,0.07,2.39,2025年2季度股票投资明细
76,688583,思看科技,0.0,0.02,1.81,2025年2季度股票投资明细
77,301678,新恒汇,0.0,0.04,1.7,2025年2季度股票投资明细
78,001388,信通电子,0.0,0.09,1.54,2025年2季度股票投资明细
79,301479,弘景光电,0.0,0.02,1.42,2025年2季度股票投资明细
80,301535,浙江华远,0.0,0.07,1.39,2025年2季度股票投资明细
81,603194,中力股份,0.0,0.03,1.32,2025年2季度股票投资明细
82,603072,天和磁材,0.0,0.02,1.23,2025年2季度股票投资明细
83,301601,惠通科技,0.0,0.03,1.16,2025年2季度股票投资明细
84,688755,汉邦科技,0.0,0.02,0.8,2025年2季度股票投资明细
85,301173,毓恬冠佳,0.0,0.02,0.78,2025年2季度股票投资明细
86,603014,威高血净,0.0,0.02,0.67,2025年2季度股票投资明细
87,301636,泽润新能,0.0,0.01,0.61,2025年2季度股票投资明细
88,301595,太力科技,0.0,0.02,0.57,2025年2季度股票投资明细
89,300496,中科创达,0.0,0.01,0.54,2025年2季度股票投资明细
90,00570,中国中药,0.0,0.2,0.4,2025年2季度股票投资明细
91,001395,亚联机械,0.0,0.01,0.38,2025年2季度股票投资明细
92,600570,恒生电子,0.0,0.01,0.34,2025年2季度股票投资明细
93,603409,汇通控股,0.0,0.01,0.33,2025年2季度股票投资明细
94,002475,立讯精密,0.0,0.0,0.15,2025年2季度股票投资明细
95,300567,精测电子,0.0,0.0,0.15,2025年2季度股票投资明细
96,600761,安徽合力,0.0,0.01,0.14,2025年2季度股票投资明细
97,000858,五粮液,0.0,0.0,0.12,2025年2季度股票投资明细
98,300408,三环集团,0.0,0.0,0.11,2025年2季度股票投资明细
99,00700,腾讯控股,6.36,17.62,10665.49,2025年3季度股票投资明细
100,601899,紫金矿业,6.26,356.99,10509.79,2025年3季度股票投资明细
101,00981,中芯国际,5.89,136.1,9884.61,2025年3季度股票投资明细
102,002602,ST华通,4.92,398.86,8260.39,2025年3季度股票投资明细
103,09992,泡泡玛特,4.71,32.46,7906.71,2025年3季度股票投资明细
104,300014,亿纬锂能,4.49,82.72,7527.52,2025年3季度股票投资明细
105,300750,宁德时代,3.98,16.61,6676.01,2025年3季度股票投资明细
106,09988,阿里巴巴-W,3.67,38.07,6152.02,2025年3季度股票投资明细
107,01530,三生制药,3.13,191.7,5250.55,2025年3季度股票投资明细
108,600276,恒瑞医药,3.06,71.88,5142.96,2025年3季度股票投资明细
