序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,600519,贵州茅台,17.16,134.23,209536.0,2025年1季度股票投资明细
2,000858,五粮液,15.26,1418.98,186383.21,2025年1季度股票投资明细
3,600809,山西汾酒,11.28,642.81,137741.73,2025年1季度股票投资明细
4,000568,泸州老窖,10.48,986.76,128002.83,2025年1季度股票投资明细
5,603369,今世缘,5.62,1297.51,68612.19,2025年1季度股票投资明细
6,002304,洋河股份,5.03,805.52,61420.85,2025年1季度股票投资明细
7,000596,古井贡酒,4.4,315.64,53738.24,2025年1季度股票投资明细
8,600600,青岛啤酒,4.31,690.75,52676.63,2025年1季度股票投资明细
9,000729,燕京啤酒,2.67,2658.95,32572.11,2025年1季度股票投资明细
10,600132,重庆啤酒,2.15,447.59,26197.32,2025年1季度股票投资明细
11,002568,百润股份,2.07,966.51,25274.29,2025年1季度股票投资明细
12,600559,老白干酒,1.99,1320.24,24252.81,2025年1季度股票投资明细
13,603198,迎驾贡酒,1.98,446.77,24179.13,2025年1季度股票投资明细
14,600702,舍得酒业,1.58,351.43,19317.91,2025年1季度股票投资明细
15,000799,酒鬼酒,1.56,413.8,19068.04,2025年1季度股票投资明细
16,000860,顺鑫农业,1.32,960.75,16150.14,2025年1季度股票投资明细
17,600779,水井坊,1.28,321.62,15682.14,2025年1季度股票投资明细
18,600199,金种子酒,0.86,942.7,10445.14,2025年1季度股票投资明细
19,600059,古越龙山,0.8,1178.38,9792.35,2025年1季度股票投资明细
20,002461,珠江啤酒,0.68,827.17,8354.4,2025年1季度股票投资明细
21,600197,伊力特,0.65,517.73,7947.17,2025年1季度股票投资明细
22,002646,天佑德酒,0.4,537.75,4866.64,2025年1季度股票投资明细
23,001338,永顺泰,0.38,411.94,4692.02,2025年1季度股票投资明细
24,601579,会稽山,0.38,447.32,4678.94,2025年1季度股票投资明细
25,603779,威龙股份,0.26,426.47,3207.09,2025年1季度股票投资明细
26,600573,惠泉啤酒,0.2,220.99,2459.62,2025年1季度股票投资明细
27,600238,*ST椰岛,0.15,300.0,1779.0,2025年1季度股票投资明细
28,600519,贵州茅台,16.62,149.07,210117.01,2025年2季度股票投资明细
29,000858,五粮液,14.88,1581.78,188073.31,2025年2季度股票投资明细
