序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,00700,腾讯控股,9.38,8.94,4100.3,2025年1季度股票投资明细
2,002410,广联达,6.42,193.71,2806.86,2025年1季度股票投资明细
3,01810,小米集团-W,6.03,58.02,2634.3,2025年1季度股票投资明细
4,688213,思特威,5.41,24.36,2363.53,2025年1季度股票投资明细
5,09868,小鹏汽车-W,5.22,31.34,2279.01,2025年1季度股票投资明细
6,09988,阿里巴巴-W,5.19,19.21,2269.13,2025年1季度股票投资明细
7,02015,理想汽车-W,5.13,24.52,2241.28,2025年1季度股票投资明细
8,300274,阳光电源,4.95,31.19,2164.62,2025年1季度股票投资明细
9,002475,立讯精密,4.93,52.7,2154.9,2025年1季度股票投资明细
10,688052,纳芯微,4.59,14.31,2007.44,2025年1季度股票投资明细
11,00700,腾讯控股,7.01,6.59,3022.9,2025年2季度股票投资明细
12,002410,广联达,6.02,193.71,2597.65,2025年2季度股票投资明细
13,002475,立讯精密,5.93,73.77,2559.08,2025年2季度股票投资明细
14,688213,思特威,5.77,24.36,2489.69,2025年2季度股票投资明细
15,01347,华虹半导体,4.83,65.8,2082.22,2025年2季度股票投资明细
16,00981,中芯国际,4.8,50.8,2070.82,2025年2季度股票投资明细
17,01810,小米集团-W,4.51,35.56,1944.12,2025年2季度股票投资明细
18,02382,舜宇光学科技,4.46,30.44,1925.14,2025年2季度股票投资明细
19,688052,纳芯微,4.43,10.95,1910.67,2025年2季度股票投资明细
20,09863,零跑汽车,4.27,36.94,1842.7,2025年2季度股票投资明细
21,01024,快手-W,4.25,31.77,1833.97,2025年2季度股票投资明细
22,300679,电连技术,3.89,36.93,1675.88,2025年2季度股票投资明细
23,603486,科沃斯,3.79,28.06,1633.93,2025年2季度股票投资明细
24,300666,江丰电子,3.09,18.0,1333.8,2025年2季度股票投资明细
25,603160,汇顶科技,2.88,17.48,1241.6,2025年2季度股票投资明细
26,301187,欧圣电气,2.5,39.05,1077.69,2025年2季度股票投资明细
27,300567,精测电子,2.38,16.92,1025.52,2025年2季度股票投资明细
28,09868,小鹏汽车-W,2.23,14.92,960.6,2025年2季度股票投资明细
29,688326,经纬恒润,2.07,10.0,892.21,2025年2季度股票投资明细
30,02162,康诺亚-B,1.92,19.65,827.9,2025年2季度股票投资明细
31,06969,思摩尔国际,1.73,44.8,745.2,2025年2季度股票投资明细
32,09988,阿里巴巴-W,1.68,7.24,724.96,2025年2季度股票投资明细
33,688362,甬矽电子,1.54,22.26,663.02,2025年2季度股票投资明细
34,688012,中微公司,1.43,3.37,614.97,2025年2季度股票投资明细
35,01318,毛戈平,1.31,5.71,563.94,2025年2季度股票投资明细
36,688486,龙迅股份,1.29,8.32,556.75,2025年2季度股票投资明细
37,002371,北方华创,1.08,1.05,464.32,2025年2季度股票投资明细
38,300969,恒帅股份,0.99,6.37,426.39,2025年2季度股票投资明细
39,00388,香港交易所,0.96,1.08,412.48,2025年2季度股票投资明细
40,01801,信达生物,0.48,2.9,207.34,2025年2季度股票投资明细
41,603049,中策橡胶,0.02,0.21,9.16,2025年2季度股票投资明细
42,301636,泽润新能,0.02,0.13,7.05,2025年2季度股票投资明细
43,688411,海博思创,0.01,0.06,4.68,2025年2季度股票投资明细
44,688775,影石创新,0.01,0.04,4.49,2025年2季度股票投资明细
45,688545,兴福电子,0.01,0.1,2.68,2025年2季度股票投资明细
46,301275,汉朔科技,0.01,0.04,2.23,2025年2季度股票投资明细
47,688757,胜科纳米,0.0,0.05,1.39,2025年2季度股票投资明细
48,301590,优优绿能,0.0,0.01,1.02,2025年2季度股票投资明细
49,301658,首航新能,0.0,0.04,1.0,2025年2季度股票投资明细
50,301665,泰禾股份,0.0,0.04,0.88,2025年2季度股票投资明细
51,603014,威高血净,0.0,0.02,0.67,2025年2季度股票投资明细
52,301155,海力风电,0.0,0.01,0.49,2025年2季度股票投资明细
53,002487,大金重工,0.0,0.01,0.26,2025年2季度股票投资明细
54,603507,振江股份,0.0,0.0,0.05,2025年2季度股票投资明细
55,00700,腾讯控股,7.25,6.13,3710.52,2025年3季度股票投资明细
56,00981,中芯国际,7.25,51.05,3707.64,2025年3季度股票投资明细
57,09988,阿里巴巴-W,6.97,22.06,3564.84,2025年3季度股票投资明细
58,002475,立讯精密,5.68,44.94,2907.17,2025年3季度股票投资明细
59,688213,思特威,5.67,24.36,2902.28,2025年3季度股票投资明细
60,688012,中微公司,5.54,9.48,2833.41,2025年3季度股票投资明细
61,002410,广联达,5.32,193.71,2723.56,2025年3季度股票投资明细
62,300679,电连技术,3.47,31.14,1774.98,2025年3季度股票投资明细
63,002126,银轮股份,3.41,42.14,1742.87,2025年3季度股票投资明细
64,688630,芯碁微装,3.29,11.9,1681.95,2025年3季度股票投资明细
