序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,300750,宁德时代,9.99,0.78,313.56,2025年3季度股票投资明细
2,600519,贵州茅台,9.2,0.2,288.8,2025年3季度股票投资明细
3,600031,三一重工,8.77,11.84,275.16,2025年3季度股票投资明细
4,002027,分众传媒,7.2,28.05,226.08,2025年3季度股票投资明细
5,600809,山西汾酒,6.43,1.04,201.77,2025年3季度股票投资明细
6,603259,药明康德,5.71,1.6,179.25,2025年3季度股票投资明细
7,601318,中国平安,5.41,3.08,169.74,2025年3季度股票投资明细
8,688981,中芯国际,5.15,1.15,161.68,2025年3季度股票投资明细
9,002475,立讯精密,4.37,2.12,137.14,2025年3季度股票投资明细
10,002594,比亚迪,3.48,1.0,109.21,2025年3季度股票投资明细
11,000063,中兴通讯,3.47,2.39,109.08,2025年3季度股票投资明细
12,002311,海大集团,1.97,0.97,61.86,2025年3季度股票投资明细
13,600989,宝丰能源,1.95,3.44,61.23,2025年3季度股票投资明细
14,600519,贵州茅台,9.43,1.47,2093.1,2025年3季度股票投资明细
15,300750,宁德时代,7.03,5.89,1560.85,2025年3季度股票投资明细
16,600031,三一重工,3.14,34.86,697.9,2025年3季度股票投资明细
17,600809,山西汾酒,2.99,3.64,662.84,2025年3季度股票投资明细
18,002027,分众传媒,2.92,83.19,648.88,2025年3季度股票投资明细
19,603259,药明康德,1.02,2.41,225.53,2025年3季度股票投资明细
20,600887,伊利股份,1.0,8.05,221.94,2025年3季度股票投资明细
21,002594,比亚迪,0.98,2.09,218.09,2025年3季度股票投资明细
22,600276,恒瑞医药,0.7,2.51,154.57,2025年3季度股票投资明细
23,000063,中兴通讯,0.5,3.23,111.6,2025年3季度股票投资明细
24,300015,爱尔眼科,0.5,8.64,110.76,2025年3季度股票投资明细
