序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,600900,长江电力,8.45,928.59,25824.14,2025年1季度股票投资明细
2,600941,中国移动,6.63,188.82,20271.4,2025年1季度股票投资明细
3,600674,川投能源,6.16,1174.09,18832.4,2025年1季度股票投资明细
4,600886,国投电力,5.45,1154.51,16659.58,2025年1季度股票投资明细
5,002891,中宠股份,4.06,287.18,12400.64,2025年1季度股票投资明细
6,000651,格力电器,3.58,240.57,10936.31,2025年1季度股票投资明细
7,000333,美的集团,3.41,132.59,10408.32,2025年1季度股票投资明细
8,601006,大秦铁路,2.65,1238.07,8096.98,2025年1季度股票投资明细
9,002475,立讯精密,2.6,194.55,7955.27,2025年1季度股票投资明细
10,300627,华测导航,2.54,187.7,7761.31,2025年1季度股票投资明细
11,600900,长江电力,8.06,826.08,24898.1,2025年2季度股票投资明细
12,600941,中国移动,4.8,131.73,14825.89,2025年2季度股票投资明细
13,600674,川投能源,4.66,897.05,14388.68,2025年2季度股票投资明细
14,600886,国投电力,4.65,974.44,14363.25,2025年2季度股票投资明细
15,002352,顺丰控股,3.86,244.63,11928.16,2025年2季度股票投资明细
16,000651,格力电器,3.65,251.05,11277.17,2025年2季度股票投资明细
17,300627,华测导航,3.07,271.35,9497.29,2025年2季度股票投资明细
18,002891,中宠股份,3.02,151.03,9344.18,2025年2季度股票投资明细
19,000776,广发证券,2.8,514.99,8656.98,2025年2季度股票投资明细
20,601988,中国银行,2.53,1391.34,7819.33,2025年2季度股票投资明细
21,601006,大秦铁路,2.26,1055.89,6968.87,2025年2季度股票投资明细
22,300033,同花顺,2.21,25.02,6830.71,2025年2季度股票投资明细
23,002475,立讯精密,1.88,167.42,5807.9,2025年2季度股票投资明细
24,601009,南京银行,1.87,496.02,5763.75,2025年2季度股票投资明细
25,601111,中国国航,1.68,659.32,5202.03,2025年2季度股票投资明细
26,600894,广日股份,1.59,468.41,4913.62,2025年2季度股票投资明细
27,688256,寒武纪,1.38,7.09,4267.28,2025年2季度股票投资明细
28,603737,三棵树,1.26,105.3,3880.16,2025年2季度股票投资明细
29,000425,徐工机械,1.23,489.3,3801.86,2025年2季度股票投资明细
30,000858,五粮液,1.1,28.48,3386.27,2025年2季度股票投资明细
31,600660,福耀玻璃,1.08,58.35,3326.53,2025年2季度股票投资明细
32,600887,伊利股份,1.08,119.22,3323.85,2025年2季度股票投资明细
33,002027,分众传媒,0.94,398.65,2910.15,2025年2季度股票投资明细
34,002025,航天电器,0.93,56.18,2888.21,2025年2季度股票投资明细
35,000733,振华科技,0.89,54.88,2746.74,2025年2季度股票投资明细
36,601229,上海银行,0.88,255.21,2707.78,2025年2季度股票投资明细
37,000429,粤高速A,0.87,201.36,2684.13,2025年2季度股票投资明细
38,600030,中信证券,0.86,96.7,2670.85,2025年2季度股票投资明细
39,000521,长虹美菱,0.8,357.9,2483.83,2025年2季度股票投资明细
40,601881,中国银河,0.79,143.01,2452.62,2025年2季度股票投资明细
41,601328,交通银行,0.75,288.43,2307.44,2025年2季度股票投资明细
42,000975,山金国际,0.68,110.89,2100.26,2025年2季度股票投资明细
43,603486,科沃斯,0.6,31.8,1851.71,2025年2季度股票投资明细
44,002430,杭氧股份,0.56,89.73,1742.56,2025年2季度股票投资明细
45,000768,中航西飞,0.55,62.36,1704.92,2025年2季度股票投资明细
46,000792,盐湖股份,0.54,97.48,1664.96,2025年2季度股票投资明细
47,601318,中国平安,0.47,26.08,1446.92,2025年2季度股票投资明细
48,301606,绿联科技,0.46,27.71,1425.12,2025年2季度股票投资明细
49,600919,江苏银行,0.46,117.77,1406.17,2025年2季度股票投资明细
50,601398,工商银行,0.42,172.9,1312.31,2025年2季度股票投资明细
51,002179,中航光电,0.41,31.01,1251.56,2025年2季度股票投资明细
52,601688,华泰证券,0.4,69.41,1236.19,2025年2季度股票投资明细
53,002032,苏泊尔,0.4,23.53,1232.74,2025年2季度股票投资明细
54,600642,申能股份,0.39,140.55,1208.73,2025年2季度股票投资明细
55,600893,航发动力,0.38,30.22,1164.68,2025年2季度股票投资明细
56,001979,招商蛇口,0.37,130.97,1148.61,2025年2季度股票投资明细
57,605009,豪悦护理,0.34,26.75,1064.17,2025年2季度股票投资明细
58,000538,云南白药,0.34,18.62,1038.81,2025年2季度股票投资明细
59,601939,建设银行,0.3,98.31,928.05,2025年2季度股票投资明细
60,688981,中芯国际,0.3,10.52,927.74,2025年2季度股票投资明细
61,000063,中兴通讯,0.3,28.36,921.42,2025年2季度股票投资明细
62,601998,中信银行,0.3,107.88,916.98,2025年2季度股票投资明细
63,001965,招商公路,0.29,74.7,896.4,2025年2季度股票投资明细
64,600282,南钢股份,0.24,175.13,735.55,2025年2季度股票投资明细
65,002595,豪迈科技,0.24,12.41,734.92,2025年2季度股票投资明细
66,000543,皖能电力,0.23,103.71,725.97,2025年2季度股票投资明细
67,603259,药明康德,0.21,9.19,639.16,2025年2季度股票投资明细
68,603100,川仪股份,0.2,30.37,626.53,2025年2季度股票投资明细
69,002033,丽江股份,0.2,71.41,622.7,2025年2季度股票投资明细
70,002409,雅克科技,0.2,11.36,621.28,2025年2季度股票投资明细
71,601059,信达证券,0.2,36.0,615.6,2025年2季度股票投资明细
72,601658,邮储银行,0.2,112.32,614.39,2025年2季度股票投资明细
73,603733,仙鹤股份,0.2,29.5,611.83,2025年2季度股票投资明细
74,000708,中信特钢,0.19,51.03,600.11,2025年2季度股票投资明细
75,688789,宏华数科,0.19,7.83,571.79,2025年2季度股票投资明细
