序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,600887,伊利股份,9.59,18.29,513.58,2025年1季度股票投资明细
2,600519,贵州茅台,9.04,0.31,483.91,2025年1季度股票投资明细
3,000858,五粮液,8.61,3.51,461.04,2025年1季度股票投资明细
4,600809,山西汾酒,7.95,1.99,425.56,2025年1季度股票投资明细
5,000568,泸州老窖,6.25,2.58,334.68,2025年1季度股票投资明细
6,603369,今世缘,3.91,3.96,209.4,2025年1季度股票投资明细
7,603288,海天味业,3.74,4.93,200.06,2025年1季度股票投资明细
8,605499,东鹏饮料,3.66,0.79,195.94,2025年1季度股票投资明细
9,000729,燕京啤酒,2.63,11.49,140.75,2025年1季度股票投资明细
10,000596,古井贡酒,2.46,0.77,131.65,2025年1季度股票投资明细
11,300972,万辰集团,0.81,0.48,43.26,2025年1季度股票投资明细
12,605338,巴比食品,0.16,0.49,8.74,2025年1季度股票投资明细
13,603697,有友食品,0.13,0.74,7.19,2025年1季度股票投资明细
14,600429,三元股份,0.1,1.2,5.12,2025年1季度股票投资明细
15,002661,克明食品,0.09,0.53,5.01,2025年1季度股票投资明细
16,600887,伊利股份,9.21,15.09,420.71,2025年2季度股票投资明细
17,600519,贵州茅台,8.94,0.29,408.76,2025年2季度股票投资明细
18,000858,五粮液,8.04,3.09,367.4,2025年2季度股票投资明细
19,600809,山西汾酒,6.51,1.69,297.39,2025年2季度股票投资明细
20,000568,泸州老窖,5.41,2.18,247.21,2025年2季度股票投资明细
21,605499,东鹏饮料,4.78,0.7,218.58,2025年2季度股票投资明细
22,603288,海天味业,2.99,3.51,136.57,2025年2季度股票投资明细
23,603369,今世缘,2.5,2.94,114.45,2025年2季度股票投资明细
24,600298,安琪酵母,2.35,3.05,107.27,2025年2季度股票投资明细
25,600600,青岛啤酒,2.25,1.48,102.8,2025年2季度股票投资明细
26,000729,燕京啤酒,2.18,7.71,99.69,2025年2季度股票投资明细
27,002597,金禾实业,1.55,3.0,70.65,2025年2季度股票投资明细
28,600073,光明肉业,1.53,9.47,69.89,2025年2季度股票投资明细
29,000596,古井贡酒,1.47,0.5,67.01,2025年2季度股票投资明细
30,002304,洋河股份,1.36,0.96,61.97,2025年2季度股票投资明细
31,603919,金徽酒,1.33,3.35,60.64,2025年2季度股票投资明细
32,603589,口子窖,1.29,1.7,59.16,2025年2季度股票投资明细
33,605077,华康股份,1.27,3.58,57.92,2025年2季度股票投资明细
34,600197,伊力特,1.24,3.79,56.55,2025年2季度股票投资明细
