序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,600519,贵州茅台,3.67,1.27,1986.22,2025年1季度股票投资明细
2,300750,宁德时代,3.31,7.07,1788.06,2025年1季度股票投资明细
3,300274,阳光电源,2.75,21.43,1487.18,2025年1季度股票投资明细
4,601318,中国平安,2.73,28.59,1476.1,2025年1季度股票投资明细
5,600036,招商银行,2.36,29.54,1278.79,2025年1季度股票投资明细
6,601899,紫金矿业,1.89,56.54,1024.5,2025年1季度股票投资明细
7,601398,工商银行,1.82,142.6,982.51,2025年1季度股票投资明细
8,000333,美的集团,1.61,11.12,872.92,2025年1季度股票投资明细
9,600886,国投电力,1.37,51.38,741.45,2025年1季度股票投资明细
10,601838,成都银行,1.14,35.93,617.64,2025年1季度股票投资明细
11,600519,贵州茅台,3.17,1.15,1624.33,2025年2季度股票投资明细
12,300750,宁德时代,3.08,6.26,1578.67,2025年2季度股票投资明细
13,601318,中国平安,2.79,25.81,1431.94,2025年2季度股票投资明细
14,600036,招商银行,2.33,25.94,1191.94,2025年2季度股票投资明细
15,002444,巨星科技,2.09,42.03,1072.19,2025年2季度股票投资明细
16,601398,工商银行,2.0,134.95,1024.27,2025年2季度股票投资明细
17,002475,立讯精密,1.93,28.5,988.67,2025年2季度股票投资明细
18,601899,紫金矿业,1.93,50.62,987.09,2025年2季度股票投资明细
19,600919,江苏银行,1.83,78.43,936.45,2025年2季度股票投资明细
20,000333,美的集团,1.48,10.51,758.82,2025年2季度股票投资明细
21,600886,国投电力,1.43,49.86,734.97,2025年2季度股票投资明细
22,300274,阳光电源,1.3,9.82,665.23,2025年2季度股票投资明细
23,601838,成都银行,1.22,31.01,623.3,2025年2季度股票投资明细
24,600160,巨化股份,1.15,20.56,589.73,2025年2季度股票投资明细
25,688213,思特威,1.14,5.7,582.65,2025年2季度股票投资明细
26,601009,南京银行,1.14,50.1,582.16,2025年2季度股票投资明细
27,600803,新奥股份,1.13,30.68,579.9,2025年2季度股票投资明细
28,600030,中信证券,1.01,18.79,518.98,2025年2季度股票投资明细
29,603885,吉祥航空,1.0,38.24,515.15,2025年2季度股票投资明细
30,603129,春风动力,0.98,2.31,500.12,2025年2季度股票投资明细
31,600233,圆通速递,0.92,36.44,469.71,2025年2季度股票投资明细
32,600276,恒瑞医药,0.91,9.0,467.1,2025年2季度股票投资明细
33,600435,北方导航,0.91,29.92,466.45,2025年2季度股票投资明细
34,000776,广发证券,0.88,26.8,450.51,2025年2季度股票投资明细
35,688041,海光信息,0.87,3.16,446.48,2025年2季度股票投资明细
36,002920,德赛西威,0.84,4.23,432.01,2025年2季度股票投资明细
37,688981,中芯国际,0.83,4.84,426.74,2025年2季度股票投资明细
38,002352,顺丰控股,0.83,8.75,426.65,2025年2季度股票投资明细
39,300378,鼎捷数智,0.83,11.62,425.29,2025年2季度股票投资明细
40,603259,药明康德,0.83,6.1,424.12,2025年2季度股票投资明细
41,002371,北方华创,0.8,0.93,411.26,2025年2季度股票投资明细
42,000988,华工科技,0.8,8.73,410.4,2025年2季度股票投资明细
43,002384,东山精密,0.78,10.6,400.36,2025年2季度股票投资明细
44,300395,菲利华,0.78,7.8,398.58,2025年2季度股票投资明细
45,688052,纳芯微,0.76,2.22,388.22,2025年2季度股票投资明细
46,688361,中科飞测,0.75,4.56,383.67,2025年2季度股票投资明细
47,603179,新泉股份,0.73,7.94,372.94,2025年2季度股票投资明细
48,688036,传音控股,0.72,4.66,371.4,2025年2季度股票投资明细
49,300308,中际旭创,0.72,2.53,369.03,2025年2季度股票投资明细
50,002895,川恒股份,0.72,16.28,367.28,2025年2季度股票投资明细
51,601857,中国石油,0.71,42.76,365.6,2025年2季度股票投资明细
52,603606,东方电缆,0.68,6.76,349.56,2025年2季度股票投资明细
53,688256,寒武纪,0.68,0.58,348.87,2025年2季度股票投资明细
54,600862,中航高科,0.67,13.14,342.69,2025年2季度股票投资明细
55,601881,中国银河,0.64,19.01,326.02,2025年2季度股票投资明细
56,603501,豪威集团,0.62,2.49,317.85,2025年2季度股票投资明细
57,600933,爱柯迪,0.6,19.32,309.31,2025年2季度股票投资明细
58,002409,雅克科技,0.6,5.64,308.45,2025年2季度股票投资明细
59,002410,广联达,0.59,22.68,304.14,2025年2季度股票投资明细
60,600887,伊利股份,0.57,10.43,290.79,2025年2季度股票投资明细
61,601088,中国神华,0.55,6.95,281.75,2025年2季度股票投资明细
62,600104,上汽集团,0.55,17.48,280.55,2025年2季度股票投资明细
63,000425,徐工机械,0.55,36.1,280.5,2025年2季度股票投资明细
64,688617,惠泰医疗,0.53,0.92,273.69,2025年2季度股票投资明细
65,688084,晶品特装,0.53,3.1,272.58,2025年2季度股票投资明细
66,601728,中国电信,0.53,35.04,271.56,2025年2季度股票投资明细
67,300502,新易盛,0.53,2.12,269.28,2025年2季度股票投资明细
68,688122,西部超导,0.53,5.19,269.26,2025年2季度股票投资明细
69,300910,瑞丰新材,0.52,4.63,267.38,2025年2季度股票投资明细
70,688326,经纬恒润,0.5,2.88,257.39,2025年2季度股票投资明细
71,688408,中信博,0.49,5.35,249.74,2025年2季度股票投资明细
72,000661,长春高新,0.49,2.51,248.94,2025年2季度股票投资明细
73,000975,山金国际,0.48,12.91,244.52,2025年2季度股票投资明细
74,000858,五粮液,0.46,2.0,237.8,2025年2季度股票投资明细
75,000651,格力电器,0.46,5.29,237.63,2025年2季度股票投资明细
76,600111,北方稀土,0.45,9.24,230.08,2025年2季度股票投资明细
77,603019,中科曙光,0.44,3.23,227.39,2025年2季度股票投资明细
78,600536,中国软件,0.44,4.82,225.43,2025年2季度股票投资明细
79,002532,天山铝业,0.44,26.91,223.62,2025年2季度股票投资明细
80,601668,中国建筑,0.44,38.73,223.47,2025年2季度股票投资明细
81,002028,思源电气,0.43,3.05,222.38,2025年2季度股票投资明细
82,002027,分众传媒,0.43,30.04,219.29,2025年2季度股票投资明细
83,688498,源杰科技,0.41,1.09,212.55,2025年2季度股票投资明细
84,603369,今世缘,0.41,5.42,211.0,2025年2季度股票投资明细
85,603556,海兴电力,0.4,8.11,206.56,2025年2季度股票投资明细
86,000729,燕京啤酒,0.39,15.62,201.97,2025年2季度股票投资明细
87,601800,中国交建,0.39,22.56,200.56,2025年2季度股票投资明细
88,000933,神火股份,0.39,11.94,198.68,2025年2季度股票投资明细
89,600993,马应龙,0.39,6.99,197.68,2025年2季度股票投资明细
90,002463,沪电股份,0.38,4.61,196.29,2025年2季度股票投资明细
91,002517,恺英网络,0.38,9.97,192.52,2025年2季度股票投资明细
92,600941,中国移动,0.38,1.71,192.46,2025年2季度股票投资明细
93,601872,招商轮船,0.37,30.59,191.49,2025年2季度股票投资明细
94,688696,极米科技,0.37,1.65,188.69,2025年2季度股票投资明细
95,001301,尚太科技,0.36,3.74,182.36,2025年2季度股票投资明细
