序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,920185,贝特瑞,6.31,239.76,5197.9,2025年1季度股票投资明细
2,920982,锦波生物,5.19,14.22,4274.77,2025年1季度股票投资明细
3,920799,艾融软件,4.97,71.57,4097.58,2025年1季度股票投资明细
4,830799,,4.97,71.57,4097.58,2025年1季度股票投资明细
5,920599,同力股份,4.49,203.02,3696.95,2025年1季度股票投资明细
6,920139,华岭股份,3.86,128.76,3177.74,2025年1季度股票投资明细
7,920522,纳科诺尔,3.48,51.48,2866.55,2025年1季度股票投资明细
8,920491,奥迪威,3.43,92.98,2826.48,2025年1季度股票投资明细
9,920493,并行科技,3.03,14.72,2501.01,2025年1季度股票投资明细
10,920239,长虹能源,2.62,53.84,2156.28,2025年1季度股票投资明细
11,920593,鼎智科技,2.47,42.15,2036.49,2025年1季度股票投资明细
12,835985,海泰新能,2.47,171.75,2031.84,2025年1季度股票投资明细
13,830946,森萱医药,2.24,184.8,1847.95,2025年1季度股票投资明细
14,838402,硅烷科技,2.12,184.43,1748.35,2025年1季度股票投资明细
15,836247,华密新材,1.91,70.13,1574.52,2025年1季度股票投资明细
16,873703,广厦环能,1.89,64.15,1557.62,2025年1季度股票投资明细
17,873122,中纺标,1.81,31.25,1490.29,2025年1季度股票投资明细
18,871753,天纺标,1.78,50.22,1468.46,2025年1季度股票投资明细
19,872953,国子软件,0.99,17.46,812.77,2025年1季度股票投资明细
20,873693,阿为特,0.95,18.07,784.41,2025年1季度股票投资明细
21,920060,万源通,0.91,21.48,751.13,2025年1季度股票投资明细
22,920790,联迪信息,0.89,18.56,736.18,2025年1季度股票投资明细
23,920699,海达尔,0.87,15.63,714.06,2025年1季度股票投资明细
24,920478,峆一药业,0.86,33.07,712.4,2025年1季度股票投资明细
25,920227,美登科技,0.86,12.18,712.19,2025年1季度股票投资明细
26,838171,邦德股份,0.85,41.38,701.41,2025年1季度股票投资明细
27,839167,,0.71,27.7,583.45,2025年1季度股票投资明细
28,A17059,艾融软件,,71.57,,2025年1季度股票投资明细
29,920982,锦波生物,8.43,23.82,8480.04,2025年2季度股票投资明细
30,920799,艾融软件,4.79,77.84,4820.33,2025年2季度股票投资明细
31,920493,并行科技,4.25,28.54,4279.81,2025年2季度股票投资明细
32,920185,贝特瑞,4.11,177.66,4139.44,2025年2季度股票投资明细
33,920599,同力股份,4.1,193.02,4130.65,2025年2季度股票投资明细
34,920491,奥迪威,3.52,119.01,3546.59,2025年2季度股票投资明细
35,920522,纳科诺尔,3.41,67.81,3432.77,2025年2季度股票投资明细
36,920418,苏轴股份,3.26,108.4,3278.11,2025年2季度股票投资明细
37,920239,长虹能源,3.07,83.17,3087.2,2025年2季度股票投资明细
