序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,600036,招商银行,5.78,8.05,348.48,2025年1季度股票投资明细
2,601939,建设银行,3.57,24.39,215.36,2025年1季度股票投资明细
3,600887,伊利股份,3.42,7.35,206.39,2025年1季度股票投资明细
4,601601,中国太保,3.18,5.97,192.0,2025年1季度股票投资明细
5,000651,格力电器,2.67,3.54,160.93,2025年1季度股票投资明细
6,600519,贵州茅台,2.59,0.1,156.1,2025年1季度股票投资明细
7,300750,宁德时代,2.52,0.6,151.76,2025年1季度股票投资明细
8,600309,万华化学,2.48,2.23,149.88,2025年1季度股票投资明细
9,000333,美的集团,2.39,1.84,144.44,2025年1季度股票投资明细
10,002508,老板电器,2.33,6.2,140.74,2025年1季度股票投资明细
11,600036,招商银行,6.35,15.71,721.87,2025年2季度股票投资明细
12,601939,建设银行,3.96,47.66,449.91,2025年2季度股票投资明细
13,601601,中国太保,3.84,11.64,436.62,2025年2季度股票投资明细
14,600887,伊利股份,2.75,11.23,313.09,2025年2季度股票投资明细
15,000651,格力电器,2.72,6.88,309.05,2025年2季度股票投资明细
16,002352,顺丰控股,2.5,5.84,284.76,2025年2季度股票投资明细
17,000333,美的集团,2.27,3.57,257.75,2025年2季度股票投资明细
18,600309,万华化学,2.07,4.33,234.95,2025年2季度股票投资明细
19,002508,老板电器,2.02,12.1,230.02,2025年2季度股票投资明细
20,000725,京东方A,2.01,57.32,228.71,2025年2季度股票投资明细
21,600519,贵州茅台,1.98,0.16,225.52,2025年2季度股票投资明细
22,000807,云铝股份,1.98,14.1,225.32,2025年2季度股票投资明细
23,600176,中国巨石,1.97,19.64,223.9,2025年2季度股票投资明细
24,600919,江苏银行,1.9,18.11,216.23,2025年2季度股票投资明细
25,600048,保利发展,1.9,26.63,215.7,2025年2季度股票投资明细
26,601233,桐昆股份,1.7,18.22,193.13,2025年2季度股票投资明细
27,600941,中国移动,1.66,1.68,189.08,2025年2季度股票投资明细
28,605296,神农集团,1.55,5.72,175.83,2025年2季度股票投资明细
29,605319,无锡振华,1.51,5.01,171.14,2025年2季度股票投资明细
30,000425,徐工机械,1.5,21.89,170.09,2025年2季度股票投资明细
31,002223,鱼跃医疗,1.47,4.68,166.61,2025年2季度股票投资明细
32,002648,卫星化学,1.43,9.35,162.04,2025年2季度股票投资明细
33,002078,太阳纸业,1.39,11.7,157.48,2025年2季度股票投资明细
34,000858,五粮液,1.38,1.32,156.95,2025年2季度股票投资明细
35,002027,分众传媒,1.38,21.42,156.37,2025年2季度股票投资明细
36,600031,三一重工,1.35,8.58,154.01,2025年2季度股票投资明细
