序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,601318,中国平安,6.82,267.07,13788.77,2025年1季度股票投资明细
2,600036,招商银行,6.58,307.14,13296.0,2025年1季度股票投资明细
3,000333,美的集团,4.71,121.32,9523.62,2025年1季度股票投资明细
4,601166,兴业银行,3.85,360.8,7793.22,2025年1季度股票投资明细
5,601398,工商银行,2.96,869.72,5992.36,2025年1季度股票投资明细
6,000651,格力电器,2.5,111.21,5055.65,2025年1季度股票投资明细
7,601211,国泰海通,2.28,267.96,4608.95,2025年1季度股票投资明细
8,601328,交通银行,2.15,584.25,4352.68,2025年1季度股票投资明细
9,601288,农业银行,2.03,792.11,4103.13,2025年1季度股票投资明细
10,000725,京东方A,1.88,916.69,3804.26,2025年1季度股票投资明细
11,688605,先锋精科,0.0,0.07,5.38,2025年1季度股票投资明细
12,301658,首航新能,0.0,0.44,5.16,2025年1季度股票投资明细
13,688758,赛分科技,0.0,0.22,3.6,2025年1季度股票投资明细
14,001391,国货航,0.0,0.47,3.06,2025年1季度股票投资明细
15,688545,兴福电子,0.0,0.1,2.57,2025年1季度股票投资明细
16,601318,中国平安,6.76,227.8,12638.28,2025年2季度股票投资明细
17,600036,招商银行,6.44,261.99,12038.34,2025年2季度股票投资明细
18,601166,兴业银行,4.39,351.8,8210.95,2025年2季度股票投资明细
19,000333,美的集团,4.02,104.11,7516.74,2025年2季度股票投资明细
20,600030,中信证券,3.05,206.6,5706.29,2025年2季度股票投资明细
21,601398,工商银行,3.01,741.99,5631.69,2025年2季度股票投资明细
22,601211,国泰海通,2.45,239.15,4582.16,2025年2季度股票投资明细
23,601328,交通银行,2.42,564.69,4517.5,2025年2季度股票投资明细
24,000651,格力电器,2.28,94.85,4260.7,2025年2季度股票投资明细
25,601288,农业银行,2.13,675.76,3973.47,2025年2季度股票投资明细
26,600919,江苏银行,1.99,310.76,3710.43,2025年2季度股票投资明细
27,600000,浦发银行,1.85,248.57,3450.14,2025年2季度股票投资明细
28,000725,京东方A,1.66,777.52,3102.3,2025年2季度股票投资明细
29,601088,中国神华,1.51,69.79,2829.34,2025年2季度股票投资明细
30,601601,中国太保,1.45,72.44,2717.32,2025年2季度股票投资明细
31,601728,中国电信,1.36,328.61,2546.73,2025年2季度股票投资明细
32,601668,中国建筑,1.35,437.37,2523.6,2025年2季度股票投资明细
33,600016,民生银行,1.34,525.45,2495.91,2025年2季度股票投资明细
34,000001,平安银行,1.33,205.32,2478.23,2025年2季度股票投资明细
35,601229,上海银行,1.2,210.58,2234.24,2025年2季度股票投资明细
36,600941,中国移动,1.15,19.1,2149.71,2025年2季度股票投资明细
37,601169,北京银行,1.14,313.17,2138.96,2025年2季度股票投资明细
38,601857,中国石油,1.1,239.85,2050.71,2025年2季度股票投资明细
39,601919,中远海控,1.07,133.44,2006.91,2025年2季度股票投资明细
40,601688,华泰证券,1.03,108.31,1928.97,2025年2季度股票投资明细
41,002142,宁波银行,1.02,69.88,1911.94,2025年2季度股票投资明细
42,600050,中国联通,0.95,330.79,1766.42,2025年2季度股票投资明细
43,000338,潍柴动力,0.94,114.72,1764.39,2025年2季度股票投资明细
44,600028,中国石化,0.93,308.64,1740.76,2025年2季度股票投资明细
45,000100,TCL科技,0.92,397.49,1721.13,2025年2季度股票投资明细
46,601988,中国银行,0.91,302.94,1702.5,2025年2季度股票投资明细
47,601006,大秦铁路,0.9,255.77,1688.07,2025年2季度股票投资明细
48,600926,杭州银行,0.88,97.32,1636.97,2025年2季度股票投资明细
49,601818,光大银行,0.87,393.0,1630.93,2025年2季度股票投资明细
50,601225,陕西煤业,0.85,82.12,1579.92,2025年2季度股票投资明细
51,600104,上汽集团,0.84,98.01,1573.06,2025年2季度股票投资明细
52,002027,分众传媒,0.84,213.87,1561.25,2025年2季度股票投资明细
53,601628,中国人寿,0.78,35.25,1451.84,2025年2季度股票投资明细
54,601009,南京银行,0.77,124.53,1447.05,2025年2季度股票投资明细
55,600999,招商证券,0.74,78.54,1381.57,2025年2季度股票投资明细
56,601939,建设银行,0.72,142.17,1342.1,2025年2季度股票投资明细
57,600938,中国海油,0.71,50.65,1322.49,2025年2季度股票投资明细
58,601658,邮储银行,0.68,233.45,1276.97,2025年2季度股票投资明细
59,600089,特变电工,0.68,106.96,1275.97,2025年2季度股票投资明细
60,600048,保利发展,0.66,152.14,1232.3,2025年2季度股票投资明细
61,600019,宝钢股份,0.65,185.38,1221.63,2025年2季度股票投资明细
62,601390,中国中铁,0.65,217.32,1219.15,2025年2季度股票投资明细
63,601825,沪农商行,0.64,122.44,1187.67,2025年2季度股票投资明细
64,600585,海螺水泥,0.58,50.83,1091.33,2025年2季度股票投资明细
65,601916,浙商银行,0.58,319.07,1081.65,2025年2季度股票投资明细
66,601838,成都银行,0.58,53.79,1081.18,2025年2季度股票投资明细
67,600015,华夏银行,0.57,134.8,1066.25,2025年2季度股票投资明细
68,603799,华友钴业,0.57,28.79,1065.81,2025年2季度股票投资明细
69,000776,广发证券,0.56,62.49,1050.46,2025年2季度股票投资明细
70,601336,新华保险,0.55,17.67,1033.45,2025年2季度股票投资明细
71,601998,中信银行,0.51,112.11,952.91,2025年2季度股票投资明细
72,601077,渝农商行,0.5,131.1,936.05,2025年2季度股票投资明细
73,600795,国电电力,0.49,188.75,913.53,2025年2季度股票投资明细
74,601377,兴业证券,0.48,146.22,905.1,2025年2季度股票投资明细
75,601669,中国电建,0.47,182.22,887.43,2025年2季度股票投资明细
76,601881,中国银河,0.42,46.01,789.07,2025年2季度股票投资明细
77,601186,中国铁建,0.42,97.39,780.13,2025年2季度股票投资明细
78,000157,中联重科,0.41,105.26,761.01,2025年2季度股票投资明细
79,600886,国投电力,0.4,50.88,750.02,2025年2季度股票投资明细
80,601788,光大证券,0.4,41.39,744.19,2025年2季度股票投资明细
81,000807,云铝股份,0.38,44.03,703.68,2025年2季度股票投资明细
82,002736,国信证券,0.38,61.01,702.84,2025年2季度股票投资明细
83,600066,宇通客车,0.37,28.09,698.32,2025年2季度股票投资明细
84,001979,招商蛇口,0.36,76.82,673.7,2025年2季度股票投资明细
85,601800,中国交建,0.36,75.35,669.86,2025年2季度股票投资明细
86,002236,大华股份,0.36,41.87,664.9,2025年2季度股票投资明细
