序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,002706,良信股份,8.41,104.94,945.51,2025年1季度股票投资明细
2,600380,健康元,5.64,54.7,633.43,2025年1季度股票投资明细
3,600486,扬农化工,5.43,11.5,610.19,2025年1季度股票投资明细
4,000028,国药一致,5.38,23.62,604.44,2025年1季度股票投资明细
5,600546,山煤国际,5.36,56.0,602.56,2025年1季度股票投资明细
6,000581,威孚高科,4.66,24.56,523.97,2025年1季度股票投资明细
7,000923,河钢资源,4.65,33.21,523.06,2025年1季度股票投资明细
8,002142,宁波银行,3.99,17.35,447.98,2025年1季度股票投资明细
9,000338,潍柴动力,3.97,27.16,445.7,2025年1季度股票投资明细
10,00883,中国海洋石油,3.5,23.0,393.09,2025年1季度股票投资明细
11,600938,中国海油,1.54,6.65,172.7,2025年1季度股票投资明细
12,002706,良信股份,8.42,105.32,938.4,2025年2季度股票投资明细
13,000028,国药一致,5.35,23.91,596.08,2025年2季度股票投资明细
14,600380,健康元,5.25,53.09,585.58,2025年2季度股票投资明细
15,000581,威孚高科,5.1,30.02,568.67,2025年2季度股票投资明细
16,002142,宁波银行,4.6,18.73,512.45,2025年2季度股票投资明细
17,600546,山煤国际,4.56,58.23,508.35,2025年2季度股票投资明细
18,000338,潍柴动力,4.43,32.1,493.7,2025年2季度股票投资明细
19,301155,海力风电,4.19,6.5,467.35,2025年2季度股票投资明细
20,600486,扬农化工,4.19,8.05,466.9,2025年2季度股票投资明细
21,000923,河钢资源,4.03,32.45,449.11,2025年2季度股票投资明细
22,002159,三特索道,3.87,28.01,431.07,2025年2季度股票投资明细
23,000002,万科A,3.66,63.6,408.31,2025年2季度股票投资明细
24,600383,金地集团,3.36,98.86,374.68,2025年2季度股票投资明细
25,00883,中国海洋石油,3.33,23.0,371.67,2025年2季度股票投资明细
26,000776,广发证券,3.17,21.0,353.01,2025年2季度股票投资明细
27,002508,老板电器,3.06,17.92,340.66,2025年2季度股票投资明细
28,603885,吉祥航空,2.88,23.81,320.72,2025年2季度股票投资明细
29,600048,保利发展,2.69,36.99,299.62,2025年2季度股票投资明细
30,600497,驰宏锌锗,2.62,55.29,292.48,2025年2季度股票投资明细
31,000803,山高环能,2.19,39.62,244.06,2025年2季度股票投资明细
32,002555,三七互娱,1.94,12.53,216.64,2025年2季度股票投资明细
33,01099,国药控股,1.82,12.12,203.15,2025年2季度股票投资明细
34,02423,贝壳-W,1.67,4.32,186.74,2025年2季度股票投资明细
35,002572,索菲亚,1.62,12.9,180.73,2025年2季度股票投资明细
36,300395,菲利华,1.1,2.4,122.64,2025年2季度股票投资明细
37,002475,立讯精密,0.92,2.96,102.68,2025年2季度股票投资明细
38,000888,峨眉山A,0.83,6.55,92.09,2025年2季度股票投资明细
39,00981,中芯国际,0.81,2.21,89.95,2025年2季度股票投资明细
40,002138,顺络电子,0.69,2.73,76.77,2025年2季度股票投资明细
41,02628,中国人寿,0.52,3.4,58.42,2025年2季度股票投资明细
42,601128,常熟银行,0.49,7.42,54.71,2025年2季度股票投资明细
43,002739,万达电影,0.24,2.37,27.09,2025年2季度股票投资明细
44,603596,伯特利,0.24,0.51,26.87,2025年2季度股票投资明细
45,600938,中国海油,0.2,0.84,21.93,2025年2季度股票投资明细
46,03690,美团-W,0.16,0.16,18.28,2025年2季度股票投资明细
47,302132,中航成飞,0.02,0.03,2.64,2025年2季度股票投资明细
48,301535,浙江华远,0.01,0.05,1.0,2025年2季度股票投资明细
49,001388,信通电子,0.01,0.06,0.94,2025年2季度股票投资明细
50,301662,宏工科技,0.01,0.01,0.73,2025年2季度股票投资明细
51,301678,新恒汇,0.01,0.02,0.71,2025年2季度股票投资明细
52,301665,泰禾股份,0.01,0.03,0.58,2025年2季度股票投资明细
53,301658,首航新能,0.01,0.02,0.56,2025年2季度股票投资明细
54,001382,新亚电缆,0.0,0.02,0.44,2025年2季度股票投资明细
55,301590,优优绿能,0.0,0.0,0.35,2025年2季度股票投资明细
56,301560,众捷汽车,0.0,0.01,0.3,2025年2季度股票投资明细
57,001335,信凯科技,0.0,0.01,0.21,2025年2季度股票投资明细
58,001390,古麒绒材,0.0,0.01,0.17,2025年2季度股票投资明细
59,002706,良信股份,7.71,83.99,953.29,2025年3季度股票投资明细
60,000581,威孚高科,6.12,32.83,756.4,2025年3季度股票投资明细
61,600486,扬农化工,5.45,9.36,673.36,2025年3季度股票投资明细
62,600380,健康元,5.38,53.3,665.18,2025年3季度股票投资明细
63,301155,海力风电,5.09,6.58,628.52,2025年3季度股票投资明细
64,600546,山煤国际,5.08,64.12,627.73,2025年3季度股票投资明细
65,002142,宁波银行,4.33,20.26,535.47,2025年3季度股票投资明细
66,000338,潍柴动力,4.28,37.73,528.97,2025年3季度股票投资明细
67,000776,广发证券,4.17,23.15,515.78,2025年3季度股票投资明细
68,000923,河钢资源,3.98,27.46,491.81,2025年3季度股票投资明细
