序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,06078,海吉亚医疗,8.29,309.12,3833.96,2025年1季度股票投资明细
2,00700,腾讯控股,4.91,4.95,2270.3,2025年1季度股票投资明细
3,601233,桐昆股份,3.97,156.73,1836.9,2025年1季度股票投资明细
4,02128,中国联塑,3.86,554.9,1787.15,2025年1季度股票投资明细
5,02313,申洲国际,3.75,32.19,1734.82,2025年1季度股票投资明细
6,06110,滔搏,3.59,525.73,1659.23,2025年1季度股票投资明细
7,01999,敏华控股,3.57,399.0,1653.26,2025年1季度股票投资明细
8,01109,华润置地,3.31,64.3,1530.92,2025年1季度股票投资明细
9,01258,中国有色矿业,3.17,282.5,1465.13,2025年1季度股票投资明细
10,01530,三生制药,2.66,111.35,1228.98,2025年1季度股票投资明细
11,06078,海吉亚医疗,9.03,362.32,5042.21,2025年2季度股票投资明细
12,601233,桐昆股份,6.37,335.77,3559.18,2025年2季度股票投资明细
13,00700,腾讯控股,6.09,7.42,3403.63,2025年2季度股票投资明细
14,01258,中国有色矿业,4.6,386.6,2570.16,2025年2季度股票投资明细
15,000807,云铝股份,4.17,145.71,2328.45,2025年2季度股票投资明细
16,603816,顾家家居,4.01,87.77,2239.89,2025年2季度股票投资明细
17,000725,京东方A,3.92,548.86,2189.95,2025年2季度股票投资明细
18,000100,TCL科技,3.91,504.02,2182.39,2025年2季度股票投资明细
19,02128,中国联塑,3.43,501.4,1915.88,2025年2季度股票投资明细
20,00968,信义光能,3.26,802.4,1822.05,2025年2季度股票投资明细
21,06110,滔搏,3.14,629.33,1756.17,2025年2季度股票投资明细
22,02313,申洲国际,3.1,34.07,1733.71,2025年2季度股票投资明细
23,01109,华润置地,3.01,69.2,1678.64,2025年2季度股票投资明细
24,02689,玖龙纸业,2.68,509.0,1499.31,2025年2季度股票投资明细
25,002475,立讯精密,2.65,42.64,1479.18,2025年2季度股票投资明细
26,01177,中国生物制药,2.56,298.4,1431.38,2025年2季度股票投资明细
27,06886,华泰证券,2.52,97.2,1409.4,2025年2季度股票投资明细
28,603225,新凤鸣,2.42,126.71,1349.46,2025年2季度股票投资明细
29,01585,雅迪控股,2.3,112.4,1287.44,2025年2季度股票投资明细
30,02057,中通快递-W,2.12,9.37,1182.85,2025年2季度股票投资明细
31,01999,敏华控股,2.12,300.76,1182.14,2025年2季度股票投资明细
32,000933,神火股份,1.78,59.65,992.58,2025年2季度股票投资明细
33,01928,金沙中国有限公司,1.77,66.48,990.64,2025年2季度股票投资明细
34,603558,健盛集团,1.65,100.97,919.84,2025年2季度股票投资明细
35,01579,颐海国际,1.44,63.3,802.4,2025年2季度股票投资明细
36,03800,协鑫科技,1.1,676.2,616.66,2025年2季度股票投资明细
37,03898,时代电气,1.09,21.17,610.07,2025年2季度股票投资明细
38,603801,志邦家居,1.05,60.56,586.83,2025年2季度股票投资明细
39,300012,华测检测,0.93,44.37,518.69,2025年2季度股票投资明细
40,00999,小菜园,0.83,48.0,465.75,2025年2季度股票投资明细
41,00175,吉利汽车,0.69,26.42,384.48,2025年2季度股票投资明细
42,001301,尚太科技,0.66,7.61,371.06,2025年2季度股票投资明细
43,01478,丘钛科技,0.59,43.7,330.77,2025年2季度股票投资明细
44,00839,中教控股,0.4,91.0,225.73,2025年2季度股票投资明细
45,688628,优利德,0.24,4.04,135.51,2025年2季度股票投资明细
46,002683,广东宏大,0.19,3.12,105.89,2025年2季度股票投资明细
47,00388,香港交易所,0.01,0.01,2.98,2025年2季度股票投资明细
48,02899,紫金矿业,0.0,0.07,1.28,2025年2季度股票投资明细
49,02382,舜宇光学科技,0.0,0.01,0.57,2025年2季度股票投资明细
50,00883,中国海洋石油,0.0,0.02,0.36,2025年2季度股票投资明细
51,03993,洛阳钼业,0.0,0.02,0.18,2025年2季度股票投资明细
52,03690,美团-W,0.0,0.0,0.15,2025年2季度股票投资明细
53,00667,中国东方教育,0.0,0.02,0.14,2025年2季度股票投资明细
54,09626,哔哩哔哩-W,0.0,0.0,0.08,2025年2季度股票投资明细
55,02285,泉峰控股,0.0,0.01,0.08,2025年2季度股票投资明细
56,00857,中国石油股份,0.0,0.01,0.07,2025年2季度股票投资明细
57,02099,中国黄金国际,0.0,0.0,0.06,2025年2季度股票投资明细
58,01818,招金矿业,0.0,0.0,0.03,2025年2季度股票投资明细
59,00257,光大环境,0.0,0.01,0.03,2025年2季度股票投资明细
60,01888,建滔积层板,0.0,0.0,0.03,2025年2季度股票投资明细
61,02208,金风科技,0.0,0.0,0.02,2025年2季度股票投资明细
62,06078,海吉亚医疗,9.48,467.94,6113.55,2025年3季度股票投资明细
63,601233,桐昆股份,8.08,347.35,5213.75,2025年3季度股票投资明细
64,02313,申洲国际,5.82,66.73,3755.91,2025年3季度股票投资明细
65,00700,腾讯控股,5.43,5.78,3499.88,2025年3季度股票投资明细
66,603816,顾家家居,4.81,102.85,3102.98,2025年3季度股票投资明细
67,000807,云铝股份,4.69,146.94,3026.96,2025年3季度股票投资明细
68,000933,神火股份,4.59,147.87,2958.88,2025年3季度股票投资明细
69,02057,中通快递-W,3.97,19.03,2562.67,2025年3季度股票投资明细
70,01999,敏华控股,3.95,647.92,2549.53,2025年3季度股票投资明细
71,00285,比亚迪电子,3.68,62.9,2374.05,2025年3季度股票投资明细
