序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,603005,晶方科技,1.13,0.6,18.43,2025年1季度股票投资明细
2,002249,大洋电机,1.04,2.36,16.83,2025年1季度股票投资明细
3,300570,太辰光,1.03,0.2,16.7,2025年1季度股票投资明细
4,002461,珠江啤酒,1.0,1.6,16.16,2025年1季度股票投资明细
5,002139,拓邦股份,0.99,1.06,16.05,2025年1季度股票投资明细
6,601279,英利汽车,0.99,4.44,16.03,2025年1季度股票投资明细
7,000603,盛达资源,0.99,1.02,16.0,2025年1季度股票投资明细
8,600633,浙数文化,0.95,1.15,15.46,2025年1季度股票投资明细
9,688608,恒玄科技,0.94,0.04,15.32,2025年1季度股票投资明细
10,000970,中科三环,0.94,1.2,15.22,2025年1季度股票投资明细
11,688208,道通科技,1.31,0.83,25.4,2025年2季度股票投资明细
12,603267,鸿远电子,1.22,0.47,23.63,2025年2季度股票投资明细
13,603005,晶方科技,1.1,0.75,21.29,2025年2季度股票投资明细
14,002174,游族网络,1.1,1.75,21.23,2025年2季度股票投资明细
15,603678,火炬电子,1.04,0.53,20.16,2025年2季度股票投资明细
16,300755,华致酒行,1.04,1.04,20.07,2025年2季度股票投资明细
17,000970,中科三环,1.02,1.68,19.77,2025年2季度股票投资明细
18,688128,中国电研,1.0,0.79,19.36,2025年2季度股票投资明细
19,301558,三态股份,0.99,2.12,19.1,2025年2季度股票投资明细
20,300229,拓尔思,0.97,1.02,18.81,2025年2季度股票投资明细
21,300548,长芯博创,0.97,0.28,18.7,2025年2季度股票投资明细
22,603609,禾丰股份,0.91,2.13,17.59,2025年2季度股票投资明细
23,002545,东方铁塔,0.91,1.97,17.51,2025年2季度股票投资明细
24,600073,光明肉业,0.9,2.36,17.42,2025年2季度股票投资明细
25,300456,赛微电子,0.9,1.01,17.36,2025年2季度股票投资明细
26,603565,中谷物流,0.89,1.81,17.29,2025年2季度股票投资明细
27,300613,富瀚微,0.86,0.34,16.62,2025年2季度股票投资明细
28,605589,圣泉集团,0.85,0.59,16.37,2025年2季度股票投资明细
29,600179,安通控股,0.84,5.91,16.31,2025年2季度股票投资明细
30,600812,华北制药,0.82,2.58,15.94,2025年2季度股票投资明细
31,002913,奥士康,0.82,0.54,15.88,2025年2季度股票投资明细
32,002267,陕天然气,0.81,2.06,15.59,2025年2季度股票投资明细
33,002378,章源钨业,0.81,1.97,15.58,2025年2季度股票投资明细
34,603583,捷昌驱动,0.79,0.42,15.34,2025年2季度股票投资明细
35,600273,嘉化能源,0.78,1.78,15.06,2025年2季度股票投资明细
36,601107,四川成渝,0.77,2.46,14.81,2025年2季度股票投资明细
37,600064,南京高科,0.77,1.92,14.8,2025年2季度股票投资明细
38,600267,海正药业,0.76,1.59,14.71,2025年2季度股票投资明细
39,600866,星湖科技,0.75,2.1,14.51,2025年2季度股票投资明细
40,688523,航天环宇,0.75,0.67,14.41,2025年2季度股票投资明细
41,605376,博迁新材,0.73,0.37,14.18,2025年2季度股票投资明细
42,002777,久远银海,0.73,0.77,14.06,2025年2季度股票投资明细
43,002151,北斗星通,0.73,0.49,14.06,2025年2季度股票投资明细
44,000719,中原传媒,0.71,1.1,13.65,2025年2季度股票投资明细
45,001339,智微智能,0.7,0.28,13.53,2025年2季度股票投资明细
46,600595,中孚实业,0.7,3.08,13.49,2025年2季度股票投资明细
47,000848,承德露露,0.69,1.47,13.42,2025年2季度股票投资明细
48,603636,南威软件,0.69,1.06,13.4,2025年2季度股票投资明细
49,002390,信邦制药,0.69,3.85,13.4,2025年2季度股票投资明细
50,000761,本钢板材,0.69,3.7,13.32,2025年2季度股票投资明细
51,688123,聚辰股份,0.67,0.16,12.96,2025年2季度股票投资明细
52,000813,德展健康,0.66,3.98,12.82,2025年2季度股票投资明细
53,300232,洲明科技,0.66,1.77,12.81,2025年2季度股票投资明细
54,600640,国脉文化,0.66,1.05,12.73,2025年2季度股票投资明细
55,002004,华邦健康,0.64,2.95,12.3,2025年2季度股票投资明细
56,301171,易点天下,0.62,0.45,12.03,2025年2季度股票投资明细
57,600315,上海家化,0.62,0.57,12.01,2025年2季度股票投资明细
58,603308,应流股份,0.62,0.52,12.0,2025年2季度股票投资明细
59,603983,丸美生物,0.61,0.28,11.8,2025年2季度股票投资明细
60,603013,亚普股份,0.61,0.68,11.75,2025年2季度股票投资明细
61,002897,意华股份,0.6,0.3,11.64,2025年2季度股票投资明细
62,600020,中原高速,0.6,2.41,11.52,2025年2季度股票投资明细
63,688063,派能科技,0.58,0.25,11.27,2025年2季度股票投资明细
64,688262,国芯科技,0.58,0.42,11.2,2025年2季度股票投资明细
65,000600,建投能源,0.57,1.6,11.06,2025年2季度股票投资明细
66,301363,美好医疗,0.56,0.61,10.76,2025年2季度股票投资明细
67,002516,旷达科技,0.55,2.07,10.66,2025年2季度股票投资明细
68,603730,岱美股份,0.54,1.85,10.52,2025年2季度股票投资明细
69,603638,艾迪精密,0.54,0.6,10.49,2025年2季度股票投资明细
70,300657,弘信电子,0.53,0.37,10.32,2025年2季度股票投资明细
71,000915,华特达因,0.53,0.29,10.25,2025年2季度股票投资明细
72,600961,株冶集团,0.52,0.9,10.06,2025年2季度股票投资明细
73,603915,国茂股份,0.52,0.69,10.03,2025年2季度股票投资明细
