序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,300738,奥飞数据,9.3,96.4,2338.66,2025年1季度股票投资明细
2,600589,大位科技,9.08,296.4,2285.24,2025年1季度股票投资明细
3,09988,阿里巴巴-W,9.02,19.22,2270.31,2025年1季度股票投资明细
4,002335,科华数据,8.54,48.65,2147.9,2025年1季度股票投资明细
5,300442,润泽科技,8.53,37.54,2145.04,2025年1季度股票投资明细
6,300383,光环新网,8.51,128.04,2140.83,2025年1季度股票投资明细
7,688158,优刻得,8.1,78.41,2038.77,2025年1季度股票投资明细
8,03896,金山云,7.79,288.8,1958.87,2025年1季度股票投资明细
9,300846,首都在线,7.33,80.32,1843.34,2025年1季度股票投资明细
10,300911,亿田智能,5.86,32.2,1474.48,2025年1季度股票投资明细
11,300502,新易盛,10.08,92.57,11758.34,2025年2季度股票投资明细
12,300308,中际旭创,9.92,79.3,11566.7,2025年2季度股票投资明细
13,300394,天孚通信,9.43,137.75,10997.8,2025年2季度股票投资明细
14,300476,胜宏科技,9.19,79.81,10724.87,2025年2季度股票投资明细
15,688498,源杰科技,9.03,54.03,10534.88,2025年2季度股票投资明细
16,300548,长芯博创,8.16,142.54,9517.4,2025年2季度股票投资明细
17,002463,沪电股份,7.88,215.9,9193.02,2025年2季度股票投资明细
18,601138,工业富联,6.83,372.5,7964.05,2025年2季度股票投资明细
19,300570,太辰光,6.8,82.33,7934.97,2025年2季度股票投资明细
20,002916,深南电路,4.92,53.22,5737.54,2025年2季度股票投资明细
21,603306,华懋科技,4.7,125.97,5479.7,2025年2季度股票投资明细
22,688668,鼎通科技,3.9,72.86,4550.8,2025年2季度股票投资明细
23,688313,仕佳光子,3.22,98.76,3757.94,2025年2季度股票投资明细
24,603124,江南新材,0.6,14.43,701.21,2025年2季度股票投资明细
25,688775,影石创新,0.0,0.02,2.63,2025年2季度股票投资明细
26,001388,信通电子,0.0,0.09,1.54,2025年2季度股票投资明细
27,301590,优优绿能,0.0,0.01,0.85,2025年2季度股票投资明细
28,603049,中策橡胶,0.0,0.01,0.52,2025年2季度股票投资明细
29,001390,古麒绒材,0.0,0.02,0.32,2025年2季度股票投资明细
30,603400,华之杰,0.0,0.01,0.25,2025年2季度股票投资明细
31,300502,新易盛,9.76,307.58,112504.49,2025年3季度股票投资明细
32,300308,中际旭创,9.48,270.47,109183.33,2025年3季度股票投资明细
33,300394,天孚通信,8.98,616.39,103429.69,2025年3季度股票投资明细
34,002916,深南电路,8.69,462.18,100125.81,2025年3季度股票投资明细
35,002463,沪电股份,8.29,1300.09,95517.32,2025年3季度股票投资明细
36,600183,生益科技,7.98,1701.94,91938.81,2025年3季度股票投资明细
37,300570,太辰光,5.59,611.55,64383.69,2025年3季度股票投资明细
38,688008,澜起科技,5.51,410.41,63531.45,2025年3季度股票投资明细
39,688313,仕佳光子,4.55,735.03,52407.99,2025年3季度股票投资明细
40,300548,长芯博创,4.42,478.84,50886.58,2025年3季度股票投资明细
41,002600,领益智造,2.84,2003.37,32674.96,2025年3季度股票投资明细
42,002436,兴森科技,2.01,1048.55,23193.91,2025年3季度股票投资明细
43,002922,伊戈尔,0.49,265.95,5603.57,2025年3季度股票投资明细
