序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,09988,阿里巴巴-W,5.46,25.87,4180.53,2025年3季度股票投资明细
2,00981,中芯国际,5.24,55.2,4009.04,2025年3季度股票投资明细
3,688012,中微公司,4.57,11.7,3498.69,2025年3季度股票投资明细
4,688652,京仪装备,4.51,34.23,3451.42,2025年3季度股票投资明细
5,000426,兴业银锡,4.32,100.6,3308.73,2025年3季度股票投资明细
6,002475,立讯精密,2.45,28.98,1874.72,2025年3季度股票投资明细
7,688258,卓易信息,2.38,24.86,1822.09,2025年3季度股票投资明细
8,603986,兆易创新,2.35,8.44,1800.25,2025年3季度股票投资明细
9,01347,华虹半导体,1.98,20.8,1519.2,2025年3季度股票投资明细
10,00763,中兴通讯,1.67,39.44,1278.28,2025年3季度股票投资明细
