序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,600030,中信证券,13.47,994.83,26382.81,2025年1季度股票投资明细
2,300059,东方财富,13.1,1135.91,25648.94,2025年1季度股票投资明细
3,601211,国泰海通,9.67,1100.61,18930.56,2025年1季度股票投资明细
4,601688,华泰证券,4.4,521.42,8624.35,2025年1季度股票投资明细
5,600999,招商证券,3.43,378.24,6721.41,2025年1季度股票投资明细
6,600958,东方证券,2.57,532.93,5030.88,2025年1季度股票投资明细
7,000776,广发证券,2.48,301.66,4862.77,2025年1季度股票投资明细
8,000166,申万宏源,2.31,918.79,4529.65,2025年1季度股票投资明细
9,601377,兴业证券,2.11,704.18,4140.57,2025年1季度股票投资明细
10,601995,中金公司,2.1,119.19,4115.63,2025年1季度股票投资明细
11,001382,新亚电缆,0.0,0.37,8.73,2025年1季度股票投资明细
12,301626,苏州天脉,0.0,0.1,8.03,2025年1季度股票投资明细
13,301658,首航新能,0.0,0.44,5.16,2025年1季度股票投资明细
14,001391,国货航,0.0,0.47,3.06,2025年1季度股票投资明细
15,301522,上大股份,0.0,0.08,2.99,2025年1季度股票投资明细
16,300059,东方财富,14.37,1107.78,25623.04,2025年2季度股票投资明细
17,600030,中信证券,13.25,855.2,23620.54,2025年2季度股票投资明细
18,601211,国泰海通,10.64,990.02,18968.85,2025年2季度股票投资明细
19,601688,华泰证券,4.48,448.24,7983.22,2025年2季度股票投资明细
20,600999,招商证券,3.21,325.15,5719.47,2025年2季度股票投资明细
21,600958,东方证券,2.49,458.13,4434.72,2025年2季度股票投资明细
22,000776,广发证券,2.44,258.66,4348.09,2025年2季度股票投资明细
23,000166,申万宏源,2.22,789.83,3964.96,2025年2季度股票投资明细
24,601377,兴业证券,2.1,605.34,3747.04,2025年2季度股票投资明细
25,601995,中金公司,2.03,102.47,3623.34,2025年2季度股票投资明细
26,601881,中国银河,1.83,190.4,3265.33,2025年2季度股票投资明细
27,601788,光大证券,1.73,171.16,3077.4,2025年2季度股票投资明细
28,601162,天风证券,1.72,622.03,3066.63,2025年2季度股票投资明细
29,601555,东吴证券,1.71,348.28,3047.46,2025年2季度股票投资明细
30,002736,国信证券,1.63,252.67,2910.76,2025年2季度股票投资明细
31,601901,方正证券,1.6,360.65,2852.75,2025年2季度股票投资明细
32,601066,中信建投,1.54,113.83,2737.71,2025年2季度股票投资明细
33,601878,浙商证券,1.47,240.45,2623.33,2025年2季度股票投资明细
34,002797,第一创业,1.46,368.21,2606.91,2025年2季度股票投资明细
35,601099,太平洋,1.32,597.24,2347.15,2025年2季度股票投资明细
36,601108,财通证券,1.26,284.82,2252.96,2025年2季度股票投资明细
37,000783,长江证券,1.13,290.73,2014.76,2025年2季度股票投资明细
38,600109,国金证券,1.12,227.71,1997.02,2025年2季度股票投资明细
39,601198,东兴证券,1.06,169.94,1894.82,2025年2季度股票投资明细
40,002673,西部证券,1.04,234.97,1851.59,2025年2季度股票投资明细
41,000728,国元证券,1.02,229.41,1810.05,2025年2季度股票投资明细
42,600061,国投资本,0.95,224.09,1685.18,2025年2季度股票投资明细
43,000750,国海证券,0.91,391.69,1613.77,2025年2季度股票投资明细
44,600918,中泰证券,0.88,244.24,1570.46,2025年2季度股票投资明细
45,601990,南京证券,0.88,193.8,1565.87,2025年2季度股票投资明细
46,601696,中银证券,0.88,146.05,1561.27,2025年2季度股票投资明细
47,600369,西南证券,0.85,349.34,1519.64,2025年2季度股票投资明细
48,601059,信达证券,0.82,85.25,1457.72,2025年2季度股票投资明细
49,600909,华安证券,0.8,245.95,1433.91,2025年2季度股票投资明细
50,600155,华创云信,0.76,194.9,1356.53,2025年2季度股票投资明细
51,002926,华西证券,0.69,138.0,1233.72,2025年2季度股票投资明细
52,002939,长城证券,0.66,141.4,1184.93,2025年2季度股票投资明细
53,002500,山西证券,0.62,188.73,1102.16,2025年2季度股票投资明细
54,601236,红塔证券,0.59,123.99,1050.19,2025年2季度股票投资明细
55,601375,中原证券,0.56,241.66,1005.31,2025年2季度股票投资明细
56,600095,湘财股份,0.56,100.21,1005.11,2025年2季度股票投资明细
57,601136,首创证券,0.53,47.9,952.25,2025年2季度股票投资明细
58,601456,国联民生,0.53,91.79,950.03,2025年2季度股票投资明细
59,000686,东北证券,0.53,123.05,938.87,2025年2季度股票投资明细
60,600906,财达证券,0.44,113.73,775.64,2025年2季度股票投资明细
61,002670,国盛金控,0.43,50.87,765.66,2025年2季度股票投资明细
62,600621,华鑫股份,0.4,46.48,711.61,2025年2季度股票投资明细
63,000712,锦龙股份,0.35,47.1,618.48,2025年2季度股票投资明细
64,002945,华林证券,0.19,23.66,339.99,2025年2季度股票投资明细
65,001391,国货航,0.0,0.47,3.15,2025年2季度股票投资明细
66,301458,钧崴电子,0.0,0.07,2.39,2025年2季度股票投资明细
67,301275,汉朔科技,0.0,0.04,2.23,2025年2季度股票投资明细
68,301678,新恒汇,0.0,0.04,1.7,2025年2季度股票投资明细
69,301602,超研股份,0.0,0.07,1.63,2025年2季度股票投资明细
70,301501,恒鑫生活,0.0,0.04,1.58,2025年2季度股票投资明细
71,001388,信通电子,0.0,0.09,1.54,2025年2季度股票投资明细
72,603202,天有为,0.0,0.02,1.5,2025年2季度股票投资明细
73,301479,弘景光电,0.0,0.02,1.42,2025年2季度股票投资明细
74,301535,浙江华远,0.0,0.07,1.39,2025年2季度股票投资明细
75,603072,天和磁材,0.0,0.02,1.23,2025年2季度股票投资明细
76,301662,宏工科技,0.0,0.01,1.18,2025年2季度股票投资明细
77,301601,惠通科技,0.0,0.03,1.16,2025年2季度股票投资明细
78,001356,富岭股份,0.0,0.07,1.02,2025年2季度股票投资明细
79,301590,优优绿能,0.0,0.01,1.02,2025年2季度股票投资明细
80,301658,首航新能,0.0,0.04,1.0,2025年2季度股票投资明细
81,301665,泰禾股份,0.0,0.04,0.88,2025年2季度股票投资明细
82,301173,毓恬冠佳,0.0,0.02,0.78,2025年2季度股票投资明细
83,001382,新亚电缆,0.0,0.04,0.74,2025年2季度股票投资明细
84,603014,威高血净,0.0,0.02,0.67,2025年2季度股票投资明细
85,301636,泽润新能,0.0,0.01,0.61,2025年2季度股票投资明细
86,301595,太力科技,0.0,0.02,0.57,2025年2季度股票投资明细
87,301560,众捷汽车,0.0,0.02,0.52,2025年2季度股票投资明细
88,603210,泰鸿万立,0.0,0.03,0.45,2025年2季度股票投资明细
89,603271,永杰新材,0.0,0.01,0.44,2025年2季度股票投资明细
90,603124,江南新材,0.0,0.01,0.41,2025年2季度股票投资明细
91,001395,亚联机械,0.0,0.01,0.38,2025年2季度股票投资明细
92,603409,汇通控股,0.0,0.01,0.33,2025年2季度股票投资明细
93,603257,中国瑞林,0.0,0.01,0.29,2025年2季度股票投资明细
94,603400,华之杰,0.0,0.01,0.25,2025年2季度股票投资明细
95,603382,海阳科技,0.0,0.01,0.24,2025年2季度股票投资明细
96,001335,信凯科技,0.0,0.01,0.22,2025年2季度股票投资明细
97,603120,肯特催化,0.0,0.01,0.22,2025年2季度股票投资明细
98,300059,东方财富,15.17,1221.39,33124.2,2025年3季度股票投资明细
99,600030,中信证券,12.91,942.9,28192.67,2025年3季度股票投资明细
100,601211,国泰海通,9.43,1091.55,20597.58,2025年3季度股票投资明细
101,601688,华泰证券,4.93,494.21,10759.03,2025年3季度股票投资明细
102,000776,广发证券,2.91,285.18,6353.83,2025年3季度股票投资明细
