序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,300750,宁德时代,10.6,61.9,15656.43,2025年1季度股票投资明细
2,688981,中芯国际,7.22,119.4,10665.62,2025年1季度股票投资明细
3,300124,汇川技术,5.97,129.28,8813.02,2025年1季度股票投资明细
4,300760,迈瑞医疗,5.77,36.41,8520.43,2025年1季度股票投资明细
5,688041,海光信息,5.34,55.84,7890.05,2025年1季度股票投资明细
6,688256,寒武纪,5.29,12.53,7805.5,2025年1季度股票投资明细
7,300274,阳光电源,4.09,86.92,6033.26,2025年1季度股票投资明细
8,688008,澜起科技,3.65,68.81,5386.64,2025年1季度股票投资明细
9,300308,中际旭创,3.6,53.86,5312.75,2025年1季度股票投资明细
10,688012,中微公司,3.27,26.15,4821.31,2025年1季度股票投资明细
11,301626,苏州天脉,0.01,0.1,8.03,2025年1季度股票投资明细
12,688449,联芸科技,0.0,0.14,6.22,2025年1季度股票投资明细
13,688605,先锋精科,0.0,0.07,5.38,2025年1季度股票投资明细
14,301658,首航新能,0.0,0.44,5.16,2025年1季度股票投资明细
15,688708,佳驰科技,0.0,0.08,4.27,2025年1季度股票投资明细
16,300750,宁德时代,9.88,57.56,14517.23,2025年2季度股票投资明细
17,688981,中芯国际,7.05,117.5,10359.8,2025年2季度股票投资明细
18,300760,迈瑞医疗,5.47,35.79,8044.27,2025年2季度股票投资明细
19,688041,海光信息,5.27,54.76,7737.69,2025年2季度股票投资明细
20,300308,中际旭创,5.22,52.57,7667.86,2025年2季度股票投资明细
21,300502,新易盛,5.08,58.73,7460.39,2025年2季度股票投资明细
22,688256,寒武纪,5.02,12.27,7380.53,2025年2季度股票投资明细
23,300124,汇川技术,4.89,111.33,7188.58,2025年2季度股票投资明细
24,300274,阳光电源,3.96,85.81,5815.48,2025年2季度股票投资明细
25,688008,澜起科技,3.77,67.51,5536.0,2025年2季度股票投资明细
26,688012,中微公司,3.2,25.83,4707.97,2025年2季度股票投资明细
27,688111,金山办公,2.6,13.67,3827.75,2025年2季度股票投资明细
28,688271,联影医疗,2.54,29.25,3736.98,2025年2季度股票投资明细
29,300014,亿纬锂能,2.26,72.44,3318.69,2025年2季度股票投资明细
30,300408,三环集团,1.8,79.22,2645.95,2025年2季度股票投资明细
31,300433,蓝思科技,1.79,117.71,2624.83,2025年2季度股票投资明细
32,300394,天孚通信,1.5,27.57,2201.16,2025年2季度股票投资明细
33,688036,传音控股,1.46,26.96,2148.55,2025年2季度股票投资明细
34,300442,润泽科技,1.37,40.66,2013.89,2025年2季度股票投资明细
35,688169,石头科技,1.3,12.2,1910.24,2025年2季度股票投资明细
36,300661,圣邦股份,1.27,25.55,1859.05,2025年2季度股票投资明细
37,688126,沪硅产业,1.24,97.24,1820.37,2025年2季度股票投资明细
38,688777,中控技术,1.14,37.39,1679.1,2025年2季度股票投资明细
39,300347,泰格医药,1.1,30.42,1621.96,2025年2季度股票投资明细
40,300450,先导智能,1.09,64.69,1607.65,2025年2季度股票投资明细
41,301269,华大九天,1.08,12.76,1580.71,2025年2季度股票投资明细
42,300782,卓胜微,1.07,22.07,1574.99,2025年2季度股票投资明细
43,302132,中航成飞,1.04,17.38,1528.4,2025年2季度股票投资明细
44,688396,华润微,1.0,31.26,1474.08,2025年2季度股票投资明细
45,688506,百利天恒,0.96,4.77,1412.43,2025年2季度股票投资明细
46,300122,智飞生物,0.94,70.59,1382.86,2025年2季度股票投资明细
47,300223,北京君正,0.94,19.97,1381.92,2025年2季度股票投资明细
48,300832,新产业,0.89,23.14,1312.5,2025年2季度股票投资明细
49,300759,康龙化成,0.87,52.29,1283.28,2025年2季度股票投资明细
50,688072,拓荆科技,0.87,8.28,1272.58,2025年2季度股票投资明细
51,688047,龙芯中科,0.85,9.41,1255.64,2025年2季度股票投资明细
52,688223,晶科能源,0.83,236.24,1226.08,2025年2季度股票投资明细
53,688599,天合光能,0.76,77.3,1123.15,2025年2季度股票投资明细
54,300316,晶盛机电,0.71,38.6,1047.99,2025年2季度股票投资明细
55,300628,亿联网络,0.7,29.8,1035.85,2025年2季度股票投资明细
56,300919,中伟股份,0.62,27.65,909.28,2025年2季度股票投资明细
57,688188,柏楚电子,0.61,6.86,903.17,2025年2季度股票投资明细
58,688303,大全能源,0.55,37.92,808.55,2025年2季度股票投资明细
59,688472,阿特斯,0.54,87.29,798.68,2025年2季度股票投资明细
60,688009,中国通号,0.53,152.53,783.98,2025年2季度股票投资明细
61,688728,格科微,0.48,46.06,709.37,2025年2季度股票投资明细
62,688187,时代电气,0.45,15.42,657.74,2025年2季度股票投资明细
63,301308,江波龙,0.44,7.43,650.05,2025年2季度股票投资明细
64,688082,盛美上海,0.41,5.27,600.91,2025年2季度股票投资明细
65,688349,三一重能,0.25,14.44,360.23,2025年2季度股票投资明细
66,688775,影石创新,0.0,0.06,7.11,2025年2季度股票投资明细
67,688411,海博思创,0.0,0.06,4.68,2025年2季度股票投资明细
68,603049,中策橡胶,0.0,0.07,3.01,2025年2季度股票投资明细
69,688545,兴福电子,0.0,0.1,2.68,2025年2季度股票投资明细
70,301458,钧崴电子,0.0,0.07,2.39,2025年2季度股票投资明细
71,301275,汉朔科技,0.0,0.04,2.23,2025年2季度股票投资明细
72,688583,思看科技,0.0,0.02,1.81,2025年2季度股票投资明细
