序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,002230,科大讯飞,10.18,58.37,2776.66,2025年1季度股票投资明细
2,688111,金山办公,8.01,7.3,2184.44,2025年1季度股票投资明细
3,300033,同花顺,7.11,6.79,1939.22,2025年1季度股票投资明细
4,600570,恒生电子,4.92,47.86,1341.99,2025年1季度股票投资明细
5,300339,润和软件,4.79,25.16,1306.31,2025年1季度股票投资明细
6,601360,三六零,4.21,110.56,1147.61,2025年1季度股票投资明细
7,600588,用友网络,3.58,64.76,975.29,2025年1季度股票投资明细
8,002261,拓维信息,3.33,31.75,908.05,2025年1季度股票投资明细
9,300454,深信服,3.12,7.93,849.38,2025年1季度股票投资明细
10,600845,宝信软件,3.05,27.31,832.68,2025年1季度股票投资明细
11,002230,科大讯飞,12.07,49.24,2357.61,2025年2季度股票投资明细
12,688111,金山办公,7.05,4.92,1377.31,2025年2季度股票投资明细
13,300033,同花顺,6.39,4.57,1247.66,2025年2季度股票投资明细
14,600570,恒生电子,5.53,32.22,1080.66,2025年2季度股票投资明细
15,300339,润和软件,4.42,16.98,863.09,2025年2季度股票投资明细
16,601360,三六零,3.89,74.49,759.8,2025年2季度股票投资明细
17,002261,拓维信息,3.39,21.39,662.02,2025年2季度股票投资明细
18,300803,指南针,3.16,7.65,617.41,2025年2季度股票投资明细
19,600536,中国软件,3.04,12.68,593.04,2025年2季度股票投资明细
20,600588,用友网络,2.99,43.7,584.27,2025年2季度股票投资明细
21,300454,深信服,2.6,5.39,507.63,2025年2季度股票投资明细
22,002410,广联达,2.41,35.15,471.36,2025年2季度股票投资明细
23,300468,四方精创,2.34,9.05,456.93,2025年2季度股票投资明细
24,300496,中科创达,2.3,7.85,449.18,2025年2季度股票投资明细
25,600845,宝信软件,2.23,18.43,435.32,2025年2季度股票投资明细
26,002405,四维图新,2.21,50.52,431.44,2025年2季度股票投资明细
27,300674,宇信科技,1.86,11.99,363.18,2025年2季度股票投资明细
28,688568,中科星图,1.59,8.61,309.94,2025年2季度股票投资明细
29,300348,长亮科技,1.54,17.29,300.67,2025年2季度股票投资明细
30,300682,朗新集团,1.39,11.51,270.49,2025年2季度股票投资明细
31,600446,金证股份,1.37,14.1,267.48,2025年2季度股票投资明细
32,002439,启明星辰,1.27,15.46,247.21,2025年2季度股票投资明细
33,688088,虹软科技,1.26,5.1,246.14,2025年2季度股票投资明细
34,300229,拓尔思,1.23,13.05,240.64,2025年2季度股票投资明细
35,603927,中科软,1.22,12.34,238.66,2025年2季度股票投资明细
36,600271,航天信息,1.12,23.69,218.9,2025年2季度股票投资明细
37,601519,大智慧,1.11,21.25,216.54,2025年2季度股票投资明细
38,300166,东方国信,1.08,19.31,210.48,2025年2季度股票投资明细
39,300624,万兴科技,1.05,3.29,204.14,2025年2季度股票投资明细
40,300113,顺网科技,1.03,10.17,200.96,2025年2季度股票投资明细
41,600718,东软集团,1.02,20.52,200.07,2025年2季度股票投资明细
42,002212,天融信,0.99,25.14,193.58,2025年2季度股票投资明细
43,688318,财富趋势,0.97,1.65,190.14,2025年2季度股票投资明细
44,300075,数字政通,0.96,10.53,187.64,2025年2季度股票投资明细
45,000555,神州信息,0.91,12.43,176.75,2025年2季度股票投资明细
46,300687,赛意信息,0.87,6.12,170.01,2025年2季度股票投资明细
47,002063,远光软件,0.86,28.38,168.86,2025年2季度股票投资明细
48,300525,博思软件,0.85,11.34,165.11,2025年2季度股票投资明细
49,300036,超图软件,0.82,10.49,160.08,2025年2季度股票投资明细
50,300634,彩讯股份,0.8,5.8,157.18,2025年2季度股票投资明细
51,002987,京北方,0.79,7.41,154.5,2025年2季度股票投资明细
52,603039,泛微网络,0.79,2.77,154.29,2025年2季度股票投资明细
53,300188,国投智能,0.78,11.0,151.8,2025年2季度股票投资明细
54,002153,石基信息,0.77,17.44,151.03,2025年2季度股票投资明细
55,688083,中望软件,0.71,2.15,138.51,2025年2季度股票投资明细
56,603171,税友股份,0.58,2.62,112.42,2025年2季度股票投资明细
57,920799,艾融软件,0.57,1.81,112.09,2025年2季度股票投资明细
58,688631,莱斯信息,0.48,1.05,93.95,2025年2季度股票投资明细
59,688232,新点软件,0.43,2.79,83.81,2025年2季度股票投资明细
60,301153,中科江南,0.4,3.0,78.6,2025年2季度股票投资明细
61,002230,科大讯飞,12.27,41.58,2330.56,2025年3季度股票投资明细
62,300033,同花顺,7.51,3.84,1427.6,2025年3季度股票投资明细
63,688111,金山办公,6.92,4.15,1314.96,2025年3季度股票投资明细
64,300803,指南针,5.69,6.46,1080.41,2025年3季度股票投资明细
65,600570,恒生电子,4.94,27.2,938.94,2025年3季度股票投资明细
66,300339,润和软件,4.57,14.33,868.4,2025年3季度股票投资明细
67,601360,三六零,3.74,62.88,711.17,2025年3季度股票投资明细
68,002261,拓维信息,3.44,18.08,653.41,2025年3季度股票投资明细
69,600588,用友网络,3.03,36.86,575.75,2025年3季度股票投资明细
70,300454,深信服,3.01,4.55,571.03,2025年3季度股票投资明细
