序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,688981,中芯国际,6.97,0.96,86.19,2025年1季度股票投资明细
2,688271,联影医疗,4.73,0.48,58.49,2025年1季度股票投资明细
3,688599,天合光能,4.7,3.45,58.11,2025年1季度股票投资明细
4,688041,海光信息,4.59,0.4,56.68,2025年1季度股票投资明细
5,688126,沪硅产业,4.13,2.75,51.05,2025年1季度股票投资明细
6,688819,天能股份,4.01,1.79,49.6,2025年1季度股票投资明细
7,688047,龙芯中科,4.0,0.4,49.4,2025年1季度股票投资明细
8,688008,澜起科技,3.66,0.58,45.2,2025年1季度股票投资明细
9,688301,奕瑞科技,3.26,0.35,40.25,2025年1季度股票投资明细
10,688256,寒武纪,3.02,0.06,37.38,2025年1季度股票投资明细
11,688981,中芯国际,6.93,0.96,85.07,2025年2季度股票投资明细
12,301063,海锅股份,6.8,2.8,83.38,2025年2季度股票投资明细
13,688521,芯原股份,5.33,0.68,65.35,2025年2季度股票投资明细
14,688568,中科星图,4.88,1.66,59.9,2025年2季度股票投资明细
15,688244,永信至诚,4.87,2.27,59.8,2025年2季度股票投资明细
16,000880,潍柴重机,4.29,1.39,52.57,2025年2季度股票投资明细
17,688126,沪硅产业,4.2,2.75,51.46,2025年2季度股票投资明细
18,688599,天合光能,4.09,3.45,50.17,2025年2季度股票投资明细
19,688111,金山办公,3.94,0.17,48.39,2025年2季度股票投资明细
20,688631,莱斯信息,3.82,0.53,46.89,2025年2季度股票投资明细
21,688122,西部超导,3.38,0.8,41.42,2025年2季度股票投资明细
22,688535,华海诚科,2.99,0.43,36.64,2025年2季度股票投资明细
23,688017,绿的谐波,2.85,0.28,34.93,2025年2季度股票投资明细
24,688819,天能股份,1.98,0.88,24.3,2025年2季度股票投资明细
25,688303,大全能源,1.95,1.12,23.97,2025年2季度股票投资明细
26,688787,海天瑞声,1.94,0.22,23.85,2025年2季度股票投资明细
27,688375,国博电子,1.86,0.38,22.86,2025年2季度股票投资明细
28,688561,奇安信,1.8,0.65,22.13,2025年2季度股票投资明细
29,688475,萤石网络,1.8,0.7,22.09,2025年2季度股票投资明细
30,688032,禾迈股份,1.78,0.22,21.89,2025年2季度股票投资明细
31,688012,中微公司,1.72,0.12,21.13,2025年2季度股票投资明细
32,688777,中控技术,1.53,0.42,18.81,2025年2季度股票投资明细
33,688612,威迈斯,1.47,0.68,18.08,2025年2季度股票投资明细
34,688396,华润微,1.41,0.37,17.27,2025年2季度股票投资明细
35,001268,联合精密,1.22,0.59,14.93,2025年2季度股票投资明细
36,600760,中航沈飞,1.0,0.21,12.31,2025年2季度股票投资明细
37,688318,财富趋势,0.91,0.1,11.15,2025年2季度股票投资明细
38,601012,隆基绿能,0.23,0.19,2.85,2025年2季度股票投资明细
39,000831,中国稀土,0.15,0.05,1.81,2025年2季度股票投资明细
40,600438,通威股份,0.14,0.1,1.68,2025年2季度股票投资明细
41,688303,大全能源,6.78,3.42,98.34,2025年3季度股票投资明细
42,688111,金山办公,6.71,0.31,97.29,2025年3季度股票投资明细
43,301063,海锅股份,5.68,3.17,82.36,2025年3季度股票投资明细
44,688631,莱斯信息,5.13,0.83,74.36,2025年3季度股票投资明细
45,688568,中科星图,4.56,1.52,66.15,2025年3季度股票投资明细
46,688220,翱捷科技,4.29,0.56,62.17,2025年3季度股票投资明细
47,688126,沪硅产业,2.79,1.57,40.43,2025年3季度股票投资明细
48,688608,恒玄科技,2.66,0.13,38.56,2025年3季度股票投资明细
49,688981,中芯国际,2.53,0.26,36.67,2025年3季度股票投资明细
50,688561,奇安信,2.31,0.93,33.44,2025年3季度股票投资明细
