序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,601088,中国神华,2.15,17.34,694.64,2025年2季度股票投资明细
2,000333,美的集团,2.08,8.81,673.97,2025年2季度股票投资明细
3,600938,中国海油,1.96,25.02,633.76,2025年2季度股票投资明细
4,000858,五粮液,1.88,4.55,608.2,2025年2季度股票投资明细
5,601919,中远海控,1.53,30.81,494.81,2025年2季度股票投资明细
6,601225,陕西煤业,1.26,20.5,408.98,2025年2季度股票投资明细
7,601898,中煤能源,0.78,23.61,253.34,2025年2季度股票投资明细
8,601600,中国铝业,0.72,35.04,234.42,2025年2季度股票投资明细
9,600482,中国动力,0.4,5.97,129.55,2025年2季度股票投资明细
10,600096,云天化,0.36,5.04,117.94,2025年2季度股票投资明细
11,600938,中国海油,9.98,59.66,1558.92,2025年3季度股票投资明细
12,000333,美的集团,7.74,16.64,1209.06,2025年3季度股票投资明细
13,000651,格力电器,6.95,27.36,1086.74,2025年3季度股票投资明细
14,000858,五粮液,6.64,8.54,1037.44,2025年3季度股票投资明细
15,601919,中远海控,6.57,71.55,1026.03,2025年3季度股票投资明细
16,603993,洛阳钼业,5.13,51.07,801.8,2025年3季度股票投资明细
17,000100,TCL科技,3.47,125.7,541.77,2025年3季度股票投资明细
18,601600,中国铝业,3.36,63.8,525.73,2025年3季度股票投资明细
19,002352,顺丰控股,3.13,12.13,489.2,2025年3季度股票投资明细
20,601225,陕西煤业,2.85,22.3,446.0,2025年3季度股票投资明细
