序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,688522,纳睿雷达,10.92,30.06,2072.4,2025年1季度股票投资明细
2,688631,莱斯信息,9.86,20.69,1870.86,2025年1季度股票投资明细
3,000801,四川九洲,9.84,117.14,1867.21,2025年1季度股票投资明细
4,600562,国睿科技,9.65,90.0,1832.4,2025年1季度股票投资明细
5,002085,万丰奥威,9.56,102.69,1813.51,2025年1季度股票投资明细
6,301091,深城交,8.27,42.17,1569.57,2025年1季度股票投资明细
7,000099,中信海直,6.0,47.79,1138.36,2025年1季度股票投资明细
8,300284,苏交科,5.76,111.96,1093.82,2025年1季度股票投资明细
9,600580,卧龙电驱,5.58,40.0,1059.6,2025年1季度股票投资明细
10,300681,英搏尔,5.29,27.19,1003.31,2025年1季度股票投资明细
11,688522,纳睿雷达,10.01,42.0,2151.24,2025年2季度股票投资明细
12,688631,莱斯信息,9.86,23.74,2117.72,2025年2季度股票投资明细
13,001696,宗申动力,9.52,91.11,2045.42,2025年2季度股票投资明细
14,000801,四川九洲,9.27,127.52,1991.86,2025年2季度股票投资明细
15,002085,万丰奥威,9.05,122.33,1943.82,2025年2季度股票投资明细
16,600562,国睿科技,8.79,60.0,1889.4,2025年2季度股票投资明细
17,600990,四创电子,6.53,50.0,1402.0,2025年2季度股票投资明细
18,000099,中信海直,6.41,63.21,1376.71,2025年2季度股票投资明细
19,300284,苏交科,6.35,150.0,1365.0,2025年2季度股票投资明细
20,600580,卧龙电驱,6.27,68.14,1347.05,2025年2季度股票投资明细
21,300681,英搏尔,4.26,33.07,914.72,2025年2季度股票投资明细
22,301091,深城交,3.54,26.0,760.24,2025年2季度股票投资明细
23,688568,中科星图,2.5,14.9,536.55,2025年2季度股票投资明细
24,001390,古麒绒材,0.02,0.18,4.06,2025年2季度股票投资明细
25,688775,影石创新,0.01,0.02,2.77,2025年2季度股票投资明细
26,301678,新恒汇,0.01,0.03,1.77,2025年2季度股票投资明细
27,301602,超研股份,0.01,0.07,1.63,2025年2季度股票投资明细
28,001388,信通电子,0.01,0.09,1.54,2025年2季度股票投资明细
29,688545,兴福电子,0.01,0.05,1.45,2025年2季度股票投资明细
30,301662,宏工科技,0.01,0.01,1.36,2025年2季度股票投资明细
31,301658,首航新能,0.01,0.04,1.25,2025年2季度股票投资明细
32,301665,泰禾股份,0.01,0.04,1.11,2025年2季度股票投资明细
33,688755,汉邦科技,0.0,0.02,0.9,2025年2季度股票投资明细
34,301590,优优绿能,0.0,0.0,0.75,2025年2季度股票投资明细
35,301595,太力科技,0.0,0.02,0.7,2025年2季度股票投资明细
36,001356,富岭股份,0.0,0.05,0.69,2025年2季度股票投资明细
37,301636,泽润新能,0.0,0.01,0.67,2025年2季度股票投资明细
38,301560,众捷汽车,0.0,0.02,0.63,2025年2季度股票投资明细
39,603210,泰鸿万立,0.0,0.03,0.56,2025年2季度股票投资明细
40,603049,中策橡胶,0.0,0.01,0.43,2025年2季度股票投资明细
41,001395,亚联机械,0.0,0.01,0.38,2025年2季度股票投资明细
42,603257,中国瑞林,0.0,0.01,0.37,2025年2季度股票投资明细
43,603014,威高血净,0.0,0.01,0.34,2025年2季度股票投资明细
44,603382,海阳科技,0.0,0.01,0.3,2025年2季度股票投资明细
45,001335,信凯科技,0.0,0.01,0.29,2025年2季度股票投资明细
46,603400,华之杰,0.0,0.01,0.28,2025年2季度股票投资明细
47,603120,肯特催化,0.0,0.01,0.27,2025年2季度股票投资明细
48,603202,天有为,0.0,0.0,0.25,2025年2季度股票投资明细
49,001696,宗申动力,9.89,95.75,2349.71,2025年3季度股票投资明细
50,688631,莱斯信息,9.83,25.96,2336.74,2025年3季度股票投资明细
51,688522,纳睿雷达,9.51,52.07,2259.34,2025年3季度股票投资明细
52,000801,四川九洲,9.42,139.97,2238.12,2025年3季度股票投资明细
53,002085,万丰奥威,9.16,120.63,2177.37,2025年3季度股票投资明细
54,688568,中科星图,8.2,44.73,1947.65,2025年3季度股票投资明细
55,300014,亿纬锂能,6.7,17.5,1592.34,2025年3季度股票投资明细
56,600562,国睿科技,6.49,44.84,1543.39,2025年3季度股票投资明细
57,300681,英搏尔,5.73,44.39,1361.44,2025年3季度股票投资明细
58,002074,国轩高科,5.21,26.5,1237.02,2025年3季度股票投资明细
