序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,601398,工商银行,3.49,6.5,44.79,2025年1季度股票投资明细
2,002475,立讯精密,2.87,0.9,36.8,2025年1季度股票投资明细
3,600547,山东黄金,2.51,1.2,32.26,2025年1季度股票投资明细
4,603501,韦尔股份,2.48,0.24,31.85,2025年1季度股票投资明细
5,601567,三星医疗,2.3,1.0,29.57,2025年1季度股票投资明细
6,300750,宁德时代,2.17,0.11,27.82,2025年1季度股票投资明细
7,601995,中金公司,2.15,0.8,27.62,2025年1季度股票投资明细
8,688002,睿创微纳,2.14,0.45,27.49,2025年1季度股票投资明细
9,002179,中航光电,2.08,0.65,26.67,2025年1季度股票投资明细
10,600415,小商品城,1.9,1.6,24.37,2025年1季度股票投资明细
11,600415,小商品城,4.2,2.8,57.9,2025年2季度股票投资明细
12,688002,睿创微纳,3.19,0.63,43.92,2025年2季度股票投资明细
13,601398,工商银行,3.03,5.5,41.75,2025年2季度股票投资明细
14,603508,思维列控,3.0,1.56,41.31,2025年2季度股票投资明细
15,601899,紫金矿业,2.97,2.1,40.95,2025年2季度股票投资明细
16,01787,山东黄金,2.89,1.6,39.76,2025年2季度股票投资明细
17,00981,中芯国际,2.66,0.9,36.69,2025年2季度股票投资明细
18,601995,中金公司,2.57,1.0,35.36,2025年2季度股票投资明细
19,002463,沪电股份,2.32,0.75,31.94,2025年2季度股票投资明细
20,06869,长飞光纤光缆,2.26,1.6,31.08,2025年2季度股票投资明细
21,300432,富临精工,2.09,2.2,28.75,2025年2季度股票投资明细
22,605499,东鹏饮料,2.05,0.09,28.26,2025年2季度股票投资明细
23,603267,鸿远电子,2.01,0.55,27.65,2025年2季度股票投资明细
24,300308,中际旭创,1.91,0.18,26.25,2025年2季度股票投资明细
25,000831,中国稀土,1.83,0.7,25.28,2025年2季度股票投资明细
26,600887,伊利股份,1.82,0.9,25.09,2025年2季度股票投资明细
27,002683,广东宏大,1.72,0.7,23.76,2025年2季度股票投资明细
28,688116,天奈科技,1.66,0.5,22.89,2025年2季度股票投资明细
29,300433,蓝思科技,1.62,1.0,22.3,2025年2季度股票投资明细
30,688258,卓易信息,1.58,0.45,21.79,2025年2季度股票投资明细
31,600105,永鼎股份,1.53,2.6,21.03,2025年2季度股票投资明细
32,688333,铂力特,1.51,0.35,20.85,2025年2季度股票投资明细
33,688183,生益电子,1.49,0.4,20.48,2025年2季度股票投资明细
34,603859,能科科技,1.41,0.6,19.39,2025年2季度股票投资明细
35,603501,豪威集团,1.39,0.15,19.15,2025年2季度股票投资明细
36,603986,兆易创新,1.38,0.15,18.98,2025年2季度股票投资明细
37,600183,生益科技,1.31,0.6,18.09,2025年2季度股票投资明细
38,06066,中信建投证券,1.25,1.8,17.24,2025年2季度股票投资明细
39,600446,金证股份,1.24,0.9,17.07,2025年2季度股票投资明细
40,002130,沃尔核材,1.21,0.7,16.67,2025年2季度股票投资明细
41,603605,珀莱雅,1.2,0.2,16.56,2025年2季度股票投资明细
42,600562,国睿科技,1.14,0.5,15.75,2025年2季度股票投资明细
43,002517,恺英网络,1.12,0.8,15.45,2025年2季度股票投资明细
44,600312,平高电气,1.12,1.0,15.39,2025年2季度股票投资明细
45,300395,菲利华,1.11,0.3,15.33,2025年2季度股票投资明细
46,01530,三生制药,1.1,0.7,15.1,2025年2季度股票投资明细
47,002851,麦格米特,1.09,0.3,15.04,2025年2季度股票投资明细
48,02145,上美股份,1.09,0.2,14.96,2025年2季度股票投资明细
49,002281,光迅科技,1.07,0.3,14.8,2025年2季度股票投资明细
50,688800,瑞可达,1.07,0.3,14.76,2025年2季度股票投资明细
51,01801,信达生物,1.04,0.2,14.3,2025年2季度股票投资明细
52,300559,佳发教育,1.03,1.2,14.16,2025年2季度股票投资明细
53,603179,新泉股份,1.02,0.3,14.09,2025年2季度股票投资明细
54,000888,峨眉山A,1.02,1.0,14.06,2025年2季度股票投资明细
55,003021,兆威机电,0.94,0.12,12.98,2025年2季度股票投资明细
56,688256,寒武纪,0.87,0.02,12.03,2025年2季度股票投资明细
57,688484,南芯科技,0.86,0.3,11.87,2025年2季度股票投资明细
58,000811,冰轮环境,0.85,1.2,11.76,2025年2季度股票投资明细
59,603799,华友钴业,0.81,0.3,11.11,2025年2季度股票投资明细
60,600760,中航沈飞,0.68,0.16,9.38,2025年2季度股票投资明细
61,605123,派克新材,0.68,0.12,9.35,2025年2季度股票投资明细
62,00981,中芯国际,5.45,2.6,188.83,2025年3季度股票投资明细
63,601899,紫金矿业,3.57,4.2,123.65,2025年3季度股票投资明细
64,002048,宁波华翔,3.07,2.75,106.43,2025年3季度股票投资明细
65,688347,华虹公司,2.81,0.85,97.38,2025年3季度股票投资明细
66,09988,阿里巴巴-W,2.8,0.6,96.96,2025年3季度股票投资明细
67,000960,锡业股份,2.54,3.8,87.93,2025年3季度股票投资明细
68,01787,山东黄金,2.53,2.6,87.69,2025年3季度股票投资明细
69,300274,阳光电源,2.43,0.52,84.23,2025年3季度股票投资明细
70,300408,三环集团,2.41,1.8,83.39,2025年3季度股票投资明细
71,688037,芯源微,2.24,0.52,77.48,2025年3季度股票投资明细
