序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,600519,贵州茅台,4.22,7.54,11769.94,2025年1季度股票投资明细
2,300750,宁德时代,2.9,32.0,8094.08,2025年1季度股票投资明细
3,601318,中国平安,2.45,132.04,6817.23,2025年1季度股票投资明细
4,600036,招商银行,2.36,151.92,6576.62,2025年1季度股票投资明细
5,000333,美的集团,1.7,60.22,4727.27,2025年1季度股票投资明细
6,002594,比亚迪,1.51,11.2,4198.88,2025年1季度股票投资明细
7,600900,长江电力,1.5,149.95,4170.11,2025年1季度股票投资明细
8,601166,兴业银行,1.38,178.22,3849.55,2025年1季度股票投资明细
9,601899,紫金矿业,1.31,201.52,3651.54,2025年1季度股票投资明细
10,300059,东方财富,1.25,154.47,3487.93,2025年1季度股票投资明细
11,688757,胜科纳米,0.0,0.54,12.45,2025年1季度股票投资明细
12,301658,首航新能,0.0,0.44,5.16,2025年1季度股票投资明细
13,688411,海博思创,0.0,0.06,3.36,2025年1季度股票投资明细
14,301275,汉朔科技,0.0,0.04,2.18,2025年1季度股票投资明细
15,603257,中国瑞林,0.0,0.08,1.6,2025年1季度股票投资明细
16,600519,贵州茅台,3.75,6.01,8471.22,2025年2季度股票投资明细
17,300750,宁德时代,2.83,25.33,6388.73,2025年2季度股票投资明细
18,601318,中国平安,2.55,104.0,5769.92,2025年2季度股票投资明细
19,600036,招商银行,2.43,119.64,5497.46,2025年2季度股票投资明细
20,601166,兴业银行,1.66,160.51,3746.3,2025年2季度股票投资明细
21,600900,长江电力,1.58,118.24,3563.75,2025年2季度股票投资明细
22,000333,美的集团,1.51,47.32,3416.5,2025年2季度股票投资明细
23,601899,紫金矿业,1.37,159.0,3100.5,2025年2季度股票投资明细
24,002594,比亚迪,1.3,8.82,2927.45,2025年2季度股票投资明细
25,300059,东方财富,1.25,122.0,2821.86,2025年2季度股票投资明细
26,600030,中信证券,1.15,94.21,2602.08,2025年2季度股票投资明细
27,601398,工商银行,1.14,338.74,2571.04,2025年2季度股票投资明细
28,600276,恒瑞医药,0.99,43.11,2237.41,2025年2季度股票投资明细
29,000858,五粮液,0.98,18.58,2209.16,2025年2季度股票投资明细
30,000651,格力电器,0.86,43.24,1942.34,2025年2季度股票投资明细
31,601288,农业银行,0.8,308.45,1813.69,2025年2季度股票投资明细
32,601328,交通银行,0.8,226.27,1810.16,2025年2季度股票投资明细
33,600887,伊利股份,0.76,61.18,1705.7,2025年2季度股票投资明细
34,002475,立讯精密,0.75,48.92,1697.03,2025年2季度股票投资明细
35,600919,江苏银行,0.75,142.03,1695.84,2025年2季度股票投资明细
36,603259,药明康德,0.75,24.26,1687.42,2025年2季度股票投资明细
37,688981,中芯国际,0.74,19.08,1681.98,2025年2季度股票投资明细
38,601816,京沪高铁,0.72,283.42,1629.67,2025年2季度股票投资明细
39,600000,浦发银行,0.7,113.26,1572.05,2025年2季度股票投资明细
40,002371,北方华创,0.64,3.25,1437.18,2025年2季度股票投资明细
41,000725,京东方A,0.63,354.65,1415.05,2025年2季度股票投资明细
42,300760,迈瑞医疗,0.58,5.78,1299.06,2025年2季度股票投资明细
43,601088,中国神华,0.57,31.98,1296.32,2025年2季度股票投资明细
44,688041,海光信息,0.57,9.07,1281.75,2025年2季度股票投资明细
45,688256,寒武纪,0.56,2.12,1273.62,2025年2季度股票投资明细
46,300308,中际旭创,0.56,8.64,1260.23,2025年2季度股票投资明细
47,601601,中国太保,0.55,32.89,1233.7,2025年2季度股票投资明细
48,300502,新易盛,0.55,9.7,1232.6,2025年2季度股票投资明细
49,300124,汇川技术,0.52,18.05,1165.49,2025年2季度股票投资明细
50,601728,中国电信,0.51,149.84,1161.26,2025年2季度股票投资明细
51,601668,中国建筑,0.51,199.71,1152.33,2025年2季度股票投资明细
52,002352,顺丰控股,0.5,23.33,1137.57,2025年2季度股票投资明细
53,000001,平安银行,0.5,93.68,1130.72,2025年2季度股票投资明细
