序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,00384,中国燃气,7.26,143.84,953.64,2025年1季度股票投资明细
2,300777,中简科技,7.14,27.55,938.08,2025年1季度股票投资明细
3,603508,思维列控,6.8,38.39,894.1,2025年1季度股票投资明细
4,688376,美埃科技,6.3,21.7,827.64,2025年1季度股票投资明细
5,301188,力诺药包,6.03,44.46,792.72,2025年1季度股票投资明细
6,002271,东方雨虹,5.48,52.78,720.45,2025年1季度股票投资明细
7,00667,中国东方教育,5.26,146.55,690.68,2025年1季度股票投资明细
8,01177,中国生物制药,4.65,174.2,610.85,2025年1季度股票投资明细
9,603565,中谷物流,4.31,59.36,566.93,2025年1季度股票投资明细
10,002841,视源股份,4.17,14.4,547.81,2025年1季度股票投资明细
11,300777,中简科技,7.47,61.64,2234.45,2025年2季度股票投资明细
12,603508,思维列控,7.34,82.96,2196.71,2025年2季度股票投资明细
13,00384,中国燃气,7.18,320.98,2148.56,2025年2季度股票投资明细
14,688376,美埃科技,6.13,49.17,1832.54,2025年2季度股票投资明细
15,02313,申洲国际,5.37,31.5,1605.13,2025年2季度股票投资明细
16,301188,力诺药包,5.2,71.96,1556.49,2025年2季度股票投资明细
17,002271,东方雨虹,4.76,132.82,1425.14,2025年2季度股票投资明细
18,00425,敏实集团,4.72,69.0,1411.44,2025年2季度股票投资明细
19,00667,中国东方教育,4.69,230.05,1403.35,2025年2季度股票投资明细
20,002841,视源股份,4.69,40.54,1402.58,2025年2季度股票投资明细
21,01177,中国生物制药,4.33,269.5,1294.52,2025年2季度股票投资明细
22,688239,航宇科技,3.58,30.64,1071.79,2025年2季度股票投资明细
23,02285,泉峰控股,3.52,76.1,1053.54,2025年2季度股票投资明细
24,603565,中谷物流,3.42,107.15,1023.32,2025年2季度股票投资明细
25,605060,联德股份,3.32,47.69,993.38,2025年2季度股票投资明细
26,01112,H&H国际控股,3.21,92.05,959.97,2025年2季度股票投资明细
27,09896,名创优品,2.82,25.96,843.96,2025年2季度股票投资明细
28,06969,思摩尔国际,2.61,46.8,779.54,2025年2季度股票投资明细
29,02367,巨子生物,2.43,13.8,727.14,2025年2季度股票投资明细
30,01083,港华智慧能源,2.42,201.4,724.64,2025年2季度股票投资明细
31,02688,新奥能源,2.37,12.38,708.85,2025年2季度股票投资明细
32,01316,耐世特,1.68,96.7,503.35,2025年2季度股票投资明细
33,301021,英诺激光,1.61,15.35,482.91,2025年2季度股票投资明细
34,00384,中国燃气,7.15,1015.72,7086.55,2025年3季度股票投资明细
35,300777,中简科技,7.06,198.59,7000.38,2025年3季度股票投资明细
36,002841,视源股份,5.49,136.76,5443.19,2025年3季度股票投资明细
37,301188,力诺药包,5.45,314.33,5409.58,2025年3季度股票投资明细
38,002271,东方雨虹,5.37,432.7,5330.84,2025年3季度股票投资明细
39,02313,申洲国际,5.17,90.77,5123.67,2025年3季度股票投资明细
40,688376,美埃科技,5.01,97.85,4970.54,2025年3季度股票投资明细
41,00667,中国东方教育,4.26,604.2,4226.49,2025年3季度股票投资明细
42,00425,敏实集团,4.0,128.0,3963.6,2025年3季度股票投资明细
43,603508,思维列控,3.97,117.56,3938.14,2025年3季度股票投资明细
