序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,300251,光线传媒,2.06,9.36,197.78,2025年1季度股票投资明细
2,603893,瑞芯微,1.88,1.04,180.23,2025年1季度股票投资明细
3,300476,胜宏科技,1.72,2.03,164.45,2025年1季度股票投资明细
4,300454,深信服,1.53,1.37,146.74,2025年1季度股票投资明细
5,300442,润泽科技,1.49,2.5,142.85,2025年1季度股票投资明细
6,603986,兆易创新,1.29,1.05,123.14,2025年1季度股票投资明细
7,603501,韦尔股份,1.23,0.89,117.92,2025年1季度股票投资明细
8,002916,深南电路,1.17,0.89,111.69,2025年1季度股票投资明细
9,603296,华勤技术,1.15,1.37,110.03,2025年1季度股票投资明细
10,600183,生益科技,1.12,3.95,107.48,2025年1季度股票投资明细
11,300308,中际旭创,1.22,0.81,118.38,2025年2季度股票投资明细
12,300476,胜宏科技,1.2,0.87,116.91,2025年2季度股票投资明细
13,300803,指南针,1.2,1.44,116.15,2025年2季度股票投资明细
14,300502,新易盛,1.14,0.87,110.25,2025年2季度股票投资明细
15,600570,恒生电子,1.12,3.23,108.27,2025年2季度股票投资明细
16,002384,东山精密,1.07,2.75,103.87,2025年2季度股票投资明细
17,301165,锐捷网络,1.06,1.68,103.25,2025年2季度股票投资明细
18,301308,江波龙,1.06,1.18,103.24,2025年2季度股票投资明细
19,002555,三七互娱,1.06,5.93,102.53,2025年2季度股票投资明细
20,002463,沪电股份,1.05,2.4,102.19,2025年2季度股票投资明细
21,603019,中科曙光,1.03,1.42,99.8,2025年2季度股票投资明细
22,002916,深南电路,1.03,0.92,99.7,2025年2季度股票投资明细
23,300394,天孚通信,1.03,1.25,99.48,2025年2季度股票投资明细
24,002517,恺英网络,1.02,5.15,99.45,2025年2季度股票投资明细
25,300251,光线传媒,1.02,4.88,98.92,2025年2季度股票投资明细
26,002185,华天科技,1.02,9.78,98.78,2025年2季度股票投资明细
27,603296,华勤技术,1.01,1.21,97.95,2025年2季度股票投资明细
28,002281,光迅科技,1.0,1.97,97.16,2025年2季度股票投资明细
29,688120,华海清科,1.0,0.57,96.7,2025年2季度股票投资明细
30,600183,生益科技,0.98,3.16,95.27,2025年2季度股票投资明细
31,688082,盛美上海,0.98,0.84,95.2,2025年2季度股票投资明细
32,002475,立讯精密,0.98,2.74,95.01,2025年2季度股票投资明细
33,002156,通富微电,0.97,3.66,93.77,2025年2季度股票投资明细
34,002938,鹏鼎控股,0.96,2.92,93.53,2025年2季度股票投资明细
35,300866,安克创新,0.96,0.82,93.49,2025年2季度股票投资明细
36,002152,广电运通,0.96,6.93,93.14,2025年2季度股票投资明细
37,000021,深科技,0.96,4.97,93.14,2025年2季度股票投资明细
38,002465,海格通信,0.96,6.68,93.12,2025年2季度股票投资明细
39,300442,润泽科技,0.96,1.88,93.12,2025年2季度股票投资明细
40,300033,同花顺,0.96,0.34,92.82,2025年2季度股票投资明细
41,688041,海光信息,0.95,0.65,92.35,2025年2季度股票投资明细
