序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,002475,立讯精密,6.56,0.78,31.89,2025年1季度股票投资明细
2,601965,中国汽研,5.42,1.4,26.36,2025年1季度股票投资明细
3,688522,纳睿雷达,5.29,0.37,25.76,2025年1季度股票投资明细
4,002920,德赛西威,4.87,0.21,23.71,2025年1季度股票投资明细
5,688167,炬光科技,4.83,0.31,23.52,2025年1季度股票投资明细
6,300661,圣邦股份,4.66,0.26,22.69,2025年1季度股票投资明细
7,688568,中科星图,4.09,0.37,19.9,2025年1季度股票投资明细
8,600104,上汽集团,3.93,1.21,19.11,2025年1季度股票投资明细
9,301488,豪恩汽电,3.7,0.27,18.01,2025年1季度股票投资明细
10,600845,宝信软件,3.57,0.57,17.38,2025年1季度股票投资明细
11,002920,德赛西威,5.46,0.25,25.53,2025年2季度股票投资明细
12,300679,电连技术,5.44,0.56,25.41,2025年2季度股票投资明细
13,300627,华测导航,4.61,0.62,21.56,2025年2季度股票投资明细
14,600845,宝信软件,4.55,0.9,21.26,2025年2季度股票投资明细
15,688167,炬光科技,4.49,0.26,20.99,2025年2季度股票投资明细
16,601965,中国汽研,4.4,1.16,20.59,2025年2季度股票投资明细
17,688568,中科星图,4.34,0.56,20.27,2025年2季度股票投资明细
18,600104,上汽集团,4.15,1.21,19.42,2025年2季度股票投资明细
19,603297,永新光学,4.11,0.22,19.22,2025年2季度股票投资明细
20,688326,经纬恒润,3.88,0.2,18.13,2025年2季度股票投资明细
21,688088,虹软科技,3.58,0.35,16.72,2025年2季度股票投资明细
22,603596,伯特利,3.38,0.3,15.81,2025年2季度股票投资明细
23,300661,圣邦股份,3.24,0.21,15.14,2025年2季度股票投资明细
24,688475,萤石网络,3.0,0.44,14.01,2025年2季度股票投资明细
25,601799,星宇股份,2.94,0.11,13.75,2025年2季度股票投资明细
26,002126,银轮股份,2.91,0.56,13.6,2025年2季度股票投资明细
27,002475,立讯精密,2.82,0.38,13.18,2025年2季度股票投资明细
28,002373,千方科技,2.77,1.39,12.93,2025年2季度股票投资明细
29,603786,科博达,2.73,0.23,12.74,2025年2季度股票投资明细
30,300790,宇瞳光学,2.46,0.55,11.5,2025年2季度股票投资明细
31,301153,中科江南,2.35,0.42,11.0,2025年2季度股票投资明细
32,688071,华依科技,2.32,0.3,10.83,2025年2季度股票投资明细
33,002273,水晶光电,2.31,0.54,10.78,2025年2季度股票投资明细
34,688208,道通科技,2.22,0.34,10.38,2025年2季度股票投资明细
35,002594,比亚迪,2.13,0.03,9.96,2025年2季度股票投资明细
36,301488,豪恩汽电,1.97,0.13,9.2,2025年2季度股票投资明细
37,688533,上声电子,1.68,0.29,7.84,2025年2季度股票投资明细
38,002906,华阳集团,1.46,0.21,6.83,2025年2季度股票投资明细
39,601127,赛力斯,1.15,0.04,5.37,2025年2季度股票投资明细
40,300369,绿盟科技,1.11,0.67,5.21,2025年2季度股票投资明细
41,002920,德赛西威,8.21,0.3,45.37,2025年3季度股票投资明细
42,300679,电连技术,7.94,0.77,43.89,2025年3季度股票投资明细
43,601799,星宇股份,7.08,0.29,39.12,2025年3季度股票投资明细
44,002970,锐明技术,6.99,0.81,38.6,2025年3季度股票投资明细
45,601965,中国汽研,6.57,2.03,36.3,2025年3季度股票投资明细
46,603297,永新光学,6.52,0.32,36.02,2025年3季度股票投资明细
47,603596,伯特利,6.24,0.64,34.49,2025年3季度股票投资明细
48,688088,虹软科技,5.38,0.5,29.74,2025年3季度股票投资明细
49,688326,经纬恒润,5.04,0.21,27.83,2025年3季度股票投资明细
50,300790,宇瞳光学,4.79,0.79,26.47,2025年3季度股票投资明细
