序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,300750,宁德时代,8.88,1.8,455.29,2025年1季度股票投资明细
2,300059,东方财富,3.34,7.58,171.13,2025年1季度股票投资明细
3,300760,迈瑞医疗,2.88,0.63,147.42,2025年1季度股票投资明细
4,300124,汇川技术,1.58,1.19,81.04,2025年1季度股票投资明细
5,300015,爱尔眼科,1.37,5.27,69.99,2025年1季度股票投资明细
6,300433,蓝思科技,1.24,2.51,63.58,2025年1季度股票投资明细
7,300308,中际旭创,1.14,0.59,58.39,2025年1季度股票投资明细
8,300274,阳光电源,1.08,0.79,55.11,2025年1季度股票投资明细
9,300979,华利集团,0.88,0.72,45.09,2025年1季度股票投资明细
10,300498,温氏股份,0.86,2.63,43.84,2025年1季度股票投资明细
11,300750,宁德时代,8.81,1.51,380.85,2025年2季度股票投资明细
12,300059,东方财富,3.23,6.04,139.68,2025年2季度股票投资明细
13,300760,迈瑞医疗,2.44,0.47,105.63,2025年2季度股票投资明细
14,300308,中际旭创,1.73,0.51,74.68,2025年2季度股票投资明细
15,300124,汇川技术,1.3,0.87,56.1,2025年2季度股票投资明细
16,300433,蓝思科技,1.26,2.45,54.64,2025年2季度股票投资明细
17,300502,新易盛,1.2,0.41,52.03,2025年2季度股票投资明细
18,300015,爱尔眼科,1.14,3.96,49.42,2025年2季度股票投资明细
19,300476,胜宏科技,1.13,0.37,49.05,2025年2季度股票投资明细
20,300274,阳光电源,0.99,0.63,42.97,2025年2季度股票投资明细
21,300014,亿纬锂能,0.83,0.78,35.73,2025年2季度股票投资明细
22,300498,温氏股份,0.7,1.77,30.23,2025年2季度股票投资明细
23,300979,华利集团,0.66,0.54,28.39,2025年2季度股票投资明细
24,300251,光线传媒,0.64,1.36,27.57,2025年2季度股票投资明细
25,300033,同花顺,0.63,0.1,27.3,2025年2季度股票投资明细
26,300394,天孚通信,0.61,0.33,26.57,2025年2季度股票投资明细
27,300866,安克创新,0.54,0.21,23.4,2025年2季度股票投资明细
28,301263,泰恩康,0.52,0.64,22.65,2025年2季度股票投资明细
29,300418,昆仑万维,0.49,0.63,21.19,2025年2季度股票投资明细
30,300454,深信服,0.45,0.21,19.48,2025年2季度股票投资明细
31,300765,新诺威,0.43,0.36,18.4,2025年2季度股票投资明细
32,300207,欣旺达,0.42,0.91,18.25,2025年2季度股票投资明细
33,300857,协创数据,0.42,0.21,18.22,2025年2季度股票投资明细
34,300747,锐科激光,0.41,0.75,17.64,2025年2季度股票投资明细
35,300919,中伟股份,0.4,0.53,17.43,2025年2季度股票投资明细
36,300450,先导智能,0.4,0.69,17.15,2025年2季度股票投资明细
37,300661,圣邦股份,0.39,0.23,17.03,2025年2季度股票投资明细
38,300339,润和软件,0.39,0.33,16.77,2025年2季度股票投资明细
39,300408,三环集团,0.39,0.5,16.7,2025年2季度股票投资明细
40,300492,华图山鼎,0.39,0.25,16.7,2025年2季度股票投资明细
41,300003,乐普医疗,0.39,1.21,16.67,2025年2季度股票投资明细
42,300803,指南针,0.39,0.21,16.66,2025年2季度股票投资明细
43,300347,泰格医药,0.38,0.31,16.53,2025年2季度股票投资明细
44,301498,乖宝宠物,0.38,0.15,16.41,2025年2季度股票投资明细
45,300759,康龙化成,0.36,0.64,15.71,2025年2季度股票投资明细
46,300085,银之杰,0.36,0.35,15.42,2025年2季度股票投资明细
47,300001,特锐德,0.35,0.64,15.34,2025年2季度股票投资明细
48,301236,软通动力,0.34,0.27,14.75,2025年2季度股票投资明细
49,300972,万辰集团,0.33,0.08,14.42,2025年2季度股票投资明细
50,301311,昆船智能,0.33,0.7,14.3,2025年2季度股票投资明细
51,300548,长芯博创,0.32,0.21,14.02,2025年2季度股票投资明细
52,300144,宋城演艺,0.32,1.63,13.94,2025年2季度股票投资明细
53,301103,何氏眼科,0.32,0.62,13.76,2025年2季度股票投资明细
54,300055,万邦达,0.32,2.38,13.66,2025年2季度股票投资明细
55,301051,信濠光电,0.32,0.68,13.65,2025年2季度股票投资明细
56,300122,智飞生物,0.31,0.68,13.32,2025年2季度股票投资明细
57,300230,永利股份,0.31,2.7,13.2,2025年2季度股票投资明细
58,301262,海看股份,0.3,0.5,13.15,2025年2季度股票投资明细
59,301028,东亚机械,0.3,1.07,13.15,2025年2季度股票投资明细
60,301112,信邦智能,0.3,0.36,13.07,2025年2季度股票投资明细
61,300832,新产业,0.3,0.23,13.05,2025年2季度股票投资明细
62,300115,长盈精密,0.3,0.6,12.88,2025年2季度股票投资明细
63,301283,聚胶股份,0.3,0.36,12.8,2025年2季度股票投资明细
64,300763,锦浪科技,0.29,0.22,12.63,2025年2季度股票投资明细
65,301035,润丰股份,0.29,0.21,12.46,2025年2季度股票投资明细
66,300474,景嘉微,0.29,0.17,12.41,2025年2季度股票投资明细
67,301357,北方长龙,0.29,0.13,12.41,2025年2季度股票投资明细
68,301269,华大九天,0.29,0.1,12.39,2025年2季度股票投资明细
69,300957,贝泰妮,0.29,0.28,12.38,2025年2季度股票投资明细
70,301319,唯特偶,0.29,0.34,12.33,2025年2季度股票投资明细
71,301362,民爆光电,0.28,0.3,12.24,2025年2季度股票投资明细
72,300315,掌趣科技,0.28,2.01,12.2,2025年2季度股票投资明细
73,300558,贝达药业,0.28,0.21,12.17,2025年2季度股票投资明细
74,300951,博硕科技,0.28,0.35,12.01,2025年2季度股票投资明细
75,301120,新特电气,0.27,1.15,11.78,2025年2季度股票投资明细
76,300223,北京君正,0.27,0.17,11.76,2025年2季度股票投资明细
77,300773,拉卡拉,0.27,0.35,11.71,2025年2季度股票投资明细
78,301209,联合化学,0.27,0.11,11.62,2025年2季度股票投资明细
79,300779,惠城环保,0.26,0.06,11.42,2025年2季度股票投资明细
80,300253,卫宁健康,0.26,1.07,11.34,2025年2季度股票投资明细
81,301087,可孚医疗,0.26,0.34,11.29,2025年2季度股票投资明细
82,300790,宇瞳光学,0.26,0.53,11.08,2025年2季度股票投资明细
83,300745,欣锐科技,0.25,0.57,10.88,2025年2季度股票投资明细
84,300657,弘信电子,0.25,0.39,10.88,2025年2季度股票投资明细
85,300896,爱美客,0.25,0.06,10.84,2025年2季度股票投资明细
86,300024,机器人,0.25,0.63,10.82,2025年2季度股票投资明细
