序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,688768,容知日新,7.08,5.8,303.39,2025年1季度股票投资明细
2,688072,拓荆科技,7.0,1.91,300.14,2025年1季度股票投资明细
3,688100,威胜信息,4.49,5.1,192.5,2025年1季度股票投资明细
4,688037,芯源微,4.28,1.87,183.66,2025年1季度股票投资明细
5,688458,美芯晟,4.25,5.01,182.06,2025年1季度股票投资明细
6,300275,梅安森,4.12,12.08,176.61,2025年1季度股票投资明细
7,301269,华大九天,4.01,1.49,172.02,2025年1季度股票投资明细
8,600104,上汽集团,3.7,10.05,158.69,2025年1季度股票投资明细
9,688512,慧智微,3.63,16.04,155.71,2025年1季度股票投资明细
10,688153,唯捷创芯,3.62,4.62,155.0,2025年1季度股票投资明细
11,688037,芯源微,9.32,3.48,373.41,2025年2季度股票投资明细
12,688502,茂莱光学,7.76,1.08,311.02,2025年2季度股票投资明细
13,688072,拓荆科技,7.31,1.91,292.89,2025年2季度股票投资明细
14,688768,容知日新,6.42,5.8,257.26,2025年2季度股票投资明细
15,688458,美芯晟,5.9,5.01,236.27,2025年2季度股票投资明细
16,688100,威胜信息,4.72,5.1,189.08,2025年2季度股票投资明细
17,301392,汇成真空,4.22,1.42,169.28,2025年2季度股票投资明细
18,688120,华海清科,4.11,0.98,164.84,2025年2季度股票投资明细
19,600104,上汽集团,4.02,10.05,161.3,2025年2季度股票投资明细
20,300275,梅安森,3.98,12.08,159.7,2025年2季度股票投资明细
21,601398,工商银行,3.98,21.03,159.62,2025年2季度股票投资明细
22,688010,福光股份,3.07,3.97,123.11,2025年2季度股票投资明细
23,920522,纳科诺尔,3.06,2.42,122.69,2025年2季度股票投资明细
24,688522,纳睿雷达,3.05,2.39,122.26,2025年2季度股票投资明细
25,688337,普源精电,1.85,2.08,74.22,2025年2季度股票投资明细
26,600900,长江电力,1.56,2.08,62.69,2025年2季度股票投资明细
27,920108,宏海科技,0.01,0.02,0.5,2025年2季度股票投资明细
28,688037,芯源微,10.19,2.84,423.01,2025年3季度股票投资明细
29,688502,茂莱光学,9.87,0.93,409.89,2025年3季度股票投资明细
30,688072,拓荆科技,9.45,1.51,392.46,2025年3季度股票投资明细
31,688361,中科飞测,7.84,2.8,325.42,2025年3季度股票投资明细
32,688041,海光信息,7.62,1.25,316.43,2025年3季度股票投资明细
33,688458,美芯晟,5.88,5.01,244.04,2025年3季度股票投资明细
34,688120,华海清科,5.79,1.46,240.51,2025年3季度股票投资明细
35,688768,容知日新,4.66,4.13,193.34,2025年3季度股票投资明细
36,301269,华大九天,4.41,1.45,183.14,2025年3季度股票投资明细
37,688981,中芯国际,4.39,1.3,182.34,2025年3季度股票投资明细
