序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,300115,长盈精密,7.74,34.39,857.58,2025年1季度股票投资明细
2,688577,浙海德曼,6.98,12.84,773.18,2025年1季度股票投资明细
3,000925,众合科技,6.74,92.3,746.69,2025年1季度股票投资明细
4,002965,祥鑫科技,3.8,8.12,420.43,2025年1季度股票投资明细
5,300857,协创数据,3.68,3.5,407.83,2025年1季度股票投资明细
6,600773,西藏城投,3.35,37.15,371.5,2025年1季度股票投资明细
7,688155,先惠技术,3.22,8.07,357.12,2025年1季度股票投资明细
8,688085,三友医疗,3.12,20.71,345.59,2025年1季度股票投资明细
9,605319,无锡振华,2.95,10.39,326.46,2025年1季度股票投资明细
10,603348,文灿股份,2.92,13.9,323.24,2025年1季度股票投资明细
11,688577,浙海德曼,5.63,13.53,634.24,2025年2季度股票投资明细
12,300115,长盈精密,4.84,25.51,545.82,2025年2季度股票投资明细
13,002840,华统股份,4.75,53.76,534.95,2025年2季度股票投资明细
14,000925,众合科技,4.72,69.22,531.59,2025年2季度股票投资明细
15,300648,星云股份,3.62,12.9,407.49,2025年2季度股票投资明细
16,300857,协创数据,3.42,4.48,385.78,2025年2季度股票投资明细
17,688085,三友医疗,3.42,20.71,384.73,2025年2季度股票投资明细
18,688155,先惠技术,3.33,7.27,375.4,2025年2季度股票投资明细
19,002965,祥鑫科技,3.18,9.13,357.9,2025年2季度股票投资明细
20,600773,西藏城投,2.98,33.42,336.21,2025年2季度股票投资明细
21,605319,无锡振华,2.88,9.5,324.41,2025年2季度股票投资明细
22,002996,顺博合金,2.71,41.41,304.8,2025年2季度股票投资明细
23,688525,佰维存储,2.67,4.74,301.0,2025年2季度股票投资明细
24,603656,泰禾智能,2.57,15.68,289.31,2025年2季度股票投资明细
25,603917,合力科技,2.55,21.2,287.02,2025年2季度股票投资明细
26,603768,常青股份,2.45,21.49,276.37,2025年2季度股票投资明细
27,600933,爱柯迪,2.33,16.43,263.06,2025年2季度股票投资明细
28,603348,文灿股份,2.32,12.51,261.26,2025年2季度股票投资明细
29,300659,中孚信息,2.27,17.6,255.96,2025年2季度股票投资明细
30,300918,南山智尚,2.2,15.0,247.95,2025年2季度股票投资明细
31,002281,光迅科技,2.07,4.74,233.73,2025年2季度股票投资明细
32,600792,云煤能源,1.89,57.99,213.39,2025年2季度股票投资明细
33,603997,继峰股份,1.76,15.22,198.53,2025年2季度股票投资明细
34,600961,株冶集团,1.76,17.74,198.34,2025年2季度股票投资明细
35,300583,赛托生物,1.54,10.04,173.09,2025年2季度股票投资明细
36,603368,柳药集团,1.28,8.52,144.04,2025年2季度股票投资明细
37,300602,飞荣达,1.19,6.3,133.64,2025年2季度股票投资明细
38,002224,三力士,1.17,29.03,132.36,2025年2季度股票投资明细
39,603912,佳力图,1.15,14.94,129.97,2025年2季度股票投资明细
40,301018,申菱环境,1.14,3.4,128.81,2025年2季度股票投资明细
41,300469,信息发展,1.05,3.75,117.76,2025年2季度股票投资明细
42,600855,航天长峰,1.02,7.99,114.55,2025年2季度股票投资明细
43,002421,达实智能,0.97,32.68,109.8,2025年2季度股票投资明细
44,301063,海锅股份,0.91,3.46,102.96,2025年2季度股票投资明细
45,603936,博敏电子,0.91,10.89,102.66,2025年2季度股票投资明细
46,002881,美格智能,0.86,2.1,97.43,2025年2季度股票投资明细
47,600301,华锡有色,0.81,4.55,90.77,2025年2季度股票投资明细
48,300752,隆利科技,0.78,3.93,88.37,2025年2季度股票投资明细
49,002815,崇达技术,0.77,7.62,86.29,2025年2季度股票投资明细
50,603995,甬金股份,0.76,4.87,86.14,2025年2季度股票投资明细
51,603787,新日股份,0.76,6.99,86.08,2025年2季度股票投资明细
52,002096,易普力,0.61,5.5,68.22,2025年2季度股票投资明细
53,300120,经纬辉开,0.57,6.42,64.39,2025年2季度股票投资明细
54,000701,厦门信达,0.57,9.65,64.06,2025年2季度股票投资明细
55,600305,恒顺醋业,0.55,7.97,61.61,2025年2季度股票投资明细
56,603612,索通发展,0.54,3.33,61.24,2025年2季度股票投资明细
57,002672,东江环保,0.46,11.31,51.45,2025年2季度股票投资明细
58,300490,华自科技,0.41,5.27,46.13,2025年2季度股票投资明细
59,002865,钧达股份,0.4,1.16,45.24,2025年2季度股票投资明细
60,002386,天原股份,0.35,7.96,39.48,2025年2季度股票投资明细
61,688022,瀚川智能,0.34,2.6,38.49,2025年2季度股票投资明细
62,300443,金雷股份,0.31,1.54,34.89,2025年2季度股票投资明细
63,002899,英派斯,0.14,0.7,15.68,2025年2季度股票投资明细
64,002353,杰瑞股份,0.09,0.29,10.21,2025年2季度股票投资明细
65,300115,长盈精密,7.14,25.51,1063.07,2025年3季度股票投资明细
66,300857,协创数据,5.48,4.48,815.81,2025年3季度股票投资明细
67,002840,华统股份,3.81,53.76,567.2,2025年3季度股票投资明细
68,300648,星云股份,3.8,12.9,564.94,2025年3季度股票投资明细
69,688155,先惠技术,3.71,7.27,552.77,2025年3季度股票投资明细
70,000925,众合科技,3.69,69.22,548.9,2025年3季度股票投资明细
71,688085,三友医疗,3.28,24.85,489.0,2025年3季度股票投资明细
72,688525,佰维存储,3.22,4.74,479.97,2025年3季度股票投资明细
73,002965,祥鑫科技,2.79,9.13,415.11,2025年3季度股票投资明细
74,600933,爱柯迪,2.51,16.43,373.47,2025年3季度股票投资明细
