序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,688220,翱捷科技,1.67,30.38,3083.84,2025年1季度股票投资明细
2,000651,格力电器,1.6,65.06,2957.63,2025年1季度股票投资明细
3,000338,潍柴动力,1.43,160.82,2639.06,2025年1季度股票投资明细
4,600919,江苏银行,1.38,268.96,2555.1,2025年1季度股票投资明细
5,688256,寒武纪,1.36,4.05,2523.46,2025年1季度股票投资明细
6,601939,建设银行,1.21,254.38,2246.18,2025年1季度股票投资明细
7,603881,数据港,1.21,64.38,2243.0,2025年1季度股票投资明细
8,600941,中国移动,1.21,20.77,2229.87,2025年1季度股票投资明细
9,300454,深信服,1.2,20.69,2216.11,2025年1季度股票投资明细
10,000333,美的集团,1.2,28.15,2209.82,2025年1季度股票投资明细
11,300476,胜宏科技,2.11,44.83,6024.26,2025年2季度股票投资明细
12,601162,天风证券,1.91,1106.27,5453.91,2025年2季度股票投资明细
13,002384,东山精密,1.59,120.3,4543.73,2025年2季度股票投资明细
14,300548,长芯博创,1.46,62.49,4172.46,2025年2季度股票投资明细
15,300274,阳光电源,1.42,59.73,4047.9,2025年2季度股票投资明细
16,300033,同花顺,1.41,14.78,4035.09,2025年2季度股票投资明细
17,688008,澜起科技,1.4,48.76,3998.16,2025年2季度股票投资明细
18,300418,昆仑万维,1.38,117.07,3937.06,2025年2季度股票投资明细
19,000651,格力电器,1.37,87.0,3907.82,2025年2季度股票投资明细
20,601336,新华保险,1.37,66.77,3906.05,2025年2季度股票投资明细
21,603259,药明康德,1.32,54.22,3770.72,2025年2季度股票投资明细
22,600926,杭州银行,1.3,221.34,3722.94,2025年2季度股票投资明细
23,601668,中国建筑,1.3,642.77,3708.78,2025年2季度股票投资明细
24,002466,天齐锂业,1.28,113.78,3645.51,2025年2季度股票投资明细
25,600941,中国移动,1.25,31.81,3580.7,2025年2季度股票投资明细
26,603799,华友钴业,1.14,87.74,3247.99,2025年2季度股票投资明细
27,000338,潍柴动力,1.14,211.11,3246.87,2025年2季度股票投资明细
28,601919,中远海控,1.06,200.94,3022.14,2025年2季度股票投资明细
29,600096,云天化,0.99,128.87,2831.27,2025年2季度股票投资明细
30,600938,中国海油,0.95,103.73,2708.39,2025年2季度股票投资明细
31,002460,赣锋锂业,0.92,77.77,2626.29,2025年2季度股票投资明细
32,002463,沪电股份,0.87,58.37,2485.39,2025年2季度股票投资明细
33,000988,华工科技,0.87,52.86,2484.83,2025年2季度股票投资明细
34,600795,国电电力,0.86,506.89,2453.35,2025年2季度股票投资明细
35,605499,东鹏饮料,0.85,7.76,2437.97,2025年2季度股票投资明细
36,301236,软通动力,0.81,42.15,2303.08,2025年2季度股票投资明细
37,002966,苏州银行,0.75,243.05,2133.94,2025年2季度股票投资明细
38,600699,均胜电子,0.7,114.67,1999.87,2025年2季度股票投资明细
39,000750,国海证券,0.67,463.03,1907.68,2025年2季度股票投资明细
40,601717,中创智领,0.66,114.24,1898.67,2025年2季度股票投资明细
41,600438,通威股份,0.66,113.03,1893.25,2025年2季度股票投资明细
42,601519,大智慧,0.58,162.9,1659.97,2025年2季度股票投资明细
43,600066,宇通客车,0.56,64.22,1596.58,2025年2季度股票投资明细
44,300558,贝达药业,0.55,27.09,1569.87,2025年2季度股票投资明细
45,600011,华能国际,0.54,216.27,1544.17,2025年2季度股票投资明细
46,601898,中煤能源,0.52,135.87,1486.42,2025年2季度股票投资明细
47,600027,华电国际,0.52,270.19,1477.94,2025年2季度股票投资明细
48,600120,浙江东方,0.5,237.74,1438.33,2025年2季度股票投资明细
49,601360,三六零,0.47,130.44,1330.49,2025年2季度股票投资明细
50,601128,常熟银行,0.41,159.21,1173.36,2025年2季度股票投资明细
51,002459,晶澳科技,0.4,115.6,1153.69,2025年2季度股票投资明细
52,300014,亿纬锂能,0.39,24.34,1115.02,2025年2季度股票投资明细
53,600183,生益科技,0.38,36.29,1094.14,2025年2季度股票投资明细
54,300763,锦浪科技,0.38,19.03,1092.13,2025年2季度股票投资明细
55,601117,中国化学,0.36,135.87,1042.12,2025年2季度股票投资明细
56,000963,华东医药,0.33,23.06,930.7,2025年2季度股票投资明细
57,000513,丽珠集团,0.32,25.09,904.24,2025年2季度股票投资明细
58,600029,南方航空,0.31,150.88,890.19,2025年2季度股票投资明细
59,301191,菲菱科思,0.31,10.19,884.19,2025年2季度股票投资明细
60,601688,华泰证券,0.31,49.46,880.88,2025年2季度股票投资明细
61,688800,瑞可达,0.3,17.44,857.87,2025年2季度股票投资明细
62,600115,中国东航,0.3,212.36,855.83,2025年2季度股票投资明细
63,300496,中科创达,0.28,13.84,791.92,2025年2季度股票投资明细
64,600583,海油工程,0.28,145.01,791.75,2025年2季度股票投资明细
65,600021,上海电力,0.27,87.51,769.21,2025年2季度股票投资明细
66,600578,京能电力,0.27,168.65,757.24,2025年2季度股票投资明细
67,000538,云南白药,0.25,13.05,728.06,2025年2季度股票投资明细
68,600348,华阳股份,0.23,99.94,665.6,2025年2季度股票投资明细
69,002945,华林证券,0.23,45.28,650.67,2025年2季度股票投资明细
70,300369,绿盟科技,0.22,81.73,635.04,2025年2季度股票投资明细
71,601198,东兴证券,0.22,55.98,624.18,2025年2季度股票投资明细
72,002712,思美传媒,0.22,104.84,615.41,2025年2季度股票投资明细
73,600820,隧道股份,0.22,100.68,614.15,2025年2季度股票投资明细
74,300024,机器人,0.21,35.54,610.58,2025年2季度股票投资明细
75,601375,中原证券,0.21,146.43,609.15,2025年2季度股票投资明细
76,300025,华星创业,0.21,87.17,604.96,2025年2季度股票投资明细
77,600609,金杯汽车,0.2,108.76,575.34,2025年2季度股票投资明细
78,600039,四川路桥,0.2,57.79,572.12,2025年2季度股票投资明细
79,000825,太钢不锈,0.2,157.22,564.42,2025年2季度股票投资明细
80,002080,中材科技,0.19,28.32,552.24,2025年2季度股票投资明细
81,300659,中孚信息,0.19,37.92,551.36,2025年2季度股票投资明细
82,601990,南京证券,0.19,67.38,544.43,2025年2季度股票投资明细
83,002331,皖通科技,0.19,66.08,531.94,2025年2季度股票投资明细
84,301266,宇邦新材,0.18,15.57,520.51,2025年2季度股票投资明细
85,000060,中金岭南,0.18,113.27,518.78,2025年2季度股票投资明细
86,000157,中联重科,0.17,68.56,495.69,2025年2季度股票投资明细
87,002624,完美世界,0.17,32.52,493.33,2025年2季度股票投资明细
88,300229,拓尔思,0.17,26.72,492.72,2025年2季度股票投资明细
89,002670,国盛金控,0.17,32.55,489.88,2025年2季度股票投资明细
90,300365,恒华科技,0.17,72.97,480.86,2025年2季度股票投资明细
91,301608,博实结,0.17,5.34,475.69,2025年2季度股票投资明细
92,601456,国联民生,0.17,45.86,474.65,2025年2季度股票投资明细
93,600635,大众公用,0.17,121.23,472.8,2025年2季度股票投资明细
