序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,002517,恺英网络,7.05,147.11,2362.59,2025年1季度股票投资明细
2,000423,东阿阿胶,6.05,33.58,2029.91,2025年1季度股票投资明细
3,000729,燕京啤酒,5.43,148.7,1821.58,2025年1季度股票投资明细
4,603193,润本股份,4.6,45.13,1541.98,2025年1季度股票投资明细
5,001328,登康口腔,4.36,34.81,1461.99,2025年1季度股票投资明细
6,002155,湖南黄金,4.23,61.98,1417.48,2025年1季度股票投资明细
7,603529,爱玛科技,4.01,30.33,1346.05,2025年1季度股票投资明细
8,689009,九号公司,3.79,19.48,1270.08,2025年1季度股票投资明细
9,603198,迎驾贡酒,3.4,21.06,1139.77,2025年1季度股票投资明细
10,002461,珠江啤酒,3.27,108.59,1096.76,2025年1季度股票投资明细
11,002517,恺英网络,7.04,127.09,2454.11,2025年2季度股票投资明细
12,000729,燕京啤酒,5.51,148.7,1922.69,2025年2季度股票投资明细
13,600415,小商品城,4.64,78.32,1619.66,2025年2季度股票投资明细
14,301061,匠心家居,3.68,16.54,1282.43,2025年2季度股票投资明细
15,002461,珠江啤酒,3.52,108.59,1225.98,2025年2季度股票投资明细
16,000423,东阿阿胶,3.45,23.02,1203.95,2025年2季度股票投资明细
17,689009,九号公司,3.31,19.48,1152.62,2025年2季度股票投资明细
18,600941,中国移动,3.18,9.86,1109.74,2025年2季度股票投资明细
19,001328,登康口腔,3.03,21.63,1056.38,2025年2季度股票投资明细
20,603529,爱玛科技,2.99,30.33,1043.35,2025年2季度股票投资明细
21,600031,三一重工,2.94,57.09,1024.77,2025年2季度股票投资明细
22,002078,太阳纸业,2.53,65.66,883.78,2025年2季度股票投资明细
23,603766,隆鑫通用,2.39,65.45,835.14,2025年2季度股票投资明细
24,003006,百亚股份,2.3,29.26,801.14,2025年2季度股票投资明细
25,300973,立高食品,2.11,15.11,736.91,2025年2季度股票投资明细
26,301004,嘉益股份,1.97,10.36,686.14,2025年2季度股票投资明细
27,603193,润本股份,1.92,21.28,668.3,2025年2季度股票投资明细
28,603238,诺邦股份,1.91,38.04,667.22,2025年2季度股票投资明细
29,002311,海大集团,1.91,11.38,666.75,2025年2季度股票投资明细
30,600519,贵州茅台,1.79,0.44,624.7,2025年2季度股票投资明细
31,603369,今世缘,1.36,12.18,474.17,2025年2季度股票投资明细
32,300750,宁德时代,1.14,1.57,395.99,2025年2季度股票投资明细
33,920982,锦波生物,1.01,0.99,350.83,2025年2季度股票投资明细
34,002128,电投能源,1.0,17.65,349.12,2025年2季度股票投资明细
35,300783,三只松鼠,0.96,12.31,333.72,2025年2季度股票投资明细
36,301356,天振股份,0.8,15.72,279.59,2025年2季度股票投资明细
37,000338,潍柴动力,0.78,17.78,273.46,2025年2季度股票投资明细
38,601006,大秦铁路,0.46,24.08,158.93,2025年2季度股票投资明细
39,300866,安克创新,0.35,1.06,120.42,2025年2季度股票投资明细
40,603129,春风动力,0.17,0.27,58.46,2025年2季度股票投资明细
41,603444,吉比特,7.76,4.69,2663.92,2025年3季度股票投资明细
42,002517,恺英网络,5.95,72.74,2042.49,2025年3季度股票投资明细
43,000729,燕京啤酒,5.26,148.7,1803.73,2025年3季度股票投资明细
44,301061,匠心家居,3.91,14.53,1341.0,2025年3季度股票投资明细
45,600031,三一重工,3.87,57.09,1326.77,2025年3季度股票投资明细
46,689009,九号公司,3.8,19.48,1303.2,2025年3季度股票投资明细
47,000423,东阿阿胶,3.18,23.02,1091.15,2025年3季度股票投资明细
48,002461,珠江啤酒,3.17,108.59,1086.99,2025年3季度股票投资明细
49,600941,中国移动,3.01,9.86,1032.14,2025年3季度股票投资明细
50,002558,巨人网络,2.99,22.73,1026.94,2025年3季度股票投资明细
